Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL
Greenland Estate (Washed)  Valparai (Tamil Nadu)      Whole Beans,bloomcoffeeroasters,600.0,250gms,Medium Roast,,,
Greenland Estate (Washed)  Valparai (Tamil Nadu)      Aeropress,bloomcoffeeroasters,600.0,250gms,Medium Roast,,,
Greenland Estate (Washed)  Valparai (Tamil Nadu)      Channi,bloomcoffeeroasters,600.0,250gms,Medium Roast,,,
Greenland Estate (Washed)  Valparai (Tamil Nadu)      Chemex,bloomcoffeeroasters,600.0,250gms,Medium Roast,,,
Greenland Estate (Washed)  Valparai (Tamil Nadu)      Espresso,bloomcoffeeroasters,600.0,250gms,Medium Roast,,,
Greenland Estate (Washed)  Valparai (Tamil Nadu)      French Press,bloomcoffeeroasters,600.0,250gms,Medium Roast,,,
Greenland Estate (Washed)  Valparai (Tamil Nadu)      Moka Pot,bloomcoffeeroasters,600.0,250gms,Medium Roast,,,
Greenland Estate (Washed)  Valparai (Tamil Nadu)      Pour Over,bloomcoffeeroasters,600.0,250gms,Medium Roast,,,
Greenland Estate (Washed)  Valparai (Tamil Nadu)      South Indian Filter,bloomcoffeeroasters,600.0,250gms,Medium Roast,,,
Greenland Estate (Washed)  Valparai (Tamil Nadu)      Cold Brew,bloomcoffeeroasters,600.0,250gms,Medium Roast,,,
Venkids Valley Estate  The Red Honey      Whole Beans,bloomcoffeeroasters,800.0,250gms,Light Roast,,,
Venkids Valley Estate  The Red Honey      Aeropress,bloomcoffeeroasters,800.0,250gms,Light Roast,,,
Venkids Valley Estate  The Red Honey      Channi,bloomcoffeeroasters,800.0,250gms,Light Roast,,,
Venkids Valley Estate  The Red Honey      Chemex,bloomcoffeeroasters,800.0,250gms,Light Roast,,,
Venkids Valley Estate  The Red Honey      Espresso,bloomcoffeeroasters,800.0,250gms,Light Roast,,,
Venkids Valley Estate  The Red Honey      French Press,bloomcoffeeroasters,800.0,250gms,Light Roast,,,
Venkids Valley Estate  The Red Honey      Moka Pot,bloomcoffeeroasters,800.0,250gms,Light Roast,,,
