Title,Description,Price,Image URL,Product URL
"Gachatha AA Filter, KENYA",SL-28 & SL 34. Super bright with explosiveness of ripe citrus fruits. Light body with clean sweet finish. Exactly the way you would imagine a great Kenyan to be!,₹ 2300,https://curiouslifecoffee.com/wp-content/uploads/2023/09/so_kenya_1.jpg,https://curiouslifecoffee.com/product/single-origin-kenya-filter/
"Shyira, RWANDA – Filter",Washed Red Bourbon. Sweet jaggery like aromatics with hint of dark chocolate and juicy tanginess of ripe gooseberries. Light body with clean sweet finish.,₹ 1780,https://curiouslifecoffee.com/wp-content/uploads/2019/09/DJI_0127-600x600.jpg,https://curiouslifecoffee.com/product/__trashed-4__trashed/
Gundikhan Natural Lot 15 & 57 – Filter,"Natural Processed Chandragiri (Sarchimore). 
Aromatics of Prune and Apple. 
Sweet citrus brightness.",₹ 950,https://curiouslifecoffee.com/wp-content/uploads/2024/08/IMG_8471-1.jpg,https://curiouslifecoffee.com/product/gundikhan-natural-lot-272-filter/
NILGIRIS – Filter,"Washed SLN 9                                   Crisp and juicy with hint of spices, orange and black tea. Medium body and clean finish",₹ 950,https://curiouslifecoffee.com/wp-content/uploads/2022/08/IMG_0799-2.jpg,https://curiouslifecoffee.com/product/nilgiris-filter-finest-indian-coffee/
"Shyira, RWANDA – Espresso",Washed Red Bourbon. Dark chocolate with hint of citrus fruits. Syrupy body and clean finish with pleasing remnants of cocoa. Almond and sweet chocolate notes are highlighted with a dash of milk.,₹ 1780,https://curiouslifecoffee.com/wp-content/uploads/2019/09/shyira-2-3-600x600.jpg,https://curiouslifecoffee.com/product/rwanda-shyira-espresso/
"BISON, House Blend Espresso","Our House Blend since 2015. Contains 3-4 Indian Arabica coffees. It is a symphony of wild berries, cacao & tropical spices. Full bodied with a long lasting finish. Perfect for straight espresso or your morning cappuccinos and lattes.",₹ 850,https://curiouslifecoffee.com/wp-content/uploads/2022/08/Bison-600x600.png,https://curiouslifecoffee.com/product/bison-house-blend-2/
Honnametti Estate – Washed Espresso,"Slightly dark roast with low acidity
Best suited for milk beverages and espresso |
Hint of spices, chocolate and ripe fruits",₹ 830,https://curiouslifecoffee.com/wp-content/uploads/2021/10/Honnametti.jpg,https://curiouslifecoffee.com/product/honnamatti-estate-washed-espresso/
Hario V60 Dripper 01 RED,,₹ 700,https://curiouslifecoffee.com/wp-content/uploads/2019/07/VD-01R.jpg,https://curiouslifecoffee.com/product/cafe-press-slim/
AeroPress Coffee Maker,,₹ 4100,https://curiouslifecoffee.com/wp-content/uploads/2021/10/AeroPress-Original-set-red-800x800-1-600x600.jpeg,https://curiouslifecoffee.com/product/aeropress-coffee-maker/
Fine Porcelain Coffee Mug 250ml,,₹ 320,https://curiouslifecoffee.com/wp-content/uploads/2021/08/FullSizeRender-2-600x600.jpeg,https://curiouslifecoffee.com/product/fine-porcelain-coffee-mug-250ml/
Fine Porcelain Coffee Mug 300ml,,₹ 320,https://curiouslifecoffee.com/wp-content/uploads/2019/07/FullSizeRender-3.jpg,https://curiouslifecoffee.com/product/pair-of-coffee-mugs/
Fine Porcelain Espresso Cups (set of two),,₹ 550,https://curiouslifecoffee.com/wp-content/uploads/2019/07/FullSizeRender.jpg,https://curiouslifecoffee.com/product/pair-of-espresso-cups/
