Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL
New  Gift Hamper!!!,Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/products/gift-hamper
New Launch  Value Product  Everyday Gold,Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/products/everyday-gold-affordable-premium
BLACK PEPPER,Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/products/black-pepper-bold-5-5-mm
"FREE Vanilla Coffee. Buy 500 G any coffee, get 250 G FREE",Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.comhttps://www.fraction9coffee.com/collections/coffee/products/free-250-g-vanilla-coffee-buy-any-500-g-coffee
"FREE Hazenut Coffee. Buy 500 G any coffee, get 250 G FREE",Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/products/free-hazelnut-coffee-combo
New  Gift Hamper!!!,Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/products/gift-hamper
New Launch  Value Product  Everyday Gold,Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/products/everyday-gold-affordable-premium
BLACK PEPPER,Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/products/black-pepper-bold-5-5-mm
"FREE Vanilla Coffee. Buy 500 G any coffee, get 250 G FREE",Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.comhttps://www.fraction9coffee.com/collections/coffee/products/free-250-g-vanilla-coffee-buy-any-500-g-coffee
"FREE Hazenut Coffee. Buy 500 G any coffee, get 250 G FREE",Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/products/free-hazelnut-coffee-combo
nan,Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/collections/diwali-offer/products/ratnagiri-liora
LIORA  Ratnagiri Estate (Lab Microbe Fermentation),Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/collections/diwali-offer/products/ratnagiri-liora
"fromRs. 799.00Rs. 1,100.00",Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/collections/diwali-offer/products/ratnagiri-liora
nan,Fraction9,Rs. 735.00,,,,,https://www.fraction9coffee.com/collections/diwali-offer/products/golden-mirage-naturals-by-kalyancool-estate
GOLDEN MIRAGE  NATURALS BY KALYANCOOL ESTATE,Fraction9,Rs. 735.00,,,,,https://www.fraction9coffee.com/collections/diwali-offer/products/golden-mirage-naturals-by-kalyancool-estate
"fromRs. 735.00Rs. 1,000.00",Fraction9,Rs. 735.00,,,,,https://www.fraction9coffee.com/collections/diwali-offer/products/golden-mirage-naturals-by-kalyancool-estate
nan,Fraction9,Rs. 879.00,,,,,https://www.fraction9coffee.com/collections/diwali-offer/products/cuvee-brandylime
Cuvée BrandyLime  Kalyancool,Fraction9,Rs. 879.00,,,,,https://www.fraction9coffee.com/collections/diwali-offer/products/cuvee-brandylime
"fromRs. 879.00Rs. 1,150.00",Fraction9,Rs. 879.00,,,,,https://www.fraction9coffee.com/collections/diwali-offer/products/cuvee-brandylime
nan,Fraction9,Rs. 699.00,,,,,https://www.fraction9coffee.com/collections/diwali-offer/products/shillong-spice-rush-naturals
SHILLONG SPICE RUSH  NATURALS,Fraction9,Rs. 699.00,,,,,https://www.fraction9coffee.com/collections/diwali-offer/products/shillong-spice-rush-naturals
fromRs. 699.00Rs. 950.00,Fraction9,Rs. 699.00,,,,,https://www.fraction9coffee.com/collections/diwali-offer/products/shillong-spice-rush-naturals
Breakfast Roast Coffee,Fraction9,,,,,,https://www.fraction9coffee.com/products/breakfast-roast-coffee-powder#judgeme_product_reviews
GOLDEN MIRAGE  NATURALS BY KALYANCOOL ESTATE,Fraction9,,,,,,https://www.fraction9coffee.com/products/golden-mirage-naturals-by-kalyancool-estate#judgeme_product_reviews
Cappuccino Blend,Fraction9,,,,,,https://www.fraction9coffee.com/products/cappuccino-blend#judgeme_product_reviews
Everyday Gold – Affordable Value | Auto Discounted | No Codes,Fraction9,,,,,,https://www.fraction9coffee.com/products/everyday-gold-affordable-premium#judgeme_product_reviews
French Roast Coffee,Fraction9,,,,,,https://www.fraction9coffee.com/products/french-roast-coffee#judgeme_product_reviews
SHILLONG SPICE RUSH  NATURALS,Fraction9,,,,,,https://www.fraction9coffee.com/products/shillong-spice-rush-naturals#judgeme_product_reviews
Kaapi,Fraction9,,,,,,https://www.fraction9coffee.com/products/kaapi#judgeme_product_reviews
New  Gift Hamper!!!,Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/products/gift-hamper
New Launch  Value Product  Everyday Gold,Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/products/everyday-gold-affordable-premium
BLACK PEPPER,Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/products/black-pepper-bold-5-5-mm
"FREE Vanilla Coffee. Buy 500 G any coffee, get 250 G FREE",Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.comhttps://www.fraction9coffee.com/collections/coffee/products/free-250-g-vanilla-coffee-buy-any-500-g-coffee
"FREE Hazenut Coffee. Buy 500 G any coffee, get 250 G FREE",Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/products/free-hazelnut-coffee-combo
New  Gift Hamper!!!,Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/products/gift-hamper
New Launch  Value Product  Everyday Gold,Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/products/everyday-gold-affordable-premium
BLACK PEPPER,Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/products/black-pepper-bold-5-5-mm
"FREE Vanilla Coffee. Buy 500 G any coffee, get 250 G FREE",Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.comhttps://www.fraction9coffee.com/collections/coffee/products/free-250-g-vanilla-coffee-buy-any-500-g-coffee
"FREE Hazenut Coffee. Buy 500 G any coffee, get 250 G FREE",Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/products/free-hazelnut-coffee-combo
nan,Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/ratnagiri-liora
LIORA  Ratnagiri Estate (Lab Microbe Fermentation),Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/ratnagiri-liora
"fromRs. 799.00Rs. 1,100.00",Fraction9,Rs. 799.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/ratnagiri-liora
nan,Fraction9,Rs. 699.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/shillong-spice-rush-naturals
SHILLONG SPICE RUSH  NATURALS,Fraction9,Rs. 699.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/shillong-spice-rush-naturals
fromRs. 699.00Rs. 950.00,Fraction9,Rs. 699.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/shillong-spice-rush-naturals
nan,Fraction9,Rs. 879.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/cuvee-brandylime
Cuvée BrandyLime  Kalyancool,Fraction9,Rs. 879.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/cuvee-brandylime
"fromRs. 879.00Rs. 1,150.00",Fraction9,Rs. 879.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/cuvee-brandylime
nan,Fraction9,Rs. 735.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/golden-mirage-naturals-by-kalyancool-estate
GOLDEN MIRAGE  NATURALS BY KALYANCOOL ESTATE,Fraction9,Rs. 735.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/golden-mirage-naturals-by-kalyancool-estate
"fromRs. 735.00Rs. 1,000.00",Fraction9,Rs. 735.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/golden-mirage-naturals-by-kalyancool-estate
nan,Fraction9,Rs. 435.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/everyday-gold-affordable-premium
