roaster,name,price,currency,description,product_url,image_url,variants
Bloom Coffee,Venkids Valley Estate - The Red Honey - Light Roast,800.00,INR,"<p><strong>Elevation: 1000 MASL</strong></p>
<p><strong>Variety: Catuai</strong></p>
<p><strong>Processing: Red Honey</strong></p>
<p><strong>Roast: Light</strong></p>
<p><strong>Producers: Mr Pavan Nanjappa</strong></p>
<p><strong></strong><strong>Tasting notes: Mango, Hibiscus and Butterscotch</strong></p>
<p><span style=""font-weight: 400;"">We along with so many others have swooned for two seasons over the incredible Yellow Honey that Pavan produces every year. This year, the team at the Venkids Valley Estate decided to take their Catuai a step further, from a Yellow Honey process to a Red Honey process and take our word for it, this is an exceptional coffee. With the new process, the coffee has become slightly sweeter with more intense flavours and a richer mouthfeel.</span></p>
<p><span style=""font-weight: 400;"">We have roasted this pretty lightly to let the coffee, and the process really shine through and take the centre stage. With sweet notes of Mango, rich butterscotch and delicate hints of Hibiscus this coffee makes an incredible filter coffee that we're sure you'll absolutely enjoy!</span></p>",https://bloomcoffeeroasters.in/products/venkids-valley-estate-the-red-honey,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/redhoney_front.png?v=1664806774,250gms / Whole Beans; 250gms / Aeropress; 250gms / Channi; 250gms / Chemex; 250gms / French Press; 250gms / Moka Pot; 250gms / Pour Over; 250gms / South Indian Filter; 250gms / Cold Brew
Bloom Coffee,Pulney Coffee (Washed) - Pulney Hills - Medium Roast,2100.00,INR,"<p>Farm: Laks Farm, Pachalur Village</p>
<p>Planter: Mr. H.R. Iyer</p>
<p>Elevation: 4920 ft.</p>
<p>Variety: Chandragiri and SL9</p>
<p>Processing: Washed</p>
<p>Roast: Medium</p>
<p>Tasting notes: Citrus Fruits, Cherries, and Nuts</p>
<p>Originating from one of the highest growing regions in Tamil Nadu, these coffees are dense and have a beautiful aftertaste because of the high growing Region. The Laks farm is completely organic and devoid of any chemical pesticides and fertilisers. The coffees are intercropped with oranges, cardamom, pepper and banana. The beans of the highest brix are identified (colour coded bands are given to workers at the estate to pick the cherries). They are sorted for defects twice before using the penagos washer + pulper. Floats are removed and the coffee beans with little bit of mucilage are dried on raised beds. They are exposed to the morning sun for the first two days and then completely dried in shade for a period of 20-25 days.</p>
<p>Mr. Iyer is without doubt one of the sweetest and most earnest people we have encountered in coffee and with passion and efforts of Viggnesh in processing, this coffee was one of the best washed coffees we tasted this year! This medium roast has sweet notes of Cherry, and Nuts with a mild Citrus Acidity, and works really well both black and with milk, as a filter or an an espresso! </p>",https://bloomcoffeeroasters.in/products/pulney-coffee-washed-pulney-hills-medium-roast,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/pulney_washed.png?v=1653996583,1kg / Whole Beans; 1kg / Aeropress; 1kg / Channi; 1kg / Chemex; 1kg / French Press; 1kg / Moka Pot; 1kg / Pour Over; 1kg / South Indian Filter; 1kg / Cold Brew; 250 gms / Whole Beans; 250 gms / Aeropress; 250 gms / Channi; 250 gms / Chemex; 250 gms / French Press; 250 gms / Moka Pot; 250 gms / Pour Over; 250 gms / South Indian Filter; 250 gms / Cold Brew
Bloom Coffee,Venkids Valley Estate (Washed) – Coorg - Medium Dark Roast,2000.00,INR,"<p>Elevation: 3600 ft.</p>
<p>Varietal: SLN6</p>
<p>Processing: Washed</p>
<p>Roast: Medium</p>
<p>Tasting notes: Mexican chocolate, Caramel, and Orange Zest</p>
<p>A short, scenic drive from Madikeri, past a rivulet or two, leads you to the charming “Papakuchi Coffee” by Venkids Valley Estate, where you are welcomed by Pavan and his wife Shilpa. The estate spreads across 200 acres, and is divided into “Patte” or fields, named aptly by the workers. Imagine being able to spot the exact patch of land your coffee was grown on. Yes, that’s the level of traceability Pavan is able to achieve at this estate.</p>
<p>This SLN6, grown in the “Kenjipatte” is roasted to slightly darker than a medium (some might even call it a medium) to really enhance the syrupy body and the notes of caramel which are offset by the a splash of orange zest. Pretty great for filters, great for espresso!</p>
<p>Pick you grind and brew away!</p>",https://bloomcoffeeroasters.in/products/venkids-valley-estate-medium-dark,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/venkidsvalleywashedfront.png?v=1652961626,1kg / Whole Beans; 1kg / Aeropress; 1kg / Channi; 1kg / Chemex; 1kg / Cold Brew; 1kg / French Press; 1kg / Moka Pot; 1kg / Pour Over; 1kg / South Indian Filter; 250 gms / Whole Beans; 250 gms / Aeropress; 250 gms / Channi; 250 gms / Chemex; 250 gms / Cold Brew; 250 gms / French Press; 250 gms / Moka Pot; 250 gms / Pour Over; 250 gms / South Indian Filter
Bloom Coffee,Salawara Estate – Chikmaglur - Dark Roast,2000.00,INR,"<p>Tasting Notes: Caramel, milk chocolate, subtle hints of citrus</p>
<p>Elevation: 3130 ft.</p>
<p>Varietal:</p>
<p>Processing: Washed</p>
<p>Roast: Dark</p>
<p>Spread across 400 acres in the fabled hills of Chikmaglur, the Salawara estate was started in 1880, and produces some delicious Arabicas and Robustas that have won various awards in India and abroad. This washed arabica grown at 3130 ft. tastes of the rich terroir of the estate, dotted with exotic herbs and spices that are grown alongside the coffee. The coffee is roasted darker than our medium to bring out more of the delicious milk chocolate</p>",https://bloomcoffeeroasters.in/products/salawara-estate-dark-roast,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/salawarapng.png?v=1652961538,1kg / Whole Beans; 1kg / Aeropress; 1kg / Channi; 1kg / Chemex; 1kg / Cold Brew; 1kg / French Press; 1kg / Moka Pot; 1kg / Pour Over; 1kg / South Indian Filter; 250 gms / Whole Beans; 250 gms / Aeropress; 250 gms / Channi; 250 gms / Chemex; 250 gms / Cold Brew; 250 gms / French Press; 250 gms / Moka Pot; 250 gms / Pour Over; 250 gms / South Indian Filter
Bloom Coffee,Vin Van Gogh - Medium Roast,2000.00,INR,"<p>Elevation: 3200-4250 ft.</p>
<p>Varietal: SL6, Sln9, Sln5B</p>
<p>Planters: Pavan Najappa and Navin Rajes</p>
<p>Processing: Washed</p>
<p>Roast: Medium dark</p>
<p>Tasting notes: Berries, almonds, and spiced Chocolate</p>
<p>The origin of this blend goes a fair way back to when Pavan (Venkids Valley Estate) and Navin (Moganad Estate) were schoolmates and were busy making plans for the world domination of Indian speciality coffee! Little did they know then, that the catalyst for this would be small roastery out of Chandigarh, of all the places who would put their two phenomenal washed arabicas together in a top secret ratio, name it after the one of the greatest painters of all time, which is also a word play on their names, and make it the most the delicious, versatile blend to have ever come out of the greater Chandigarh region! Pavan and Navin still remain very tight, and share flights, coffees, jokes, and the roasters they choose to work with! Thankfully, they both agreed to partner with us, which in turn enabled us to come up with this super tasty, bright like a Red Vineyard, over The Cafe Terrace at night, lit up by The Starry Night</p>
<p>All stories aside our Vin Van Gogh is our answer to a coffee blend that does everything very very well! It makes a great fruity filter coffee, as well the perfect espresso to have as it is, or a lovely fluffy cappuccino! Pick the grind of your choice, and bask in the glory of Vin’s and Van’s artistry!</p>",https://bloomcoffeeroasters.in/products/vin-van-gogh,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/vinvangogh_2b37bffa-6eae-413e-a60f-ee1f3109df4d.png?v=1652961696,1Kg / Whole Beans; 1Kg / Aeropress; 1Kg / Channi; 1Kg / Chemex; 1Kg / Cold Brew; 1Kg / French Press; 1Kg / Moka Pot; 1Kg / Pour Over; 1Kg / South Indian Filter; 250 gms / Whole Beans; 250 gms / Aeropress; 250 gms / Channi; 250 gms / Chemex; 250 gms / Cold Brew; 250 gms / French Press; 250 gms / Moka Pot; 250 gms / Pour Over; 250 gms / South Indian Filter
Bloom Coffee,Kenny Ji - The Cold Brew Blend,2300.00,INR,"<p><strong>Bright | Smooth | Easy</strong></p>
<p>“You don’t have to wait” any longer for the bloom coffee roasters cold brew blend. “The Promise” that this holds is that, be it in “The Morning” or “In The Rain” or at the “End of The Night” you will “Forever Be In Love” with the smooth silky “Silhouette” of this delicious coffee. From “The Moment” you’ll have your first sip “By The Time It’s Over”, it’ll leave you “Breathless” and wanting more. </p>
<p>Made from a top secret blend coffees, specially roasted for cold brew. It is so smooth that you might even find yourself listening to Kenny G’s greatest hits …hit the sax!</p>
",https://bloomcoffeeroasters.in/products/kenny-ji-the-cold-brew-blend,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/coldbrewkennyjifront.png?v=1652961361,1kg / Whole Beans; 1kg / Channi; 1kg / Cold Brew; 250gms / Whole Beans; 250gms / Channi; 250gms / Cold Brew
Bloom Coffee,Ro-Busta Rhymes - Dark Roast,1800.00,INR,"<p> Elevation: 3300 ft. – 4500ft.</p>
<p>Varietal: Arabica S795, Robusta</p>
<p>Planters: Navin Rajes, and Pavan Nanjappa</p>
<p>Processing: Washed Arabica and Naturals Robusta</p>
<p>Roast: Medium Dark</p>
<p>This blend features the lovely washed arabica from the Moganad Estate, and the natural processed robusta from the Venkids Valley Estate. But beware, if you’re expecting a bitter, boring blend, this will let you down! Ro-Busta Rhymes is a super duper tasty blend that really brings the best out both species of the coffees, but what’s really interesting is that acidity and the sweetness in this blend comes a great deal from the Robusta! We recommend you try this blend black just to really get a feel of what the robusta brings to it!</p>",https://bloomcoffeeroasters.in/products/ro-busta-rhymes-medium-dark-roast,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/robustarimes.png?v=1652961492,1 kg / Whole Beans; 1 kg / Aeropress; 1 kg / Channi; 1 kg / Chemex; 1 kg / Cold Brew; 1 kg / French Press; 1 kg / Moka Pot; 1 kg / Pour Over; 1 kg / South Indian Filter; 250 gms / Whole Beans; 250 gms / Aeropress; 250 gms / Channi; 250 gms / Chemex; 250 gms / Cold Brew; 250 gms / French Press; 250 gms / Moka Pot; 250 gms / Pour Over; 250 gms / South Indian Filter
Bloom Coffee,Satchmo - Dark Roast,2100.00,INR,"<p>Elevation: 3200-3400 ft.</p>
<p>Varietal: SL6 &amp; SL9</p>
<p>Planters: Pavan Nanjappa &amp; Sharan Gowda</p>
<p>Processing: Washed</p>
<p>Roast: Medium Dark</p>
<p>Tasting notes: Chocolate, Dark Caramel, and hints of Citrus</p>
<p>Chocolate, Dark Caramel and hints of citrus, sounds to us like one of the magnificent trumpet solos of the one the only Louis Armstrong! For us, Louis Armstrong a.k.a. Satchmo is the epitome of balance, with a voice that can go from a deep, rich gravel to almost fragile falsettos. Every moment of every song is filled with gorgeous melody, depth and genius improvisations!</p>
<p>“Satchmo” the blend, just like it’s muse, has pitch perfect sweetness, a deep body that swells like a crescendo, and a subtle “Vibratoesque” citrus acidity. A coffee that goes not toe to toe, but “Cheek to Cheek” with all accompaniments. The blend is on the darker side of a medium, and has the richness of chocolate and dark caramel, and a raspy acidity that can cut through whatever you throw at it, yes we’re looking at you milk and sugar. Satchmo makes the perfect espressos, moka pots, french presses, south indian filters, and what not, to get you a coffee that’ll make you see sit across and think “What a Wonderful World”</p>",https://bloomcoffeeroasters.in/products/satchmo-dark-roast,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/satchmo.png?v=1652961583,1 Kg / Whole Beans; 1 Kg / Aeropress; 1 Kg / Channi; 1 Kg / Chemex; 1 Kg / Cold Brew; 1 Kg / French Press; 1 Kg / Moka Pot; 1 Kg / Pour Over; 1 Kg / South Indian Filter; 250 gms / Whole Beans; 250 gms / Aeropress; 250 gms / Channi; 250 gms / Chemex; 250 gms / Cold Brew; 250 gms / French Press; 250 gms / Moka Pot; 250 gms / Pour Over; 250 gms / South Indian Filter
Bloom Coffee,BCR Custom Sample Pack of 3,600.00,INR,"<p><span data-mce-fragment=""1"">Can't quite make up your mind about which our delicious coffees would be your idea? Commitment phobic?? Don't worry about it, let us help you out! Choose three coffees you think you'll like, and the grind size you need, and we'll send 75 gram samples of those coffees to help you pick your one or maybe even two true loves!</span></p>
<p><span data-mce-fragment=""1"">This sample pack includes all our medium, medium dark and dark roasts, but not the light roasts. <a href=""https://bloomcoffeeroasters.in/products/bcr-light-roast-sample-pack"" title=""Light Roast Sample Pack - BCR"">Click here</a> to check out the Light Roast Sampler.</span></p>",https://bloomcoffeeroasters.in/products/bcr-custom-sample-pack-of-3,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/3samplebags.png?v=1623135207,Default Title
Bloom Coffee,Balanoor Plantations - Kents (Washed) - Chikmagalur - Medium Roast,2100.00,INR,"<meta charset=""utf-8"">
<p data-mce-fragment=""1"">Elevation: 3850<span data-mce-fragment=""1""> </span>ft.</p>
<p data-mce-fragment=""1"">Variety: Kents</p>
<p data-mce-fragment=""1"">Processing: Washed</p>
<p data-mce-fragment=""1"">Roast: Medium</p>
<p data-mce-fragment=""1"">Tasting notes: Chocolate, Citrus Fruits, and Plum</p>
<p>Over the last 3 years, we have received some delicious excellent coffees from the wonderful people at Balanoor Plantations. They have been producing some of the finest speciality coffee in the country for a number of years, and they have undoubtedly given us some of our favourite washed coffees. The Kents variety is found widely in Indian coffee, and the work that the team at Balanoor puts in really makes this delightful coffee. This is the third year we've had this coffee, and somehow despite all the challenges, it just keeps getting better!</p>
<p>This medium roast has notes of rich milk chocolate, a subtle citrus acidity, and plum. This coffee is truly a delight, and is delicious black or with milk as a filter or an espresso! Yup, you heard it right: a coffee can be anything you want it to be!</p>",https://bloomcoffeeroasters.in/products/balanoor-plantations-kents-medium-roast,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/balanoor_kents.png?v=1672224071,1 Kg / Whole Beans; 1 Kg / Aeropress; 1 Kg / Channi; 1 Kg / Chemex; 1 Kg / French Press; 1 Kg / Moka Pot; 1 Kg / Pour Over; 1 Kg / South Indian Filter; 1 Kg / Cold Brew; 250 gms / Whole Beans; 250 gms / Aeropress; 250 gms / Channi; 250 gms / Chemex; 250 gms / French Press; 250 gms / Moka Pot; 250 gms / Pour Over; 250 gms / South Indian Filter; 250 gms / Cold Brew
