roaster,name,price,currency,description,product_url,image_url,variants
Blue Tokai,Customised Sampler Pack,700.00,INR,"<div class=""OutlineElement Ltr SCXW211094443 BCX0"">
<p class=""Paragraph SCXW211094443 BCX0""><span class=""TextRun Highlight SCXW211094443 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW211094443 BCX0"">Our assorted sampler pack is for those who want to try </span></span><span class=""TrackChangeTextInsertion TrackedChange SCXW211094443 BCX0""><span class=""TextRun Highlight SCXW211094443 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW211094443 BCX0"">our</span></span></span><span class=""TextRun Highlight SCXW211094443 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW211094443 BCX0""> </span><strong><span class=""NormalTextRun SCXW211094443 BCX0"">coffee beans</span></strong></span><span class=""TrackChangeTextInsertion TrackedChange SCXW211094443 BCX0""><span class=""TextRun Highlight SCXW211094443 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW211094443 BCX0"">, wheth</span></span></span><span class=""TrackChangeTextInsertion TrackedChange SCXW211094443 BCX0""><span class=""TextRun Highlight SCXW211094443 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW211094443 BCX0"">er as</span></span></span><span class=""TrackChangeTextInsertion TrackedChange SCXW211094443 BCX0""><span class=""TextRun Highlight SCXW211094443 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW211094443 BCX0""> whole beans or <strong>ground coffee</strong>,</span></span></span><span class=""TextRun Highlight SCXW211094443 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW211094443 BCX0""> but </span><span class=""NormalTextRun SCXW211094443 BCX0"">don't</span><span class=""NormalTextRun SCXW211094443 BCX0""> know where to start. This customizable mixed bag of coffee beans allows you to choose between three different coffees to discover which ones work best for you.</span></span><span data-ccp-props='{""201341983"":0,""335559739"":160,""335559740"":279}' class=""EOP SCXW211094443 BCX0""> </span></p>
</div>
<div class=""OutlineElement Ltr SCXW211094443 BCX0"">
<p class=""Paragraph SCXW211094443 BCX0""><span class=""TextRun Highlight SCXW211094443 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW211094443 BCX0"">Each Sampler Pack will </span><span class=""NormalTextRun SCXW211094443 BCX0"">contain</span><span class=""NormalTextRun SCXW211094443 BCX0""> 75 g x 3 pouches.</span></span><span data-ccp-props='{""201341983"":0,""335559739"":160,""335559740"":279}' class=""EOP SCXW211094443 BCX0""> </span></p>
</div>",https://bluetokaicoffee.com/products/customised-sampler-pack,https://cdn.shopify.com/s/files/1/0738/1409/files/1SamplerPack__Front.jpg?v=1707393228,French Press; Whole Beans; Turkish; Home Espresso; Aeropress; Coffee Filter; Moka Pot; South Indian Filter; Cold Brew; Inverted Aeropress; Channi; Pourover; Commercial Espresso
Blue Tokai,The Rich & Bold Trio Pack,700.00,INR,"<div class=""OutlineElement Ltr SCXW92816158 BCX0"">
<p class=""Paragraph SCXW92816158 BCX0""><span class=""TextRun Highlight SCXW92816158 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW92816158 BCX0"">Introducing our Rich &amp; Bold Trio Pack</span><span class=""NormalTextRun SCXW92816158 BCX0""> of</span></span><span class=""TextRun Highlight SCXW92816158 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW92816158 BCX0""> </span></span><span class=""TrackChangeTextInsertion TrackedChange SCXW92816158 BCX0""><span class=""TextRun Highlight SCXW92816158 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW92816158 BCX0"">whole </span></span></span><strong><span class=""TextRun Highlight SCXW92816158 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW92816158 BCX0"">coffee beans</span></span></strong><span class=""TrackChangeTextInsertion TrackedChange SCXW92816158 BCX0""><span class=""TextRun Highlight SCXW92816158 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW92816158 BCX0""> </span></span></span><span class=""TrackChangeTextInsertion TrackedChange SCXW92816158 BCX0""><span class=""TextRun Highlight SCXW92816158 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW92816158 BCX0"">or <strong>ground coffee</strong></span></span></span><span class=""TextRun Highlight SCXW92816158 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW92816158 BCX0"">, meticulously curated to help you explore our world of dark coffee wonders. Whether </span><span class=""NormalTextRun SCXW92816158 BCX0"">you're</span><span class=""NormalTextRun SCXW92816158 BCX0""> new to our brand or simply looking to diversify your coffee experience, this </span><span class=""NormalTextRun SCXW92816158 BCX0"">customisable</span><span class=""NormalTextRun SCXW92816158 BCX0""> mixed bag </span></span><span class=""TrackChangeTextDeletionMarker TrackedChange SCXW92816158 BCX0""><span class=""TextRun Highlight SCXW92816158 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun TrackChangeTextDeletion SCXW92816158 BCX0""> </span></span></span><span class=""TextRun Highlight SCXW92816158 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW92816158 BCX0"">is your gateway to discovering the ideal darker brews for your taste buds.</span></span><span data-ccp-props='{""201341983"":0,""335559739"":160,""335559740"":279}' class=""EOP SCXW92816158 BCX0""> </span></p>
</div>
<div class=""OutlineElement Ltr SCXW92816158 BCX0"">
<p class=""Paragraph SCXW92816158 BCX0""><span class=""TextRun Highlight SCXW92816158 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW92816158 BCX0"">Inside this carefully crafted sampler pack, </span><span class=""NormalTextRun SCXW92816158 BCX0"">you'll</span><span class=""NormalTextRun SCXW92816158 BCX0""> find three coffees:</span></span><span data-ccp-props='{""201341983"":0,""335559739"":160,""335559740"":279}' class=""EOP SCXW92816158 BCX0""> </span></p>
</div>
<div class=""OutlineElement Ltr SCXW92816158 BCX0"">
<p class=""Paragraph SCXW92816158 BCX0""><span class=""TextRun Highlight SCXW92816158 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW92816158 BCX0""><a title=""vienna roast coffee beans"" href=""https://bluetokaicoffee.com/collections/roasted-and-ground-coffee-beans/products/vienna-roast""><strong>Vienna Roast</strong></a>: Rich and smoky notes with a perfect balance of boldness and smoothness.</span></span><span data-ccp-props='{""201341983"":0,""335559739"":160,""335559740"":279}' class=""EOP SCXW92816158 BCX0""> <br></span><span class=""TextRun Highlight SCXW92816158 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW92816158 BCX0""><a title=""French roast coffee beans"" href=""https://bluetokaicoffee.com/collections/roasted-and-ground-coffee-beans/products/french-roast""><strong>French Roast</strong></a>: For those who crave the deep, dark intensity of a very dark roast.</span></span><span data-ccp-props='{""201341983"":0,""335559739"":160,""335559740"":279}' class=""EOP SCXW92816158 BCX0""> <br></span><span class=""TextRun Highlight SCXW92816158 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW92816158 BCX0""><strong><a title=""Silver oak coffee beans"" href=""https://bluetokaicoffee.com/collections/roasted-and-ground-coffee-beans/products/silver-oak-cafe-blend"">Silver Oak</a></strong>: Celebrated for its complex </span><span class=""NormalTextRun SCXW92816158 BCX0"">flavours</span><span class=""NormalTextRun SCXW92816158 BCX0""> and versatility, this one is our own in-house cafe blend</span></span><span data-ccp-props='{""201341983"":0,""335559739"":160,""335559740"":279}' class=""EOP SCXW92816158 BCX0""> </span></p>
</div>
<div class=""OutlineElement Ltr SCXW92816158 BCX0"">
<p class=""Paragraph SCXW92816158 BCX0""><span class=""TextRun Highlight SCXW92816158 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW92816158 BCX0"">Each Sampler Pack will </span><span class=""NormalTextRun SCXW92816158 BCX0"">contain</span><span class=""NormalTextRun SCXW92816158 BCX0""> 75 g x 3 pouches.</span></span><span data-ccp-props='{""201341983"":0,""335559739"":160,""335559740"":279}' class=""EOP SCXW92816158 BCX0""> </span></p>
</div>",https://bluetokaicoffee.com/products/the-rich-bold-trio-pack,https://cdn.shopify.com/s/files/1/0738/1409/files/Sampler_201224.jpg?v=1750764829,Whole Bean; Aeropress; Channi; Coffee Filter; Cold Brew; Commercial Espresso; French Press; Home Espresso; Inverted Aeropress; Moka Pot; Pourover; South Indian Filter; Turkish
Blue Tokai,5-in-1 Explorer Pack,1170.00,INR,"<div>
<p><span>Want to try different flavours before deciding which one to settle on? </span></p>
</div>
<div>
<p><span>Order our 5-in-1 Explorer pack and find a new favourite!  </span></p>
</div>
<div>
<p><span>This pack is a curated collection of five different coffees with different </span><span>flavour</span><span> profiles from our wide range of Indian coffees: </span></p>
</div>
<ul data-editing-info='{""orderedStyleType"":1,""unorderedStyleType"":1}'>
<li>
<p><span>A balanced Silver Oak Blend </span></p>
</li>
<li>
<p><span>A bold and bitter Vienna Roast </span></p>
</li>
<li>
<p><span>A chocolatey and nutty coffee from Attikan Estate </span></p>
</li>
<li>
<p><span>A chocolatey and nutty coffee from Baarbara Estate </span></p>
</li>
<li>
<p><span></span><span>A balanced Amaltas Blend</span></p>
</li>
</ul>
<p>Each Sampler Pack will contain 75 g x 5 pouches <span class=""TrackChangeTextInsertion TrackedChange SCXW210034288 BCX0""><span class=""TextRun Highlight SCXW210034288 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW210034288 BCX0"">of </span></span></span><span class=""TrackChangeTextInsertion TrackedChange SCXW210034288 BCX0""><span class=""TextRun Highlight SCXW210034288 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW210034288 BCX0"">whole</span></span></span><span class=""TrackChangeTextInsertion TrackedChange SCXW210034288 BCX0""><span class=""TextRun Highlight SCXW210034288 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW210034288 BCX0""> <strong>coffee beans</strong> or </span></span></span><span class=""TrackChangeTextInsertion TrackedChange SCXW210034288 BCX0""><span class=""TextRun Highlight SCXW210034288 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW210034288 BCX0""><strong>ground coffee</strong>.</span></span></span></p>",https://bluetokaicoffee.com/products/5-in-1-explorer-pack,https://cdn.shopify.com/s/files/1/0738/1409/files/Sampler_240625.jpg?v=1750762835,Aeropress; Channi; Coffee Filter; Cold Brew; Commercial Espresso; French Press; Home Espresso; Inverted Aeropress; Moka Pot; Pourover; South Indian Filter; Turkish; Whole Bean
Blue Tokai,Cold Brew Favorites,1170.00,INR,"<p>Few things feel more at home during summer than a glass of cold brew. And when we're brewing a batch, this pairing is our go-to. The pack includes: - <br></p><br>
<p style=""color: #0eb1c5;""><strong>Amaltas Blend</strong></p>
<p>Named after the yellow blooms that herald the Indian summer, Amaltas brews bright cups with notes of blueberry, creamy milk chocolate, and subtle fruitiness. It's wonderfully refreshing on its own.</p>
<p><strong>Tasting Notes:</strong><span> </span>Blueberry, Milk Chocolaty, Fruity<br>
<strong>Processing:</strong><span> </span>Washed + Natural<br>
<strong>Roast Level:</strong><span> Light</span></p><br>
<p style=""color: #0eb1c5;""><strong>Cold Brew Blend Bold</strong></p>
<p>Dark chocolate, toffee, and roasted hazelnut come together in this rich, full-bodied coffee. Enjoy it black, or add a dash of milk for more indulgent cup.</p>
<p><strong>Tasting Notes:</strong> Dark Chocolate, Toffee, Roasted Hazelnut<br>
<strong>Processing:</strong> Washed<br>
<strong>Roast Level:</strong> Medium Dark</p>",https://bluetokaicoffee.com/products/cold-brew-favorites,https://cdn.shopify.com/s/files/1/0738/1409/files/1_c213e88e-6ce7-44d4-b17d-c65076399ef6.jpg?v=1780984058,2 X 250g
Blue Tokai,Kerehaklu Estate - Blossom Culture,1000.00,INR,"<div class=""OutlineElement Ltr SCXW68732332 BCX0"">
<p lang=""EN-GB"" class=""Paragraph SCXW68732332 BCX0""><meta charset=""utf-8""><meta charset=""utf-8""><span></span><span></span><span>With the estate shrouded in fog on a January morning, Pranoy noticed unseasonal blossoms in one of the blocks. There, he had the idea of collecting jarfuls of these blossoms for a starter culture. The goal was to see what happens when Kerehaklu's own microbiome shapes processing. <br> <br>Aiding a 71-hour anoxic fermentation, the blossom culture interacted with naturally processed cherries to build fruity layers and a distinctive jamminess. To preserve this development, the coffee was dried on raised beds for three weeks. <br> <br>Roasted to a light profile, the result is a unique expression of provenance. The cup opens with the aroma of ripe berries, followed by notes of strawberry, orange blossom, pomegranate, and sun melon. A delicate floral finish rounds off each sip.</span><span></span></p>
<p lang=""EN-GB"" class=""Paragraph SCXW68732332 BCX0""><span><meta charset=""utf-8""> <strong>Recommended Resting Period: </strong>12 days</span></p>
<p lang=""EN-GB"" class=""Paragraph SCXW68732332 BCX0""><span><meta charset=""utf-8"">
<strong>Note:</strong> This coffee pack is a special release with limited availability and, therefore, cannot be included in a subscription plan.</span></p>
</div>",https://bluetokaicoffee.com/products/kerehaklu-estate-blossom-culture-natural,https://cdn.shopify.com/s/files/1/0738/1409/files/finalproductimgs.png?v=1782896537,200g
Blue Tokai,Howdia Estate,850.00,INR,"<p>One of our roasters' favourites, Howdia Estate returns for Harvest '26. It reminds us of a floral black tea, and is among the most delicate light roasts on our roster. Processed using the washed method, it brews cups with low bitterness, bright acidity, and a well-rounded mouthfeel. From the first whiff, it's florality comes through, giving way to a bright, tea-like sip with notes of coffee blossoms and orange marmalade, and a black tea-like finish. For a clean, nuanced cup, we recommend brewing this coffee black as a pour over or using an AeroPress.<br></p>
<p><meta charset=""utf-8""><strong>Recommended Resting Period:<span> </span></strong><span>10 days</span></p>",https://bluetokaicoffee.com/products/howdia-estate,https://cdn.shopify.com/s/files/1/0738/1409/files/1.-Howdia-Estate__Front.jpg?v=1782107101,250g
Blue Tokai,Elkhill Estates,800.00,INR,"<p>Our debut coffee from Elkhill, a group of estates spanning 1500 acres, this anaerobic washed lot comes from their first year of specialty cultivation. It brews balanced cups with layers of fruit and spice, and a subtle hint of nuts.</p>
<p>Ripe cherries, harvested at elevations between 457 to 1067 MASL, were fermented for 36 hours. Next, they were washed then slow-dried on raised beds for nearly 18 days to preserve their character.   </p>
<p>Roasted to a medium profile, the result is a cup that opens with the aroma of brown sugar and roasted almonds. Each sip is reminiscent of orange, brown spice, and roasted hazelnut, and ends in a lingering, orange zest-like finish.</p>
<p>Our roasters recommend brewing this coffee as an espresso, a cold brew, or using a Moka Pot. It tastes great black and also works well with milk.</p>
<p><strong>Recommended Resting Period:<span> </span></strong>11<span> Days</span></p>",https://bluetokaicoffee.com/products/elkhill-estate,https://cdn.shopify.com/s/files/1/0738/1409/files/1.-Elkhill-Estates-_Front_39e2aeec-9d3e-4484-93e3-7028fbbe1aaf.jpg?v=1781529234,250g; 500g; 1000g
Blue Tokai,Araku - Viishalakshi FPC,800.00,INR,"<p>Every harvest brings the excitement of new partnerships and new coffees. This season, we’re proud to introduce our debut lot from Viishalakshi Farmer Producer Company (FPC) in Araku Valley. Named after the valley’s wide-eyed goddess, the FPC brings together 33 <br>tribal villages around Kusumaguda. This lot comes from seven of those villages, where coffee cultivation is led by women and processed at a communal facility. </p>
<p>Rooted in natural farming practices for generations, the farmers use composted fruit and vegetable waste to nourish the soil and neem oil treatments to safeguard against pests. Formed last year, Vishalakshi has helped guide these villages from commercial coffee cultivation towards specialty practices. There is now a growing focus on pruning plants, selective picking, proper storage of beans, and careful processing.  </p>
<p>Roasted to a medium profile, this honey sun-dried lot brews clean, balanced cups. It opens with brown sugar and melon, giving way to roasted almonds, prunes, and a whisper of brown spice. The body is round and syrupy; the finish is long and zesty.  </p>
<p><span data-olk-copy-source=""MessageBody"">We recommend brewing it as an espresso, or using a French Press or Channi.</span> It tastes great black as well as with milk.</p>
<p><strong>Recommended Resting Period:<span> </span></strong>11<span> Days</span></p>
<div class=""readhide"">
<p><strong>Note:</strong><span> <meta charset=""utf-8"">This coffee pack has limited availability and therefore cannot be included in a subscription plan.</span></p>
</div>",https://bluetokaicoffee.com/products/araku-viishalakshi-fpc,https://cdn.shopify.com/s/files/1/0738/1409/files/Araku--Viishalakshi-FPC.jpg?v=1778831825,250g; 500g; 1000g
Blue Tokai,Raxidi Lobo Estate - Anaerobic Natural,900.00,INR,"<p>We've been excited to collaborate with Raxidi Lobo Estate since their debut with us last year. So, when we first tasted a sample of this anaerobic natural lot, we knew it had to be a part of <span data-olk-copy-source=""MessageBody"">Harvest '26</span>.  </p>
<p>To bring it to life, the producers started fermenting some of the season's best cherries. <meta charset=""utf-8"">Introducing a specially curated yeast strain to the mix, they let the process go on for 48 hours. Finally, slow drying on raised beds for 21 days locked flavour.  </p>
<p>Roasted to a medium profile, the result is a cup that carries the sweet nostalgia of drinking mosambi juice in summer. It opens with berries and cherry on the nose, then settles into tart-sweet, bright notes of mosambi, green apple, and plum. The mouthfeel is velvety with a medium body, and the finish is long and tea-like.  </p>
<p>Our roasters recommend brewing it black, either as a pour over, or using an AeroPress.</p>
<div class=""readhide"">
<p><strong>Recommended Resting Period:<span> </span></strong>11<span> Days</span></p>
<div class=""readhide"">
<p><strong>Note:</strong><span> <meta charset=""utf-8"">This coffee pack has limited availability and therefore cannot be included in a subscription plan.<br></span></p>
</div>
</div>",https://bluetokaicoffee.com/products/raxidi-lobo-estate-anaerobic-naturals,https://cdn.shopify.com/s/files/1/0738/1409/files/1.-Raxidi-Lobo-Estate__Front_1f24d4f9-58d2-45c0-8266-c3767720de8d.jpg?v=1777466382,250g; 500g; 1kg
Blue Tokai,Kerehaklu Estate,850.00,INR,"<p><span data-olk-copy-source=""MessageBody"">Harvest '26 debuts with a bright, citrusy light roast.</span> A Kerehaklu special, it shows Pranoy and Ajoy's sure hand with washed processing. </p>
<p>Ripe red Selection 9 cherries collected by seasoned pickers marked the lot's foundation. The producers then used a starter made from the farm's local microbes to aid fermentation. Monitoring temperature and pH regularly, they finished within 37 hours. Next, the coffee was mechanically washed and dried in the shade for three days. Finally, 12 days of polyhouse drying on raised beds locked its flavour. This controlled, aerobic washed process built complexity while harnessing the bean's inherent character.  </p>
<p>Roasted to a light profile, the coffee delivers clean cups that open with the aroma of orange blossoms and brown sugar. Notes of orange, black tea, and green grapes follow, wrapped in a juicy mouthfeel. Expect low bitterness, medium-high acidity, and a lingering finish of orange marmalade.  </p>
<p>Our roasters recommend brewing it black, either as a pour over, or using an AeroPress.</p>
<p><strong>Recommended Resting Period:<span> </span></strong><span>12 Days</span></p>
<p><span><meta charset=""utf-8""> <strong>Note:</strong> This coffee pack is a special release with limited availability and, therefore, cannot be included in a subscription plan.</span></p>
<!---->",https://bluetokaicoffee.com/products/kerehaklu-estate-light-1,https://cdn.shopify.com/s/files/1/0738/1409/files/1.-Kerehaklu-Estate__Front.jpg?v=1775204109,250g; 500g; 1000g
