roaster,name,price,currency,description,product_url,image_url,variants
Caffeine Baar,72 Hour Fermented Washed,,,"Fresh from Chikmagalur, arabica beans roasted coffee powder, wet-processed coffee fermented for 24 hours to offer a full-bodied flavor with every sip.",https://www.thecaffeinebaar.com/collections/coffee/products/72-hour-fermented-washed,//www.thecaffeinebaar.com/cdn/shop/files/2_a6f1ef00-eb70-4d55-a896-6ad84634a4ea_{width}x.jpg?v=1754046309,1kg; 250g
Caffeine Baar,72 Hour Fermented Washed Sample Packet,,,"Fresh from Chikmagalur, arabica beans roasted coffee powder, wet-processed coffee fermented for 24 hours to offer a full-bodied flavor with every sip.",https://www.thecaffeinebaar.com/collections/coffee/products/72-hour-fermented-washed-sample-packet,//www.thecaffeinebaar.com/cdn/shop/files/2_a6f1ef00-eb70-4d55-a896-6ad84634a4ea_{width}x.jpg?v=1754046309,70g
Caffeine Baar,Sample Pack - Classic,,,"Enjoy the taste of the delicious coffee packs that are tried and tested, classic processing methods. 24 Hour-Fermented Washed Coffee, Honey Sun-Dried Coffee, and Naturals Coffee.",https://www.thecaffeinebaar.com/collections/coffee/products/copy-of-sample-pack-2-72-hour-fermented-washed-honey-sun-dried-naturals,//www.thecaffeinebaar.com/cdn/shop/files/Copy-of-Classic-72_{width}x.jpg?v=1757404251,
Caffeine Baar,Frozen Cherry,,,"Whole cherries, fully ripened, deep red in color, are fermented in SS tanks, frozen and slow dried resulting in a highly complex cup, all fresh from Chikmagalur.",https://www.thecaffeinebaar.com/collections/coffee/products/frozen-cherry,//www.thecaffeinebaar.com/cdn/shop/files/2_93508dd6-1bf5-4c11-8dec-e0698642d114_{width}x.jpg?v=1754036955,1kg; 250g
Caffeine Baar,Frozen Cherry Sample Packet,,,"Whole cherries, fully ripened, deep red in color, are fermented in SS tanks, frozen and slow dried resulting in a highly complex cup, all fresh from Chikmagalur.",https://www.thecaffeinebaar.com/collections/coffee/products/frozen-cherry-sample-packet,//www.thecaffeinebaar.com/cdn/shop/files/2_93508dd6-1bf5-4c11-8dec-e0698642d114_{width}x.jpg?v=1754036955,70g
Caffeine Baar,Honey Sun Dried,,,"Arabica beans roasted coffee powder, cherry, and butter cookies flavored to provide pleasant and fruity flavors with every drink, all fresh from Chikmagalur.",https://www.thecaffeinebaar.com/collections/coffee/products/honey-sun-dried,//www.thecaffeinebaar.com/cdn/shop/files/2_c9f76844-ec8a-4536-ac3b-5c198274ecef_{width}x.jpg?v=1754036256,1kg; 250g
Caffeine Baar,Honey Sun Dried Sample Packet,,,"Arabica beans roasted coffee powder, cherry, and butter cookies flavored to provide pleasant and fruity flavors with every drink, all fresh from Chikmagalur.",https://www.thecaffeinebaar.com/collections/coffee/products/honey-sun-dried-sample-packet,//www.thecaffeinebaar.com/cdn/shop/files/2_c9f76844-ec8a-4536-ac3b-5c198274ecef_{width}x.jpg?v=1754036256,70g
Caffeine Baar,Intenso Fermentation,,,"Whole cherries, fully ripened, deep red in color, are fermented in SS tanks, frozen and slow dried resulting in a highly complex cup, all fresh from Chikmagalur.",https://www.thecaffeinebaar.com/collections/coffee/products/intenso-fermentation,//www.thecaffeinebaar.com/cdn/shop/files/2_{width}x.png?v=1754037338,1kg; 250g
Caffeine Baar,Intenso Fermentation Sample Packet,,,"Whole cherries, fully ripened, deep red in color, are fermented in SS tanks, frozen and slow dried resulting in a highly complex cup, all fresh from Chikmagalur.",https://www.thecaffeinebaar.com/collections/coffee/products/intenso-fermentation-sample-packet,//www.thecaffeinebaar.com/cdn/shop/files/2_{width}x.png?v=1754037338,70g
Caffeine Baar,Mixed Fruit Fermentation,,,"Discover our newest Fruit Punch nano-lot coffee, fermented with pineapple, papaya & watermelon. Bright, tropical, and perfectly balanced.",https://www.thecaffeinebaar.com/collections/coffee/products/mixed-fruit-fermentation,//www.thecaffeinebaar.com/cdn/shop/files/NEW_mixed-fruits-sticker_{width}x.jpg?v=1757926292,1kg; 250g
Caffeine Baar,Mixed Fruit Fermentation Sample Packet,,,"Discover our newest Fruit Punch nano-lot coffee, fermented with pineapple, papaya & watermelon. Bright, tropical, and perfectly balanced.",https://www.thecaffeinebaar.com/collections/coffee/products/mixed-fruit-fermentation-sample-packet,//www.thecaffeinebaar.com/cdn/shop/files/NEW_mixed-fruits-sticker_{width}x.jpg?v=1757926292,70g
Caffeine Baar,Naturals,,,"Fresh from Chikmagalur, arabica beans roasted coffee powder, luscious ripened coffee cherries are fermented for 24 hours to get a burst of flavor with every sip.",https://www.thecaffeinebaar.com/collections/coffee/products/natural,//www.thecaffeinebaar.com/cdn/shop/files/2_{width}x.jpg?v=1754029241,1kg; 250g
Caffeine Baar,Naturals Sample Packet,,,"Fresh from Chikmagalur, arabica beans roasted coffee powder, luscious ripened coffee cherries are fermented for 24 hours to get a burst of flavor with every sip.",https://www.thecaffeinebaar.com/collections/coffee/products/naturals-sample-packet,//www.thecaffeinebaar.com/cdn/shop/files/2_{width}x.jpg?v=1754029241,70g
Caffeine Baar,Pineapple Fermentation,,,"Fresh from Chikmagalur, arabica beans roasted coffee powder, caramel, and toasted nuts flavored, pulped coffee fermented with fresh pineapple for delicious flavors.",https://www.thecaffeinebaar.com/collections/coffee/products/pineapple-fermentation-coffee,//www.thecaffeinebaar.com/cdn/shop/files/2_49ceb44d-974e-4140-9948-917960cf2b30_{width}x.jpg?v=1754036595,1kg; 250g
Caffeine Baar,Pineapple Fermentation Sample Packet,,,"Fresh from Chikmagalur, arabica beans roasted coffee powder, caramel, and toasted nuts flavored, pulped coffee fermented with fresh pineapple for delicious flavors.",https://www.thecaffeinebaar.com/collections/coffee/products/pineapple-fermentation-sample-packet,//www.thecaffeinebaar.com/cdn/shop/files/2_49ceb44d-974e-4140-9948-917960cf2b30_{width}x.jpg?v=1754036595,70g
Caffeine Baar,Sample Pack - 2025 Favorites,,,"Enjoy the taste of the delicious trio consisting of our 2022 experiments at the farm aka Elements2022. Frozen Cherry coffee, Papaya Fermentation coffee, and Pineapple Fermentation coffee.",https://www.thecaffeinebaar.com/collections/coffee/products/sample-pack-2024-favorites,//www.thecaffeinebaar.com/cdn/shop/files/Sample_05_78e3d03a-5345-4097-bb2b-3f8d77c9324f_{width}x.jpg?v=1754045837,
Caffeine Baar,Sample Pack - Filter,,,"If you're a manual brew lover, here's the perfect sample pack for you consisting of Naturals Coffee, Honey Sun-Dried Coffee, and Frozen Cherry Fermentation.",https://www.thecaffeinebaar.com/collections/coffee/products/sample-pack-3-natural-honey-sun-dried-frozen-cherry,//www.thecaffeinebaar.com/cdn/shop/files/sample-06_{width}x.jpg?v=1757404187,
Caffeine Baar,Whiskey Barrel Aged Sample Packet,,,"Whole cherries, fully ripened, deep red in color, are fermented in SS tanks, frozen and slow dried resulting in a highly complex cup, all fresh from Chikmagalur.",https://www.thecaffeinebaar.com/collections/coffee/products/whiskey-barrel-aged-sample-packet,//www.thecaffeinebaar.com/cdn/shop/files/Barrel_Aged_FOR_WEB_SITE_1__page-0001_{width}x.jpg?v=1736420275,70g
Caffeine Baar,Whiskey Barrel Aged,,,"Whole cherries, fully ripened, deep red in color, are fermented in SS tanks, frozen and slow dried resulting in a highly complex cup, all fresh from Chikmagalur.",https://www.thecaffeinebaar.com/collections/coffee/products/whisky-barrel-aged,//www.thecaffeinebaar.com/cdn/shop/files/Barrel_Aged_FOR_WEB_SITE_1__page-0001_{width}x.jpg?v=1736420275,1kg; 250g
Caffeine Baar,72 Hour Fermented Washed,,,"Fresh from Chikmagalur, arabica beans roasted coffee powder, wet-processed coffee fermented for 24 hours to offer a full-bodied flavor with every sip.",https://www.thecaffeinebaar.com/products/72-hour-fermented-washed,//www.thecaffeinebaar.com/cdn/shop/files/2_a6f1ef00-eb70-4d55-a896-6ad84634a4ea_{width}x.jpg?v=1754046309,1kg; 250g
Caffeine Baar,Honey Sun Dried,,,"Arabica beans roasted coffee powder, cherry, and butter cookies flavored to provide pleasant and fruity flavors with every drink, all fresh from Chikmagalur.",https://www.thecaffeinebaar.com/products/honey-sun-dried,//www.thecaffeinebaar.com/cdn/shop/files/2_c9f76844-ec8a-4536-ac3b-5c198274ecef_{width}x.jpg?v=1754036256,1kg; 250g
Caffeine Baar,Intenso Fermentation,,,"Whole cherries, fully ripened, deep red in color, are fermented in SS tanks, frozen and slow dried resulting in a highly complex cup, all fresh from Chikmagalur.",https://www.thecaffeinebaar.com/products/intenso-fermentation,//www.thecaffeinebaar.com/cdn/shop/files/2_{width}x.png?v=1754037338,1kg; 250g
Caffeine Baar,Naturals,,,"Fresh from Chikmagalur, arabica beans roasted coffee powder, luscious ripened coffee cherries are fermented for 24 hours to get a burst of flavor with every sip.",https://www.thecaffeinebaar.com/products/natural,//www.thecaffeinebaar.com/cdn/shop/files/2_{width}x.jpg?v=1754029241,1kg; 250g
Caffeine Baar,Pineapple Fermentation,,,"Fresh from Chikmagalur, arabica beans roasted coffee powder, caramel, and toasted nuts flavored, pulped coffee fermented with fresh pineapple for delicious flavors.",https://www.thecaffeinebaar.com/products/pineapple-fermentation-coffee,//www.thecaffeinebaar.com/cdn/shop/files/2_49ceb44d-974e-4140-9948-917960cf2b30_{width}x.jpg?v=1754036595,1kg; 250g
