roaster,name,price,currency,description,product_url,image_url
Coffee Mechanics,Bhadrapura Estate,Rs. 550.00,Rs.,Region: Chikkamagaluru Elevation: 3500 ft asl Roast Type: Cinnamon Roast Tasting Notes: Green Apple &amp; Jaggery,https://www.coffeemechanics.co.in/products/bhadrapura-estate,
Coffee Mechanics,Breakfast Essential Box,"Rs. 1,299.00",Rs.,"Drip Coffee + Granola Duo in a Cherry Red Gift Box Start your day with a box full of essentials - flavour, balance, and craft. This curated breakfast gift box brings together our bestselling Drip-To-Go Classic Coffee (10 bags) with two house-made granolas:• Classic Crunch – oat-forward, mildly sweet, with dried fruit &",https://www.coffeemechanics.co.in/products/breakfast-essential-box,
Coffee Mechanics,Cold Brew Bags - Cherry Pick,Rs. 500.00,Rs.,Cherry Pick This selection was indeed cherry picked for the fruity note lover! It's a delicious combination of refreshing notes of fruits and full bodied coffee with a bite to it. Our top recommendation is to have on Ice with a dash of water to open up the flavours. The rest we leave it to your adventurous palate to ex,https://www.coffeemechanics.co.in/products/cold-brew-bags-cherry-pick,
Coffee Mechanics,Cold Brew Bags - Left Hook,Rs. 500.00,Rs.,Left Hook An absolute punch for the dark roast lover! Darkest roast amoung our selection. A rich roast of high grown coffee Strong French Roast Tasting Notes: Burnt Caramel &amp; Vanilla Set of 5 brew bags Each Brew Bag makes 3-5 cups of coffee concentrate No mess cold brew!  Dread the mess and the inconsistency caused,https://www.coffeemechanics.co.in/products/cold-brew-bags-left-hook,
Coffee Mechanics,Cold Brew Bags - Inch Perfect,Rs. 500.00,Rs.,Inch Perfect Our classic variation of medium roast coffee with notes of creamy butterscotch and toasty almonds! Smooth and flavourful coffee to be enjoyed on Ice or with a dash of milk. Classic Medium Roast Tasting Notes: Butterscotch &amp; Almonds Set of 5 brew bags Each Brew Bag makes 3-5 cups of coffee concentrate N,https://www.coffeemechanics.co.in/products/cold-brew-bags-pack-of-5,
Coffee Mechanics,Cold Brew Bags - Barrel Aged Coffee,Rs. 800.00,Rs.,"Barrel Aged Coffee Micro-Lot  A Rare Selection!  Process: The finest of Indian Arabicas aged in Single Malt Barrels, and meticulously roasted to bring out the delicate notes. High Quality Indian Specialty Arabica aged in a ex-bourbon barrel. The process let the beans soak into the earthiness of the American Oak, fruiti",https://www.coffeemechanics.co.in/products/cold-brew-bags-whisky-barrel-aged,
Coffee Mechanics,Drip To-Go - Cherry Pick,Rs. 550.00,Rs.,Easy to Brew single serve coffee packs Available in Set of 10 Drip Bags/Set of 30 Drip Bags Drip To-Go is a solution to make superior quality coffee effortless and accessible for those with busy schedules but appreciate the finer nuances in coffee. Ideal for coffee at work or while on your travel or trek. All you need,https://www.coffeemechanics.co.in/products/copy-of-drip-to-go-cherry-pick,
Coffee Mechanics,Drip To-Go - Inch Perfect,Rs. 550.00,Rs.,Easy to Brew single serve coffee packs Available in Set of 10 Drip Bags/Set of 30 Drip Bags Drip To-Go is a solution to make superior quality coffee effortless and accessible for those with busy schedules yet appreciate the finer nuances in coffee. Ideal for coffee at work or while on your travel or trek. All you need,https://www.coffeemechanics.co.in/products/drip-to-go,
Coffee Mechanics,Drip To-Go-Left Hook,Rs. 550.00,Rs.,Easy to Brew single serve coffee packs Available in Set of 10 Drip Bags/Set of 30 Drip Bags Drip To-Go is a solution to make superior quality coffee effortless and accessible for those with busy schedules but appreciate the finer nuances in coffee. Ideal for coffee at work or while on your travel or trek. All you need,https://www.coffeemechanics.co.in/products/drip-to-go-left-hook,
Coffee Mechanics,Gourmet Crew & Brew Box,"Rs. 1,899.00",Rs.,"A flavour-packed curation for the crew that appreciates good coffee, great snacks, and even better company. What’s Inside: Classic Granola (Long pouch) – Oat-forward, mildly sweet, with seeds &amp; fruit Chilli Caramel Cashews – Spiced, glazed &amp; slow-roasted Pistachio Biscotti – Crunchy, nutty, elegant Butter Cooki",https://www.coffeemechanics.co.in/products/gourmet-crew-brew,
Coffee Mechanics,House Blend,Rs. 550.00,Rs.,"It was a battle between, the Sweet and the Bold. We couldn't settle for less of either. So, we had to strike a balance! This one is a winner! Sweet as caramel but bold yet beautiful. You drink your coffee black or prefer with milk once in a while, this one is versatile! Roast Type: American Roast Tasting Notes: Bitter",https://www.coffeemechanics.co.in/products/house-blend,
Coffee Mechanics,Left Hook,Rs. 550.00,Rs.,"Left Hook For the one who loves the coffee with a ""punch"",. The darkest roast on our selection! A high grown coffee roasted for rich caramel extract.  Region: Chikkamagaluru Elevation: 3800 ft - 4200 ft asl Roast Type: French Roast Tasting Notes: Burnt Caramel &amp; Vanilla",https://www.coffeemechanics.co.in/products/left-hook,
Coffee Mechanics,The Luxe Box,"Rs. 2,299.00",Rs.,"For those who savour the finer things — this premium curation brings together bold coffee, gourmet snacks, and pantry favourites in a sleek Coffee Mechanics Black Box. What’s Inside: Barrel Aged Coffee (200g) – Aged in oak barrels for deep, complex notes Classic Granola – Lightly sweet with oats, fruit &amp; seeds Pepp",https://www.coffeemechanics.co.in/products/the-luxe-box,
Coffee Mechanics,The Signature Experience Box,"Rs. 2,899.00",Rs.,"Coffee. Crunch. Comfort — Curated in Our Black Gift Box A versatile curation designed for every kind of moment — from quiet mornings to celebratory gifting. The Signature Experience Box brings together small-batch coffee, handcrafted bites, and pantry staples — all packed in our custom Coffee Mechanics Black Box. What’",https://www.coffeemechanics.co.in/products/the-signature-experience-box,
