roaster,name,price,currency,description,product_url,image_url,variants
Curious Life,"Gachatha AA Filter, KENYA (Whole Beans Only)",₹ 2300,INR,SL-28 & SL 34. Super bright with explosiveness of ripe citrus fruits. Light body with clean sweet finish. Exactly the way you would imagine a great Kenyan to be!,https://curiouslifecoffee.com/product/single-origin-kenya-filter/,https://curiouslifecoffee.com/wp-content/uploads/2023/09/so_kenya_1.jpg,
Curious Life,"Shyira, RWANDA – Filter Roast (Whole Beans Only)",₹ 1780,INR,Washed Red Bourbon. Sweet jaggery like aromatics with hint of dark chocolate and juicy tanginess of ripe gooseberries. Light body with clean sweet finish.,https://curiouslifecoffee.com/product/__trashed-4__trashed/,https://curiouslifecoffee.com/wp-content/uploads/2022/04/E0E78363-1875-44FE-92EB-1D93573A3F59.jpg,
Curious Life,Gundikhan Natural Lot 15 & 57 – Filter,₹ 950,INR,"Natural Processed Chandragiri (Sarchimore). 
Aromatics of Prune and Apple. 
Sweet citrus brightness.",https://curiouslifecoffee.com/product/gundikhan-natural-lot-272-filter/,https://curiouslifecoffee.com/wp-content/uploads/2024/08/IMG_8471-1.jpg,
Curious Life,Gundikhan Washed Lot 799 – Filter,₹ 990,INR,"Washed Chandragiri (Sarchimore). 
Clean - Candied tangerines and black tea. 
Hint of Spices.
Medium Body - Clean Finish",https://curiouslifecoffee.com/product/gundikhan-washed-lot-799-filter/,https://curiouslifecoffee.com/wp-content/uploads/2026/01/IMG_2563-4-2.jpg,
Curious Life,"Shyira, RWANDA – Espresso (Whole Beans Only)",₹ 1780,INR,Washed Red Bourbon. Dark chocolate with hint of citrus fruits. Syrupy body and clean finish with pleasing remnants of cocoa. Almond and sweet chocolate notes are highlighted with a dash of milk.,https://curiouslifecoffee.com/product/rwanda-shyira-espresso/,https://curiouslifecoffee.com/wp-content/uploads/2022/04/43337631-9ABC-4A5E-807E-78A828766BB4.jpg,
Curious Life,Gachatha AA Espresso KENYA (Whole Beans Only),₹ 2300,INR,SL-28 & SL 34. Sweet loaded with candied fruits such as black currant and orange. Medium body with clean sweet finish. This Kenyan is absolutely what you need to brighten up your day!!!,https://curiouslifecoffee.com/product/gachatha-aa-espresso-kenya/,https://curiouslifecoffee.com/wp-content/uploads/2023/09/so_kenya_1.jpg,
Curious Life,"BISON, House Blend Espresso",₹ 850,INR,"Our House Blend since 2015. Contains 3-4 Indian Arabica coffees. It is a symphony of wild berries, cacao & tropical spices. Full bodied with a long lasting finish. Perfect for straight espresso or your morning cappuccinos and lattes.",https://curiouslifecoffee.com/product/bison-house-blend-2/,https://curiouslifecoffee.com/wp-content/uploads/2022/08/Bison-600x600.png,
Curious Life,Honnametti Estate – Washed Espresso,₹ 830,INR,"Slightly dark roast with low acidity
Best suited for milk beverages and espresso |
Hint of spices, chocolate and ripe fruits",https://curiouslifecoffee.com/product/honnamatti-estate-washed-espresso/,https://curiouslifecoffee.com/wp-content/uploads/2021/10/Honnametti.jpg,
Curious Life,Hario V60 Dripper 01 RED,₹ 490,INR,,https://curiouslifecoffee.com/product/cafe-press-slim/,https://curiouslifecoffee.com/wp-content/uploads/2019/07/VD-01R.jpg,
Curious Life,AeroPress Coffee Maker,₹ 4400,INR,,https://curiouslifecoffee.com/product/aeropress-coffee-maker/,https://curiouslifecoffee.com/wp-content/uploads/2021/10/AeroPress-Original-set-red-800x800-1-600x600.jpeg,
Curious Life,Fine Porcelain Coffee Mug 300ml,₹ 320,INR,,https://curiouslifecoffee.com/product/pair-of-coffee-mugs/,https://curiouslifecoffee.com/wp-content/uploads/2019/07/FullSizeRender-3.jpg,
