roaster,name,price,currency,description,product_url,image_url
Dope,Aeropress Coffee Maker,"Rs. 4,500",Rs.,"Simple, portable and easy to use, the AeroPress has quickly become one of the cult faves for coffee fans worldwide.  With a deep immersion and a short steep time, it gives full-bodied cups of coffee that are low on bitterness and high on flavour.  Strained by using pressure to push the brew through a microfilter paper",https://dopecoffee.in/products/aeropress-coffee-maker,
Dope,ANDROMEDA,Rs. 895,Rs.,"250gm Studded with around one trillion stars, the Andromeda Galaxy is our galactic neighbour known for being incredibly dense and complex - just like this blend. Composed of some of the local stars of the Indian specialty coffee scene, the Andromeda Blend’s high bean density give it a heavier body that will blow your m",https://dopecoffee.in/products/andromeda,
Dope,Buzz Blend,Rs. 520,Rs.,"250gm Taste the Thrill, Embrace the Buzz! Our roasters tested their creativity levels and came up with this dark roast masterpiece that brings together the best of both worlds of Arabica &amp; Robusta, delivering an electrifying symphony of flavors.",https://dopecoffee.in/products/buzz-blend,
Dope,POLARIS COLD BREW BLEND,Rs. 575,Rs.,"250gm100% Arabica Brewed in chilled water, cold brew makes a drink that's smoother, mellower and rounder than it's cousin hot coffee. Instead of just using any bean, we put together an astral blend that takes iced caffeine to up to galactic levels. Polaris shines through any kind of milk or sweetener and if you're bold",https://dopecoffee.in/products/cold-brew,
Dope,MIZUDASHI Cold Brew Pot (1000ml),"Rs. 1,690",Rs.,"You can make iced coffee with just coffee and water. Pour small amounts of water to wet the coffee grounds while dripping with a circular motion. Once filled, place the cap and gently shake the bottle to start the extraction. Refrigerate for approximately 8 hours before serving.CAPACITY : 8 cups.",https://dopecoffee.in/products/cold-brew-pot-1000-ml,
Dope,Cold Brew Starter Kit,"Rs. 1,850",Rs.,"Love coffee but it's too hot where you live to drink a steaming brew every day? Man, sounds like you need to whip up some Cold Brew. And this kit has got everything you need to get started.  The kit comes with 1 x Hario Mizudashi (600ml) 1 x 12-gram Measuring Spoon 1 x Polaris Cold Brew Blend",https://dopecoffee.in/products/cold-brew-starter-kit-1,
Dope,CRYOSPHERE,Rs. 750,Rs.,"250gm Inspired by the term for all the frozen bits of planet Earth, our Cryosphere Cold Brew Blend will transport you to frozen lands with your very first sip. Built for that keep it extra icy, its smooth cocoa flavour morphs into a blizzard of nuttiness for the finish.  TASTE LIKE: Cocoa, Spices, Nutty",https://dopecoffee.in/products/cryopshere,
Dope,Dark Matter,Rs. 620,Rs.,"250gm Anti Gravity BlendOur gravity-defying Five Bean house blend is mad chocolatey and super nutty. Smooth as a shot and strong enough to hold its grounds against anything you throw at it, Dark Matter is the fuel for all our espresso drinks.ROAST: MEDIUM DARKTASTES LIKE:",https://dopecoffee.in/products/dark-matter,
Dope,French Press Starter Kit,"Rs. 2,715",Rs.,"Love coffee that’s bold, intense and flavourful? Then this French Press kit has your name written all over it. The kit comes with 1 x Cafe Slim 1 cup French Press 1 x 12-gram Measuring Spoon 1 x Domestic Coffee of Your Choice",https://dopecoffee.in/products/french-press-starter-kit-1,
Dope,Gravity Wave,Rs. 975,Rs.,"250gm Immersion Blend When the atmosphere and ocean interact it creates the tides. That’s a gravity wave. When this blend and water interact they create flavours so powerful, we felt like it was its own kind of Gravity Wave. Built for the long steep time of immersion brewing, the fluid dynamics of this liquid are made",https://dopecoffee.in/products/gravity-wave,
Dope,KALLEDEVARAPURA ESTATE,Rs. 645,Rs.,"250gm 100% Arabica Centuries ago, when the legendary Baba Budangiri dropped some of these beans in the hills of South India, even he didn’t know they’d become this absolute beast of a coffee. Grown at 4500 feet above sea level, this coffee’s got flavours that are complex like calculus. With it’s smooth, natural sweetne",https://dopecoffee.in/products/kalledevarapura-estate,
Dope,Kuttinkhan  Estate,Rs. 635,Rs.,"250gm 100% Specialty Arabica We scored this gem of an Arabica nano lot from the Kuttinkhan Estate, where coffee adventures meet wild wonders! In the midst of Chikmagalur's untamed wilderness, Rebello Family, a fearless band of coffee pioneers, embarked on an epic journey. The Estate when first established was in the mi",https://dopecoffee.in/products/kuttinkhan-lower-estate,
Dope,NILGIRI,Rs. 625,Rs.,"250gm 100% ArabicaIf your coffee plantation is right next to a leopard sanctuary, things are definitely going to get wild. Coming from way down South, Nilgiri aka ‘Blue Mountain’ coffee is one of Tamil Nadu’s finest beans. Grown alongside the combo of sugar-cane, orange and eucalyptus, this one’s got flavours that are",https://dopecoffee.in/products/nilgiri-estate,
Dope,Pour Over Starter Kit,"Rs. 2,505",Rs.,"Are you looking have complete control over your brew to make coffees that are clear, complex and light?This pour over kit is designed to do just that. The kit comes with. 1 x 2 cup Hario V60 1 x 12-gram Measuring Spoon 1 x 600 ml glass Server 1 x 40 piece set of V60 Filter Papers 1 x Domestic Coffee of Your Choice",https://dopecoffee.in/products/pour-over-starter-kit,
Dope,ROARING ROBUSTA,Rs. 480,Rs.,"250gm 100% Robusta   Roaring Robusta isn't here to play it safe; it's here to fuel your fun!  Indulge in the wild energy of 100% Robusta beans, skillfully roasted to a deep, luscious darkness. With a flavor profile that fearlessly flaunts its intensity, Roaring Robusta unveils notes of rich Dark Chocolate, a dash of Oa",https://dopecoffee.in/products/roaring-robusta,
Dope,V60 Dripper & Server Combo,"Rs. 2,590",Rs.,"Coffee Server Hario Red Dripper Set comes with a measuring spoon, a paper coffee filter and Dripper serverHario Circular Design Plastic DripperAll glass coffee serverHeatproof glassMicrowave safe",https://dopecoffee.in/products/v60-dripper-server-combo-600ml,
Dope,V60 Plastic Coffee Dripper/Pour Over,Rs. 650,Rs.,"Why the cone shape? The cone shaped paper filter adds depth to the coffee layer, so that the water flows to the center, extending the amount of time it is in contact with the ground coffee.SIZE 02 | CAPACITY : 1-4 cups.",https://dopecoffee.in/products/v60-plastic-coffee-dripper-pour-over,
Dope,VIENNA VORTEX,Rs. 580,Rs.,"Embrace The Vortex  The Vienna Vortex isn’t just your average cup of Joe; it's a flavor-packed adventure waiting to sweep you off your feet! Whether you're gearing up for the day ahead or craving a delightful pause, this coffee is your trusty sidekick, daring you to dive headfirst into the whirlwind of bold flavors tha",https://dopecoffee.in/products/vienna-vortex,
