roaster,name,price,currency,description,product_url,image_url
Estate Monkey,AAA ARABICA PLANTATION,Regular price Rs. 475.00 Regular price Sale price Rs. 475.00 Unit price / per Sale Sold out,Rs.,"Arabica beans are of premium quality. Shade-grown and washed coffee from the regions of Coorg, Karnataka Fresh single origin 100% Arabica coffee beans, roasted in limited collection and with care Roast Level - Medium Recommended Brewing Methods - Espresso, Aeropress, Moka Pot, Coffee Filter, South Indian Filter, French Press Coffee Notes - Citrus and Hint of Spices Net Quantity - 75 grams | 200 grams",https://www.estatemonkeys.com/products/aaa-arabica-plantation-200g,//estatemonkeys.com/cdn/shop/files/AAAArabica200g.png?v=1715172759&width=1946
Estate Monkey,"arabica select, DAWN",Regular price Rs. 350.00 Regular price Rs. 625.00 Sale price Rs. 350.00 Unit price / per Sale Sold out,Rs.,"The Arabica Select collection is for discerning coffee drinkers who appreciate authentic, specialty-grade Indian coffee, expertly blended from farms with heritage and recognition — delivering the genuine flavours of Coorg straight from estate to cup. DAWN is a signature blend crafted from the celebrated Baragalli Estate, recognized by its Geographical Indication (GI) status, and enriched with AAA-grade Arabica cherries exclusively from Coorg. This washed and sun-dried Arabica blend exemplifies Estate Monkeys' commitment to origin purity and top-tier quality. DAWN stands out for its enveloping chocolaty note—rich and bold, yet balanced with a subtle natural sweetness that reflects the best of Coorg’s coffee terroir. Origin: Single-origin, Coorg (Baragalli Estate + Arabica Cherry AAA) Packaged in a 250g pack, our coffee is freshly roasted and sealed to preserve its aroma and flavour. Brew it strong, enjoy it black, or pair it with frothy milk for the ultimate South Indian filter coffee experience.",https://www.estatemonkeys.com/products/arabica-select-dawn,//estatemonkeys.com/cdn/shop/files/1_b8c68afc-7179-4a3b-b952-d5600455f7e0.png?v=1757582347&width=1946
Estate Monkey,"arabica select, MELLOW",Regular price Rs. 350.00 Regular price Rs. 625.00 Sale price Rs. 350.00 Unit price / per Sale Sold out,Rs.,"The Arabica Select collection is for discerning coffee drinkers who appreciate authentic, specialty-grade Indian coffee, expertly blended from farms with heritage and recognition — delivering the genuine flavours of Coorg straight from estate to cup. MELLOW is a refined, citrus-forward blend uniquely sourced from the Puttana Koppalu Estate — another GI-tagged gem of Coorg and AAA-grade Arabica cherries, all treated through a washed process for clarity and vibrancy. MELLOW delights with subtle orange notes, a supple and silky body, and an uplifting aroma that instantly transports you to the lush landscapes of Coorg. The blend is thoughtfully created for those seeking a gentle, nuanced filter coffee with bright yet balanced acidity. Origin: Single-origin, Coorg (Puttana Koppalu Estate + Arabica Cherry AAA) Packaged in a 250g pack, our coffee is freshly roasted and sealed to preserve its aroma and flavour. Brew it strong, enjoy it black, or pair it with frothy milk for the ultimate South Indian filter coffee experience.",https://www.estatemonkeys.com/products/arabica-select-mellow,//estatemonkeys.com/cdn/shop/files/6_87893d53-bc2b-4502-b470-408f49f347f5.png?v=1757582693&width=1946
Estate Monkey,ArRo 03,Regular price Rs. 400.00 Regular price Sale price Rs. 400.00 Unit price / per Sale Sold out,Rs.,"Arabica and Robusta beans are of premium quality. Shade-grown coffee from the regions of Coorg. Fresh single origin 100% coffee beans, roasted in limited collection and with care Roast Level - Medium Coffee Blend - Arabica Plantation AA, Robusta Cherry Net Quantity - 75 grams | 200 grams",https://www.estatemonkeys.com/products/arro-03-200g,//estatemonkeys.com/cdn/shop/files/ArRo03200g.png?v=1715179231&width=1946
Estate Monkey,BARAGALLI ESTATE,Regular price Rs. 475.00 Regular price Rs. 0.00 Sale price Rs. 475.00 Unit price / per Sale Sold out,Rs.,"Baragalli arabica beans are of premium quality. Shade-grown and washed coffee from the regions of Somwarpet, Coorg. Fresh single estate 100% Arabica coffee beans, roasted in limited collection and with care Recommended Brewing Methods - Espresso, Aeropress, Moka Pot, Coffee Filter, South Indian Filter, French Press Coffee Notes - Orange, Hint of Spicy, Herbal Net Quantity - 75 grams | 200 grams",https://www.estatemonkeys.com/products/baragalli-estate,//estatemonkeys.com/cdn/shop/files/Baragalliestate200g.png?v=1715179324&width=1946
Estate Monkey,the BARAGALLY,Regular price Rs. 300.00 Regular price Rs. 400.00 Sale price Rs. 300.00 Unit price / per Sale Sold out,Rs.,"Experience the richness of BARAGALLY, a premium single-origin Coorg filter coffee crafted from handpicked Arabica and Robusta cherries. Sourced from the lush coffee estates of Somwarpet, Coorg, this blend is carefully roasted to bring out the natural flavors of the beans. BARAGALLY is part of the Estate Monkeys Origin Collection—a range of coffees that celebrate the purity of single-origin coffee. Each coffee in this collection is made from graded coffee beans from a single origin, blended with single-estate Arabica to create a balanced and authentic taste. With its bold body, chocolatey notes, and smooth finish, BARAGALLY is the perfect choice for traditional South Indian filter coffee lovers. It’s a pure coffee experience—no chicory, no additives—just expertly roasted estate coffee. Packaged in a 250g pack, our coffee is freshly roasted and sealed to preserve its aroma and flavor. Brew it strong, enjoy it black, or pair it with frothy milk for the ultimate South Indian filter coffee experience.",https://www.estatemonkeys.com/products/baragally,//estatemonkeys.com/cdn/shop/files/ESTATE_MONKYES_1.png?v=1747097716&width=1946
Estate Monkey,COORG ARABICA | COFFEE BOX,"Regular price Rs. 1,100.00 Regular price Sale price Rs. 1,100.00 Unit price / per Sale Sold out",Rs.,"Arabicas of Coorg. Premium quality shade-grown coffee from the regions of Coorg Fresh single origin 100% Arabica coffee beans, roasted in limited collection and with care Roast Level - Medium Coffee Packs - Arabica Plantation AAA, Arabica Plantation AA, Arabica Plantation Peaberry Net Quantity - 200 grams x 3 pac",https://www.estatemonkeys.com/products/coorg-arabica-plantation-coffee-range-box,//estatemonkeys.com/cdn/shop/files/6copy.png?v=1715661870&width=1946
Estate Monkey,COORG CHERRY | COFFEE BOX,Regular price Rs. 680.00 Regular price Rs. 230.00 Sale price Rs. 680.00 Unit price / per Sale Sold out,Rs.,"Arabicas of Coorg. Premium quality shade-grown coffee from the regions of Coorg Fresh single origin 100% Arabica coffee beans, roasted in limited collection and with care Roast Level - Medium Coffee Packs - Arabica Cherry & Robusta Cherry Net Quantity - 200 grams x 2 packs",https://www.estatemonkeys.com/products/graded-cherry-coffee-combo,//estatemonkeys.com/cdn/shop/files/Coorgcherriescombo200g.png?v=1715179491&width=1946
Estate Monkey,ArRo SERIES BOX,"Regular price Rs. 1,250.00 Regular price Rs. 1,600.00 Sale price Rs. 1,250.00 Unit price / per Sale Sold out",Rs.,"Arabica and Robusta beans are of premium quality. Shade-grown coffee from the regions of Coorg. ArRo showcases our blends of Arabica & Robusta Fresh single origin 100% Arabica coffee beans, roasted in limited collection and with care Roast Level - Medium Net Quantity - 200 grams x 4 packs",https://www.estatemonkeys.com/products/house-blend-arro-combo,//estatemonkeys.com/cdn/shop/files/House_Blend_Combo_-_200_g_-_FOP.png?v=1672085157&width=1946
Estate Monkey,ARABICA | SINGLE ESTATE BOX,Regular price Rs. 700.00 Regular price Rs. 950.00 Sale price Rs. 700.00 Unit price / per Sale Sold out,Rs.,"GI Tagged Arabica coffee estates of Coorg Baragalli Estate & Puttanna Koppalu Estate produce some of the finest Arabica coffees of Coorg Fresh single estate 100% Arabica coffee beans, roasted in limited collection and with care Roast Level - Medium Recommended Brewing Methods - Espresso, Aeropress, Moka Pot, Coffee Filter, South Indian Filter, French Press Net Quantity - 200 grams x 2 packs",https://www.estatemonkeys.com/products/single-estate-combo,//estatemonkeys.com/cdn/shop/files/1_4c88651b-b5ac-4021-9061-d91b27c87e8d.png?v=1713270019&width=1946
