roaster,name,price,currency,description,product_url,image_url
Half Light,Aeropress,"Regular price Rs. 5,500.00 Regular price Sale price Rs. 5,500.00 Unit price / per",Rs.,"Rapid, total immersion brewing process makes delicious full flavored coffee without bitterness Makes 1 to 3 cups per pressing in about one minute Brews regular American style coffee Brews espresso style coffee for use in lattes and other espresso based drinks Microfilter means no grit in your cup (unlike a French press",https://halflightcoffee.com/products/aeropress,//halflightcoffee.com/cdn/shop/files/Screenshot2023-10-30at4.15.02PM.png?v=1698662972&width=1946
Half Light,Daily Drip Coffee Bags (Pack of 7),Regular price Rs. 400.00 Regular price Sale price Rs. 400.00 Unit price / per,Rs.,"Brew Indian Specialty Coffee anywhere, anytime, no equipment needed. These on-the-go Daily Drip coffee bags are designed for effortless brewing on the go. Perfect for those who crave good coffee on busy mornings or weekend getaways. 7 individually packed, nitrogen flushed coffee drip bags in 1 box. Net wt.: 7 bags x 12",https://halflightcoffee.com/products/daily-drip-coffee-bags-pack-of-7,//halflightcoffee.com/cdn/shop/files/DD2.jpg?v=1754460774&width=1946
Half Light,Hario V 60 Filter Paper,Regular price Rs. 450.00 Regular price Sale price Rs. 450.00 Unit price / per,Rs.,Hario V60 cone shaped disposable paper filters for pour-over brewers Each filter is for single time use Contains 100 disposable natural size 02 paper filters Capacity of Size 02 is 1-4 cups Designed in Japan to fit the cone shaped Size 02 dripper Learn how to brew V60 Pour Over HERE,https://halflightcoffee.com/products/filter-paper,//halflightcoffee.com/cdn/shop/files/v60filterresized.png?v=1685263393&width=1946
Half Light,Timemore French Press,"Regular price Rs. 2,000.00 Regular price Sale price Rs. 2,000.00 Unit price / per",Rs.,"With excellent craftsmanship and brewing capabilities, the Timemore U French press brews full-bodied goodness in every cup. It is also easy to use, clean and maintain. High Quality Build Fine Mesh Filter Excellent Heat Retention CAPACITY:  450 ml   MATERIAL: Borosciliate glass and stainless steel body Temperature resis",https://halflightcoffee.com/products/french-press,//halflightcoffee.com/cdn/shop/files/1_fd740952-3d02-4ab9-ada0-c75e4d6b3ad4.webp?v=1706531130&width=1946
Half Light,Garo Sankalp A2-10,Regular price Rs. 700.00 Regular price Sale price Rs. 700.00 Unit price / per,Rs.,"Location – Garo Hills, MeghalayaAltitude – 850 - 965 MaslVarietal – Cauvery, SLN 795Process – Anaerobic NaturalsCup Notes – Java Plum, Black Raisin, Maple SyrupRoast Profile – Light - Medium Net wt. - 250 g | 8.8 oz Garo Sankalp A2-10 represents the evolving journey of Project Sankalp, an initiative driven by Waribok D",https://halflightcoffee.com/products/garo-sankalp-a2-10,//halflightcoffee.com/cdn/shop/files/GaroSankalp.jpg?v=1766566400&width=1946
Half Light,Banana Kents by Balanoor Plantation,Regular price Rs. 680.00 Regular price Sale price Rs. 680.00 Unit price / per,Rs.,"Location – Chikmagalur, KarnatakaAltitude – 1000-1400 mt. MaslVarietal – KentsProcess – PSDCup Notes – Jaggery Bites, Plum, CocoaRoast Profile – Light-MediumNet wt. - 250 g | 8.8 ozMerthi Subbangudigy Estate (MS Estate) is located in the Sahyadari ranges of the Western Ghats, Chikmagalur, Karnataka. The estate is part",https://halflightcoffee.com/products/gemblary-estate,//halflightcoffee.com/cdn/shop/files/BK.jpg?v=1756113968&width=1946
Half Light,Halflight Coffee Gift Card,Regular price Rs. 400.00 Regular price Sale price Rs. 400.00 Unit price / per,Rs.,"Shopping for someone else but not sure what to give them? Give them the gift of choice with a gift card.Gift cards are delivered by email with unique code, Use it at checkout to redeem. Our gift cards have no additional processing fees. Terms &amp; Conditions :- 1. This voucher is valid until Six months from the date o",https://halflightcoffee.com/products/halflight-coffee-gift-card,//halflightcoffee.com/cdn/shop/files/gift_card_2025.jpg?v=1754671863&width=1946
Half Light,Halli Berri by Kambihalli Estate,Regular price Rs. 700.00 Regular price Sale price Rs. 700.00 Unit price / per,Rs.,"Honey processed Chandragiri grown at 1200 MASL in the Bababudan Giri hills of Chikmagalur. Cultivated at Kambihalli Estate under shade-grown trees. This coffee reflects a deep connection to land and ecosystem. Expect lemon black tea notes, mellow sweetness, and a smooth, well-structured finish.Kambihalli Estate traces",https://halflightcoffee.com/products/halli-berri-kambihalli-estate-1,//halflightcoffee.com/cdn/shop/files/HalliBerri_11ed74e1-a423-49a9-b15f-6246ae3bd99c.jpg?v=1770281896&width=1946
Half Light,Hario V60 Dripper 02,Regular price Rs. 650.00 Regular price Sale price Rs. 650.00 Unit price / per,Rs.,"Sturdy, lightweight pour-over coffeemaker, perfect for travel Manual brewing method allows you to choose your ideal brew time and temperature, ensuring a perfect cup of coffee Coffee flows through the cone directly into your cup or coffee pot The V60 coffee dripper controls the flow, timing and temperature of the water",https://halflightcoffee.com/products/hario-v60-dripper-02,//halflightcoffee.com/cdn/shop/files/Screenshot2023-05-28at4.36.52PM.png?v=1685272311&width=1946
Half Light,MS Estate,Regular price Rs. 600.00 Regular price Sale price Rs. 600.00 Unit price / per,Rs.,"Location – Chikmagalur, Karnataka Altitude – 1000-1400 mt. Masl Varietal – SLN 795 HG Process – Washed Cup Notes – Berries, Peach and Walnut Roast Profile – Medium, Medium-Dark (Espresso)Net wt. - 250 g | 8.8 oz Merthi Subbangudigy Estate (MS Estate) is located in the Sahyadari ranges of the Western Ghats, Chikmagalur,",https://halflightcoffee.com/products/ms-estate,//halflightcoffee.com/cdn/shop/files/MS.jpg?v=1756113968&width=1946
