roaster,name,price,currency,description,product_url,image_url
Home Blend,Whole Bean - Araku Valley - Pack of 250g,Regular price Rs 600.00 Regular price Rs 700.00 Sale price Rs 600.00 Unit price / per Sale Sold out,Rs,"100% Specialty Grade Arabica Coffee. Discover the rich and flavourful taste of Araku Valley coffee, grown in the highlands of Eastern Ghats. Crafted by Boini Sanni Babu, this speciality coffee is known to delight palates worldwide. Savour the unique experience with each sip of our 250g pack",https://homeblendcoffee.com/products/araku-coffee,//homeblendcoffee.com/cdn/shop/files/Home_Blend_Coffee_Roasters_Araku_Valley_250g.jpg?v=1754308041&width=1946
Home Blend,Whole Bean - Decaf - Boothangudi Estate Decaffeinated - Pack of 250g,"Regular price Rs 875.00 Regular price Rs 1,000.00 Sale price Rs 875.00 Unit price / per Sale Sold out",Rs,"Natural Co2 Decaffeinated Coffee from An Experimental Coffee Producer in Chikmagalur. This Boothangudi Estate is Classified as a ""Sacred Grove"" that has a special religious and cultural importance. The Estate is located at 1000-1000 MASL Altitude, and has a Perennial water source in the estate feeding the plantation.",https://homeblendcoffee.com/products/boothangudi-decaffeinated-decaf-pack-of-250g,//homeblendcoffee.com/cdn/shop/files/Home_Blend_Coffee_Roasters_-_Decaf_Decaffeinated_Coffee_-_250g.jpg?v=1754308103&width=1946
Home Blend,Drip Coffee Bags | Mysore Nuggets Extra Bold | Medium Roast | Pack of 10,Regular price Rs 599.00 Regular price Rs 699.00 Sale price Rs 599.00 Unit price / per Sale Sold out,Rs,Mysore Nuggets Extra Bold | Pack of 10 Drip Bags | Just Add Hot Water | Easy Pour | Single-Serve | Pour Over Coffee | A Single Drip Bag Brews 180 ml | Pack Of 10 | Medium Roast | Freshly Roasted Specialty Coffee | 100% Specialty Grade Arabica | Eco-Friendly | Ground Coffee | Gifts For Coffee Lovers | Coffee Grounds | Buy Coffee Online,https://homeblendcoffee.com/products/dripcoffee-mysore-nuggets,//homeblendcoffee.com/cdn/shop/products/MYSOREFINAL.jpg?v=1584650988&width=1946
Home Blend,Drip Coffee Bags | Original | Light to Medium Roast | Pack of 10,Regular price Rs 499.00 Regular price Rs 599.00 Sale price Rs 499.00 Unit price / per Sale Sold out,Rs,Drip Coffee by Home Blend Coffee Roasters | Just Add Hot Water | Easy Pour | Single-Serve | Pour Over Coffee | A Single Drip Bag Brews 180 ml | Pack Of 10 | Light Roast | Freshly Roasted Specialty Coffee | 100% Specialty Grade Arabica | Eco-Friendly | Ground Coffee | Gifts For Coffee Lovers | Coffee Grounds | Buy Coffee Online,https://homeblendcoffee.com/products/dripcoffee-original,//homeblendcoffee.com/cdn/shop/products/1.DripBagsIndiaOriginal.png?v=1584650989&width=1946
Home Blend,Ground Coffee - Bettadamalali Estate - Pack of 250g,Regular price Rs 600.00 Regular price Rs 700.00 Sale price Rs 600.00 Unit price / per Sale Sold out,Rs,"Bettadamalali Estate | 100% Shade Grown, High Altitude Arabica Experience the exquisite taste of one-hundred percent shade-grown coffee, cultivated under a harmonious blend of both planted and native trees, rich volcanic soil, pure water sources, invigoratingly crisp air, and meticulous care from the land's stewards",https://homeblendcoffee.com/products/ground-coffee-bettadamalali-estate,//homeblendcoffee.com/cdn/shop/files/Home_Blend_Coffee_Roasters_-_Bettadamalali_Estate_250g.jpg?v=1754308118&width=1946
Home Blend,Ground Coffee - Decaf - Boothangudi Estate Decaffeinated - Pack of 250g,"Regular price Rs 875.00 Regular price Rs 1,000.00 Sale price Rs 875.00 Unit price / per Sale Sold out",Rs,"Natural Co2 Decaffeinated Coffee from Boothangudi Estate, which is located at an altitude of 1000-1000 MASL and has a Perennial water source in the estate feeding the plantation. ""Boothan"" meaning Lord boothappan ""Gudi"" meaning Temple. Boothangudi is classified as ""Sacred Groves"" in india and is over 2000 years old.",https://homeblendcoffee.com/products/ground-coffee-decaf-boothangudi-estate-pack-of-250g,//homeblendcoffee.com/cdn/shop/files/Home_Blend_Coffee_Roasters_-_Decaf_Decaffeinated_Coffee_-_250g.jpg?v=1754308103&width=1946
Home Blend,Ground Coffee - Custom Roast Arabica 'AAA' + Cherry 'AAA' - Pack of 250g,Regular price Rs 540.00 Regular price Rs 650.00 Sale price Rs 540.00 Unit price / per Sale Sold out,Rs,"Coffee Perfectly Ground for Your Equipment and Brew Method. Mysore Nuggets and Cherry AAA Blend, the Best Choice for Incredible Crema and an Invigorating Caffeine Punch. Enjoy a Smooth Body, Mild Acidity, Balanced Flavour. From Coorg & Chikmagalur, Discover Finest Indian Specialty Coffee from India's Best Coffee Roasters",https://homeblendcoffee.com/products/ground-customroast,//homeblendcoffee.com/cdn/shop/files/Home_Blend_Coffee_Roasters_-_Custom_Roast_250g_Medium_Roast.jpg?v=1754307270&width=1946
Home Blend,Ground Coffee - Mandheling Grade 1 Indonesian Specialty Arabica - Pack of 250g,"Regular price Rs 1,850.00 Regular price Rs 2,000.00 Sale price Rs 1,850.00 Unit price / per Sale Sold out",Rs,"Discover the Richness of Mandheling Grade 1 Ground Coffee (250g) - Indonesia's Finest 100% Arabica Specialty Coffee! Grade 1, Triple Picked Mandheling Is Considered To Be One Of The Most Premium Grades Of Specialty Coffee Around The World. Smooth, Chocolatey & Earthy Limited Lot - Buy Now & Savour Sumatra's Finest!",https://homeblendcoffee.com/products/ground-mandheling,//homeblendcoffee.com/cdn/shop/files/Home_Blend_Coffee_Roasters_-_Indonesian_Mandheling_Grade_1_Triple_Picked_-_250g.jpg?v=1754307494&width=1946
Home Blend,Ground Coffee - Monsooned Malabar 'AA' Indian Specialty Arabica - Pack of 250g,Regular price Rs 700.00 Regular price Rs 800.00 Sale price Rs 700.00 Unit price / per Sale Sold out,Rs,"Monsooned Malabar AA 250g Ground Coffee. Discover the Delight of Indian Specialty Coffee! Swollen, Yellow Beans Processed Naturally with Monsoon Rains. Limited Harvest, Nutty, Earthy Flavour. Buy Coffee Online Ground for Your Brewing Needs. Altitude: 1100-1200M, Processing: Monsooned, Location: Malabar Coast",https://homeblendcoffee.com/products/ground-monsoonedmalabar,//homeblendcoffee.com/cdn/shop/files/Home_Blend_Coffee_Roasters_-_Monsooned_Malabar_-_250g.jpg?v=1754307465&width=1946
Home Blend,Ground Coffee - Mysore Nuggets Extra Bold 'AAA' Indian Specialty Arabica - Pack of 250g,Regular price Rs 650.00 Regular price Rs 700.00 Sale price Rs 650.00 Unit price / per Sale Sold out,Rs,"Discover Coffee Perfection! Our Mysore Nuggets Extra Bold - Ground For Your Preferred Brewing Method And Equipment : Indian Specialty Arabica with Fruity, Citrus, Cocoa Notes. Order Yours Now Freshly Roasted by Home Blend Coffee Roasters. Pack of 250g | Processing: Washed | Location: Chikmagalur | Altitude: 1000-1500M",https://homeblendcoffee.com/products/ground-mysorenuggets,//homeblendcoffee.com/cdn/shop/files/Home_Blend_Coffee_Roasters_-_Mysore_Nuggets_Extra_Bold_250g_Medium_Roast.jpg?v=1754315344&width=1946
