roaster,name,price,currency,description,product_url,image_url
Maverick and Farmer,,Regular price Rs. 659.00 Regular price Sale price Rs. 659.00 Unit price / per,Rs.,Maverickandfarmer,https://www.maverickandfarmer.com/pages/product-list,
Maverick and Farmer,Beginner stainless steel Moka Pot + Coffee pack,"Regular price Rs. 1,350.00 Regular price Sale price Rs. 1,350.00 Unit price / per Sale Sold out",Rs.,"Shipped with a 50gm pack of Moka-pot grind coffee. Choose your preferred coffee! Extremely durable and built for rugged use, this functional stainless steel moka pot is a great way to start brewing espresso at home. Simple to use, it works efficiently   on your gas stove, brewing an espresso shot in under 4 minutes.  T",https://www.maverickandfarmer.com/products/beginner-stainless-steel-moka-pot-home-espresso,//www.maverickandfarmer.com/cdn/shop/products/mokapotwith50gm.jpg?v=1621921713&width=1946
Maverick and Farmer,Brewin'-a-cup : Parama,Regular price Rs. 500.00 Regular price Sale price Rs. 500.00 Unit price / per Sale Sold out,Rs.,"Our hugely popular Parama blend finds a new avatar with this easy-to-brew all in one pour-over filter. Parama is our luxury blend, with bold notes of chocolate and caramel with a creamy mouthfeel. Perfect if you like something bold and black or if are adding milk or any whitener.  All you need is a cup, to brew this l",https://www.maverickandfarmer.com/products/brewin-a-cup-parama,//www.maverickandfarmer.com/cdn/shop/products/IMG_2287.jpg?v=1626261788&width=1946
Maverick and Farmer,Brewin'-a-cup : Tall Dark Handsome,Regular price Rs. 500.00 Regular price Sale price Rs. 500.00 Unit price / per Sale Sold out,Rs.,"All you need is a cup, of this beautiful French (dark) roast Arabica. The coffee has a dark, bitter-sweet and mildly smoky flavour. 100% single estate Arabica, perfect for milk-based coffee or a strong black coffee. All you need is a cup, to brew this coffee! Simply place this filter on your favourite coffee cup, pour",https://www.maverickandfarmer.com/products/brewin-a-cup-tall-dark-handsome,//www.maverickandfarmer.com/cdn/shop/products/2.jpg?v=1626185539&width=1946
Maverick and Farmer,Cold brew - Dark & Fruity,Regular price Rs. 650.00 Regular price Sale price Rs. 650.00 Unit price / per Sale Sold out,Rs.,"Dark &amp; Fruity is for those who love their cold brew coffee with a heavier body, rich, and flavourful. Cold Brew - Dark &amp; Fruity is a medium dark roast and the brew works well if had with a few cubes of ice and a splash of water (enjoy the Shiraz-like notes!). Go ahead and add milk or cream if you like, Dark &am",https://www.maverickandfarmer.com/products/cold-brew-dark-and-fruity,//www.maverickandfarmer.com/cdn/shop/products/coldbrewdarkandfruity.jpg?v=1616570130&width=1946
Maverick and Farmer,Cold brew - Light & Bright,Regular price Rs. 650.00 Regular price Sale price Rs. 650.00 Unit price / per Sale Sold out,Rs.,"Light &amp; Bright is a 'sessionable' cold brew, which means you can keep sipping on multiple glasses of this gorgeous drink through the day. Light &amp; Bright is a light roast Arabica, with a brightness that's perfect for the summer and a smooth, mellow finish Light &amp; Bright isn't recommended if you like your col",https://www.maverickandfarmer.com/products/cold-brew-light-bright,//www.maverickandfarmer.com/cdn/shop/products/Coldbrewlightandbright.jpg?v=1616571741&width=1946
Maverick and Farmer,Cold brew - New Orleans Style,Regular price Rs. 550.00 Regular price Sale price Rs. 550.00 Unit price / per Sale Sold out,Rs.,"Our New Orleans Style of cold brew is a blend of dark roasted  honey sun-dried coffee and roasted chicory root. This blend produces a strong, rich, deep and flavourful cold brew concentrate that tastes divine with a few ice cubes and some milk. Or condensed milk.  A quick history lesson? Thanks to the French influenc",https://www.maverickandfarmer.com/products/copy-of-cold-brew-new-orleans-style,//www.maverickandfarmer.com/cdn/shop/products/coldbrewneworleans.jpg?v=1616573212&width=1946
Maverick and Farmer,Two Beans In A Pod,Regular price Rs. 700.00 Regular price Sale price Rs. 700.00 Unit price / per Sale Sold out,Rs.,"Cocoa beans, like coffee beans, go through a similar fermentation process once harvested and scooped out of the pod. Fermentation gives the beans a complexity in flavour apart from being necessary to prepare the beans for the next step - roasting..  With Two Beans In A Pod, we've developed a unique method of fermenting",https://www.maverickandfarmer.com/products/copy-of-what-the-ale,//www.maverickandfarmer.com/cdn/shop/products/twobeansinapod.jpg?v=1642162282&width=1946
Maverick and Farmer,Craft your signature botanical perfume by Kimaya Blends,"Regular price Rs. 1,500.00 Regular price Sale price Rs. 1,500.00 Unit price / per Sale Sold out",Rs.,"Create your own pure botanical perfume using a luxurious palette of 20+ essential oils and absolutes, learning how to layer natural fragrances with depth and balance. You will leave with a 10 ml roller-bottle perfume, fully natural, deeply personal, and made by you. Where: Maverick &amp; Farmer Coffee, Ulsoor! When: 28",https://www.maverickandfarmer.com/products/craft-your-signature-botanical-perfume-by-kimaya-blends,//www.maverickandfarmer.com/cdn/shop/files/kimayaproduct.png?v=1771865848&width=1946
Maverick and Farmer,Cyanotype Workshop by Kapila Nahender,"Regular price Rs. 1,000.00 Regular price Sale price Rs. 1,000.00 Unit price / per Sale Sold out",Rs.,"Discover the magic of cyanotype printing in this hands-on workshop by Kapila. Participants will work with a light-sensitive solution applied to watercolor paper in a darkened room, layer leaves, flowers, and natural textures, and expose their compositions to sunlight. Over time, the exposed areas transform into rich gr",https://www.maverickandfarmer.com/products/cyanotype-workshop-by-kapila-nahender-1,//www.maverickandfarmer.com/cdn/shop/files/cynanotype.png?v=1771866440&width=1946
