roaster,name,price,currency,description,product_url,image_url
Pandurange Chikmagalur,Italian Espresso DARK ROAST Pure Coffee,"Sale price Price ₹1,500.00 Regular price Unit price",₹,Italian espresso roast is a selection of blends perfected to enjoy all the taste and aroma  of the rich italian espress in your favorite brew,https://www.pandurangacoffee.com/collections/coffee-without-chicory/products/italian-espress-roast,
Pandurange Chikmagalur,JUST BLACK for Black filter coffee,Sale price Price ₹750.00 Regular price Unit price,₹,"Just black has ""No chicory"" Just black premium coffee is the epitome of coffee excellence, celebrated for its rich and intense flavor profile.  It is crafted with beans selected with utmost care, expretly roasted to perfection.  Premium black coffee provides an unparelleled coffee experience. Specially enjoyable as a b",https://www.pandurangacoffee.com/collections/coffee-without-chicory/products/just-black-for-black-coffee,
Pandurange Chikmagalur,Mysore Nuggets AAA Pure Coffee Without Chicory (for Black coffee),"Sale price Price ₹1,500.00 Regular price Unit price",₹,Mysore Nuggets is made with Arabica AAA &amp; is for coffee connoisseurs who prefer Black Coffee.   It is 100% Pure Coffee without Chicory in it.,https://www.pandurangacoffee.com/collections/coffee-without-chicory/products/mysore-nuggets-aaa-pure-coffee-powder-without-chicory,
Pandurange Chikmagalur,ONCE Upon a FARM Mylemoney Single Origin Coffee,Sale price Price ₹750.00 Regular price Unit price,₹,"Once upon a Farm Mylemoney Estate Single Origin Coffee ORIGIN: MYLEMONEY, CHIKMAGALURALTITUDE: 1220 M Above MSLTasting Notes: Toasted Nuts, Cinnamon (Expect a bright cup with fair anddelicate mouthfeel, along with hints of toasted nuts &amp; cinnamon.) contains 100% coffee 0% Chicory  Panduranga Plantation, nestled in",https://www.pandurangacoffee.com/collections/coffee-without-chicory/products/once-upon-a-farm-mylemoney-coffee,
Pandurange Chikmagalur,PeaBerry Blend Filter Coffee,"Sale price Price ₹1,300.00 Regular price Unit price",₹,"Most coffee beans are born twins.  Within each cherry on the coffee tree, two beans are grown side by side, resulting in the flat face of most beans.Peaberries, however, occur when only one of the two seeds is fertilized, growing on its own without anything to flatten it.  As a result of heir independence, peaberry obs",https://www.pandurangacoffee.com/collections/coffee-without-chicory/products/peaberry-blend,
Pandurange Chikmagalur,NEW LAUNCH-PINEAPPLE FERMENTED COFFEE,Sale price Price ₹750.00 Regular price Unit price,₹,"Selectively sourced Arabica beans are fermented with pineapple pulp for 4 to 5 days.  This fermentation process enhances the coffee sweetness, body, and acidity with imparting a distinctive fruity note.",https://www.pandurangacoffee.com/collections/coffee-without-chicory/products/pineapple-fermented-coffee-250g,
Pandurange Chikmagalur,Happy Day Grand Aroma Pure Coffee Without Chicory (for Black Coffee/With milk consumers),"Sale price Price ₹1,400.00 Regular price Unit price",₹,"Grand Aroma was created as a response to the grand consumer’s desires for a different, more sophisticated and more urban concept of filter coffee experience. Grand Aroma is an exclusive blend of premium quality roasted and ground coffee made from a variety of carefully selected coffee beans grown on the high altitude, sky kissing plantations in India.",https://www.pandurangacoffee.com/collections/coffee-without-chicory/products/pure-coffee-grand-aroma,
Pandurange Chikmagalur,NEW LAUNCH RUM BARREL AGED COFFEE (FOR BLACK COFFEE),Sale price Price ₹800.00 Regular price Unit price,₹,"Rum Barrel Aged Coffee coffee, wine, whiskey and rum are he finer things in life, At Panduranga coffee we exclusively craft fanciful flavor profiles that marry exceptional coffee beans with highly rated wine, whiskey or rum that creates a cup like you have never experienced before.     Made from premium chikmagalur cof",https://www.pandurangacoffee.com/collections/coffee-without-chicory/products/rum-barrel-aged-coffee-for-black-coffee,
Pandurange Chikmagalur,NEW LAUNCH - WHISKEY BARREL AGED COFFEE,Sale price Price ₹800.00 Regular price Unit price,₹,We are proud to showcase this new whiskey barrel aged coffee.Whiskey barrel aged coffee is a unique coffee experience that we treated by ageing chikmagalur coffee beans in freshly empties whiskey barrel at the optimal time.  The labour intensive ageing process marries the flavor of whiskey and coffee.  Each barrel prod,https://www.pandurangacoffee.com/collections/coffee-without-chicory/products/whiskey-barrel-aged-coffee,
Pandurange Chikmagalur,NEW LAUNCH WINE BARREL COFFEE ( FOR BLACK COFFEE),Sale price Price ₹800.00 Regular price Unit price,₹,"Wine Barrel Aged Coffee coffee, wine, whiskey and rum are he finer things in life, At Panduranga coffee we exclusively craft fanciful flavor profiles that marry exceptional coffee beans with highly rated wine, whiskey or rum that creates a cup like you have never experienced before.     Made from premium chikmagalur co",https://www.pandurangacoffee.com/collections/coffee-without-chicory/products/wine-barrel-coffee-for-black-coffee,
