roaster,name,price,currency,description,product_url,image_url
Rossette,Attikan Pichia Culture Washed (SCA 84+),Rs. 700.00 Rs. 700.00 Rs. 700.00 Unit price / per,Rs.,"Attikan Pichia Washed is a bold and complex SLN 9 coffee from Attikan Estate, processed in a 40-hour controlled fermentation using lactobacillus and pichia yeast cultures. After fermentation, the cherries are pulped, washed, and slow-dried on raised beds for 15 days to develop depth and balance. Roasted medium-dark for",https://rossettecoffee.com/products/attiikan-pichia-culture-washed,
Rossette,Colombian Huila Decaf,"Rs. 1,600.00 Rs. 700.00 Rs. 1,600.00 Unit price / per",Rs.,"Our first decaf, and it’s anything but boring. This coffee comes from San Agustín, Huila, grown at 1900 MASL, where the cool altitude brings depth and sweetness to every bean. It’s washed processed, then decaffeinated using the DCM method : a gentle extraction that keeps the flavour, loses the caffeine. Roasted medium-",https://rossettecoffee.com/products/colombian-huila-decaf,
Rossette,Dawn Cold Brew Blend,Rs. 600.00 Rs. 600.00 Rs. 600.00 Unit price / per,Rs.,"Here's our take to offer you something refreshing , introducing Dawn, a vibrant cold brew blend which offers a combination of funky yet complex palette with a citrusy long finish . This blend features 3 uniquely processed coffees from our newest partner farm Unakki Estate, Chikmagalur. The coffee starts with balanced n",https://rossettecoffee.com/products/dawn-cold-brew-blend,
Rossette,Dusk Cold Brew Blend,Rs. 600.00 Rs. 600.00 Rs. 600.00 Unit price / per,Rs.,"Presenting Dusk our versatile medium-dark cold brew blend, an amalgamation of two washed coffees which adds the body and chocolatiness and a monsooned coffee which makes the brew smooth &amp; nutty with a malty finish. This blend delivers rich notes of dark chocolate, roasted nuts, and caramel. Perfect as a cold brew o",https://rossettecoffee.com/products/dusk-cold-brew-blend,
Rossette,Harley Beaujolais Nanolot (SCA 86+),Rs. 900.00 Rs. 600.00 Rs. 900.00 Unit price / per,Rs.,"Harley Beaujolais Naturals is a rare nanolot coffee that instantly stood out when we first encountered it, unique, expressive, and unapologetically different.  Ideal for manual brews, it rewards patience with layered complexity and sparkling clarity. Roasted light by us to preserve its vibrant character, this cup burst",https://rossettecoffee.com/products/harley-beaujolais-sca-86,
Rossette,Harley Whiskey Barrel Aged (SCA 87+),"Rs. 1,100.00 Rs. 1,100.00 Rs. 1,100.00 Unit price / per",Rs.,"Grown at elevation of 1050 MASL in the Sakleshpur region of Karnataka, these washed coffee’s from Harley Estate undergo a barrel ageing process in single malt whiskey barrels sourced from Amrut Distillers. This produces a cup which is fruity, boozy and sweet with notes of irish cream, green apple, stone fruit and hints",https://rossettecoffee.com/products/harley-whiskey-barrel-aged,
Rossette,Melkodige Intenso Yeast Naturals Light Roast (SCA 87+),Rs. 900.00 Rs. 600.00 Rs. 900.00 Unit price / per,Rs.,"From Melkodige Estate, Chikmagalur, this Melkodige Intenso Yeast Naturals is a refined take on yeast-driven fermentation. Using a 72-hour Intenso Yeast Anaerobic Natural process, the coffee develops heightened aromatics and a clean, expressive structure that feels both modern and elegant. Roasted light, the cup is de",https://rossettecoffee.com/products/melkodige-intenso-yeast-naturals-medium-roast-sca-copy,
Rossette,Melkodige Wine Yeast Anaerobic Naturals (SCA 88+),Rs. 950.00 Rs. 600.00 Rs. 950.00 Unit price / per,Rs.,"This special coffee comes from Melkodige Estate , Chikmagalur and is a Brazilian Red Obata varietal. It’s been fermented for 72 hours using wine yeast in an anaerobic process, giving it a rich and fruity profile. Roasted light-medium, it has tasting notes of Strawberry Iced Tea, Raspberry, Purple Grape, and Plum. With",https://rossettecoffee.com/products/melkodige-wine-yeast-anaerobic-naturals-sca-89,
Rossette,Midnight Blues,"Rs. 2,800.00 Rs. 3,000.00 Rs. 2,800.00 Unit price / per",Rs.,"Crafted for those who love a bold yet balanced cup, this dark roast blend is made from 100% Arabica beans, expertly sourced from washed and naturally processed coffees. Roasted to a deep, rich profile—darker than a medium roast but not as intense as a Vienna roast—this blend offers a smooth and full-bodied experience w",https://rossettecoffee.com/products/midnight-blues,
Rossette,Monsoon Malabar AA,Rs. 650.00 Rs. 650.00 Rs. 650.00 Unit price / per,Rs.,"Explore the unique flavors of Rossette's Monsoon Malabar AA Medium Roast coffee beans. Elevate your mornings with this exceptional brew. Buy online in India for a premium coffee experience, exclusively from Rossette.",https://rossettecoffee.com/products/monsoon-malabar,
Rossette,Mooleh Manay Yeast CM Naturals (SCA 85+),Rs. 800.00 Rs. 600.00 Rs. 800.00 Unit price / per,Rs.,"Grown at Mooleh Manay Estate in Chikmagalur, this lot reflects the estate’s growing focus on precise fermentation and clean flavour expression. Produced at around 1000 MASL, the coffee undergoes a 60-hour yeast-inoculated CM Natural process, designed to highlight fruit clarity while maintaining balance and structure. R",https://rossettecoffee.com/products/mooleh-manay-yeast-cm-naturals,
Rossette,Ratnagiri Rum Barrel Aged Naturals (SCA 87+),"Rs. 1,250.00 Rs. 600.00 Rs. 1,250.00 Unit price / per",Rs.,"From the celebrated Ratnagiri Estate, Chikmagalur, this bold and indulgent lot — Ratnagiri Rum Barrel Aged — pushes the boundaries of flavour through an innovative post-fermentation approach. After anaerobic natural processing, the coffee is aged in rum barrels, allowing it to absorb deep, spirit-led complexity while r",https://rossettecoffee.com/products/ratnagiri-rum-barrel-aged-naturals-sca-87,
Rossette,Ratnagiri Whiskey Barrel Aged Naturals (SCA 87+),"Rs. 1,250.00 Rs. 600.00 Rs. 1,250.00 Unit price / per",Rs.,"Back for its second year, this coffee from Ratnagiri Estate is unlike anything else. Made from red ripe cherries that are fermented for months inside whiskey barrels, it naturally absorbs the deep, aromatic character of the wood and the spirit. We roast it to a medium profile to highlight its rich, indulgent notes of s",https://rossettecoffee.com/products/ratnagiri-whiskey-barrel-aged-naturals-sca-87,
Rossette,Truffle Twilight,Rs. 600.00 Rs. 600.00 Rs. 600.00 Unit price / per,Rs.,"Our bestseller blend which combines two washed coffees one from Baarbara Estate and another one from Attikan Estate roasted to a medium- dark level to offer a fudgy chocolate like coffee with heavy body, minimal acidty and dried fruit overtones. This blend pairs extremely well with milk and is suitable for espresso , m",https://rossettecoffee.com/products/truffle-twilight,
Rossette,Vienna Roast,Rs. 600.00 Rs. 600.00 Rs. 600.00 Unit price / per,Rs.,"Embark on a journey with Vienna Dark Roast Coffee from Rossettee. Elevate your senses by ordering online for a premium blend, indulging in rich flavor, and ensuring a truly satisfying coffee experience. Discover the unparalleled delight of Vienna Dark Roast – available exclusively through online orders",https://rossettecoffee.com/products/vienna-roast,
Rossette,Wave,"Rs. 2,800.00 Rs. 3,000.00 Rs. 2,800.00 Unit price / per",Rs.,"Crafted from a bold mix of Arabica and Robusta beans, this medium-dark roast offers a full-bodied experience with minimal acidity. Its rich, well-rounded profile makes it a perfect choice for those who enjoy a smooth yet intense cup.With notes of bittersweet chocolate, butter biscuits, and caramel, every sip delivers a",https://rossettecoffee.com/products/wave,
