roaster,name,price,currency,description,product_url,image_url
Seven Beans,Bialetti® Coffee Press Preziosa,,,"The Bialetti French Press provides the simplest way of making quality, traditional coffee. It is made from 18/10 stainless steel with a glass cylinder and features a l’Omino (the little man) cutout, which is widely recognized as Bialetti’s original symbol of quality and authenticity. Dispatch Time: 2-3 working days",https://sevenbeans.co/collections/brewing-equipment/products/bialetti%C2%AE-coffee-press-preziosa,
Seven Beans,Bialetti® - Moka Express,,,"Enduring quality &amp; design The Bialetti Moka celebrates more than 80 years of classic design elegance and technological simplicity. From the early 1950s to the present day, Bialetti has manufactured over 200 million coffee makers. In particular, the Moka Express has become iconic and has allowed millions of consumer",https://sevenbeans.co/collections/brewing-equipment/products/bialetti%C2%AE-moka-express,
Seven Beans,Bialetti® Mini Express Set,,,"Perfect for on-the-go The Mini Express is the crowning achievement of Bialetti’s design and creativity. Its innovative system, in which coffee is directly dispensed into the cup, makes it possible to make a coffee that is always hot and ready to be served. Mini Express is a coffee maker designed for a truly special c",https://sevenbeans.co/collections/brewing-equipment/products/bialetti-mini-express,
Seven Beans,South Indian Filter Coffee Percolator,,,A sleek South Indian Filter Coffee Percolator crafted from high quality stainless steel. This 4-cup percolator is the perfect companion to brew Seven Beans Coffee Company's South Indian Filter coffees. Its simple &amp; efficient design is as pleasing on the eye as the coffee it brews is on the palate. Diameter: 7cms He,https://sevenbeans.co/collections/brewing-equipment/products/south-indian-filter-coffee-maker,
Seven Beans,"“Agumbe"" South Indian Filter Coffee Powder - Coffee: 70%, Chicory: 30%",,,"This handpicked coffee is roasted, ground, and mixed with chicory to give the delicious aroma and taste of south Indian coffee. This coarsely ground roasted coffee has a rich intense flavor and aroma. Packaged after being freshly roasted and ground to maintain exceptional quality. Makes an aromatic thick decoction when",https://sevenbeans.co/collections/coffee/products/agumbe-south-indian-filter-coffee-powder-coffee-70-chicory-30,
Seven Beans,"""Eka"" Medium Dark Roast, Single Origin, Gourmet Indian Coffee",,,"A full-bodied strong coffee with a well defined crema and rich flavor. Eka was born balanced &amp; full-bodied and enjoys flaunting its well pronounced crema all day! Its bold, spicy nature makes it the perfect companion for savoury foods &amp; strong flavours. Eka stays grounded because of its earthy, woody side and c",https://sevenbeans.co/collections/coffee/products/eka,
Seven Beans,"""Maley"" Medium - Dark Roast, Single Origin, Gourmet Indian Coffee",,,"A cup of Maley is nothing short of bella! — a symphony of bold crema, indulgent chocolate, and delicate floral whispers that linger long after your last sip.          Coffee: Monsooned Malabar AA          Roast: Medium Dark          Pairing: Confectionary &amp; desserts         Notes: Dark Chocolate &amp; malt Rainfore",https://sevenbeans.co/collections/coffee/products/maley-medium-dark-roast-single-origin-gourmet-indian-coffee,
Seven Beans,"""Mishta"" Medium Roast, Single Origin Monsooned Malabar Blend, Gourmet Indian Coffee",,,"A sweet, delicate-bodied coffee with a bright after taste. Mishta was born sweet and delicate but has a few surprises up its sleeve! An intense aroma soon gives way to sweet notes with a bright finish. The exotic nuances of the Monsooned Malabar are best enjoyed black, however we must admit that adding a dash of milk d",https://sevenbeans.co/collections/coffee/products/mishta,
Seven Beans,"""Nava"" Medium - Dark Roast, Single Origin, Gourmet Indian Coffee",,,"A cup of Nava is nothing short of bella! — a symphony of bold crema, indulgent chocolate, and delicate floral whispers that linger long after your last sip.            Coffee: Arabica &amp; Robusta          Roast: Medium Dark          Pairing: Confectionary &amp; desserts         Notes: Dark chocolate, roasted almond,",https://sevenbeans.co/collections/coffee/products/nava-medium-roast-single-origin-gourmet-indian-coffee-copy,
Seven Beans,"""100% Arabica"" Single Origin, Gourmet Indian Coffee",,,Dark: A heavy-bodied coffee with smoky undertones. Medium: A light-bodied coffee with hints of ginger and a smooth zesty finish.           Roast: Dark/Medium          Pairing: Breads &amp; desserts         Notes: Dark - Smoked Oak &amp; Bitter Chocolate                     Medium - Citrus &amp; Ginger         Coffee: 1,https://sevenbeans.co/collections/coffee/products/seven-beans-100-arabica-single-origin-gourmet-indian-coffee,
Seven Beans,"“Urubage"" South Indian Filter Coffee Powder - Coffee: 80%, Chicory: 20%",,,"This handpicked coffee is roasted, ground, and mixed with chicory to give the delicious aroma and taste of south Indian coffee. This coarsely ground roasted coffee has a rich intense flavor and aroma. Packaged after being freshly roasted and ground to maintain exceptional quality. Makes an aromatic thick decoction when",https://sevenbeans.co/collections/coffee/products/seven-beans-urubage-south-indian-filter-coffee-powder-coffee-80-chicory-21,
Seven Beans,"""Urja"" Medium Dark Roast, Single Origin, Gourmet Indian Coffee",,,"An even-bodied coffee with a super smooth finish. Urja was born strong &amp; even-bodied and is as smooth as they come! With whiffs of dark chocolate and hints of toasted peanuts, Urja makes friends quite easily with subtle flavours and is especially partial to cheese and breads.          Coffee: Arabica &amp; Robusta",https://sevenbeans.co/collections/coffee/products/urja-whole-bean-coffee,
