roaster,name,price,currency,description,product_url,image_url
Siolim,Anjuna Blend,,,"Anjuna Blend Introducing the Anjuna Blend—your perfect espresso companion. This smooth coffee offers a medium body with a lingering chocolate finish, accented by the sweetness of raisins and the fruity essence of pear. Subtle nutty undertones bring balance, making it versatile whether enjoyed as a straight espresso or",https://www.siolim.coffee/products/anjuna-blend,
Siolim,Barista Series of 2-WayCup,,,"Introducing the Barista Series of 2-WayCup, expertly crafted for coffee shops and enthusiasts of both espresso and milk coffee. This innovative cup features an enhanced shape designed for maximum comfort, ensuring that every sip is a pleasure. With its unique 2-way drinking experience, we elevate the enjoyment of coffe",https://www.siolim.coffee/products/barista-series-of-2-waycup,
Siolim,Cascara,,,"Cascara stands as a testament to the principles of the circular economy movement, transforming coffee fruit peels, typically discarded, into a valuable product. This innovative approach involves processing the overlooked byproduct into a brew reminiscent of fruity loose leaf tea or incorporating it into artisanal bakin",https://www.siolim.coffee/products/cascara,
Siolim,Excelsa,,,"Excelsa — Mooleh Manay Estate, Coorg Origin Grown amidst the serene backwaters of the Harangi Reservoir in Coorg, Mooleh Manay Estate is a fourth- generation farm now led by Komal and Akshay Dashrath. With 75 acres of clay-loamy soil and 65 inches of annual rainfall, their approach blends data-driven precision with a d",https://www.siolim.coffee/products/excelsa,
Siolim,Ratnagiri Estate Washed Coffee,,,"Ratnagiri Washed coffee undergoes a meticulous washed process, where the ripe Cauvery cherries are carefully picked and pulped to remove the outer fruit. The beans are then fermented to break down any remaining mucilage, followed by a thorough washing with fresh water. This process highlights the coffee's intrinsic fla",https://www.siolim.coffee/products/ratnagiri-washed,
Siolim,Refined 2-WayCup for Specialty Coffee Brewing,,,"Experience the Refined 2-WayCup—designed with champion insights for smoother sipping, premium porcelain & Red Dot award packaging. Shop now.",https://www.siolim.coffee/products/refined-2-waycup,
Siolim,Rum Barrel Aged,,,"For the Rum barrel-aged process, we started it with soaking oak barrels in rum for 30 days, allowing the wood to absorb its rich, tropical flavors. Once seasoned, the barrels are emptied and filled with Ratnagiri Estate's natural processed beans. Over the next 45 days, the beans absorb the rum essence, resulting in a s",https://www.siolim.coffee/products/rum-barrel-aged,
Siolim,Sampler Pack of 3 (75 Gram Each),,,"Anjuna Blend: A smooth espresso blend with a medium body, featuring rich chocolate notes, sweet raisins, and a hint of pear. Perfectly balanced for a rich and flavorful experience. Ratnagiri Washed: A clean and vibrant single origin with notes of dark chocolate, cherry fruit, and raisins. Perfectly crafted for a refine",https://www.siolim.coffee/products/sampler-pack-of-3-75-gram-each,
Siolim,Solo Dripper — Mazelab,,,"Designed by Jackie Tran (WBrC 2024 Finalist), the Solo Dripper is a compact pour-over brewer built for clarity, balance, and portability. Made from durable polypropylene, it’s lightweight enough to travel yet precise enough for competition-level brews. The Solo’s 40° angled walls, curved base, and central flow channel",https://www.siolim.coffee/products/solo-dripper,
Siolim,Wave Filter W-155,,,"Description 100pcs Wave Filters – Designed for Solo Dripper and Kalita Wave 155 (1–2 cups)  Eco-Friendly – Biodegradable, oxygen-bleached &amp; chlorine-free paper Clean Taste – Ensures chemical-free coffee flavor every brew  Balanced Extraction – Promotes smooth water flow &amp; consistency",https://www.siolim.coffee/products/wave-coffee-filter-w-155,
Siolim,Whiskey Barrel Aged,,,"For this unique whiskey barrel-aged process, we begin by soaking barrels in premium single malt whiskey for 30 days, allowing the wood to absorb the rich, deep flavors. Once seasoned, the barrels are emptied and filled with Single Origin, Naturally processed coffee beans from Ratnagiri Estate. Over the next 45 days, th",https://www.siolim.coffee/products/whiskey-barrel-aged,
