roaster,name,price,currency,description,product_url,image_url,variants
Ainmane,Arabica Naturals,₹310.00,INR,"Ainmane's Arabica Naturals coffee is sustainably processed with minimal water to remove any under-ripe or overripe coffee cherries. The sorted cherries are sun-dried, hulled and roasted. The process retains maximum flavour and has a low carbon footprint.",https://www.ainmane.com/arabica-naturals.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/0/6/061224_c1_ainmane_-_087.jpg,
Ainmane,South Indian Blend,₹400.00,INR,"A traditional mix of Arabica and Robusta coffee beans, Ainmane's chicory free strong blend will refresh your senses. The taste, the aroma and the flavour of the great, classical south Indian filter coffee.",https://www.ainmane.com/south-indian-blend-1.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/s/o/south_1.jpeg,
Ainmane,Kudlur,₹500.00,INR,"S795 (Selection-795) is an important coffee cultivar, being one of the first strains of C. Arabica discovered to be resistant to coffee leaf rust (CLR).It is a selection of the Balehonnur Coffee Research Station in India. S795 cultivar was developed by crossing C. Arabica (Kent Coffee) and C. Liberica. It is high yielding and has a good cup profile, making it a desirable cultivar for coffee planters. We have selected our beans from the Kudlur Estate, situated at an elevation of nearly 700M, in Somwarpet Taluk in Coorg",https://www.ainmane.com/kudlur-1.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/l/l/llpg_-_op_-_553.jpg,
Ainmane,Anaerobic Naturals,₹310.00,INR,Ainmane's Anaerobic Naturals Coffee cherry has undergone fermentation in sealed tanks to develop distinct acids that create its unique fruity flavor profile. The coffee is then dried in a natural process.,https://www.ainmane.com/anaerobic-naturals.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/0/6/061224_c1_ainmane_-_085.jpg,
Ainmane,Robusta of Coorg,₹350.00,INR,"In the eventual movement of coffee planters opting to grow Robusta more than Arabica due to easier maintenance of the plantations, Robusta is extensively grown around Coorg compare to Arabica. This is purely shade grown coffee where the plantations eco systems are bordering the natural reserve forests which allow animals to roam freely around the plantations. This not only contributes in conserving wildlife, but has a whole, animals and insects play a vital role in maintaning the the bio diversity in plantations. Europe alone imports alone 30,000 tonnes of Robusta from Coorg annually. So the next time you on a Euro trip and sipping Coffee you might be served coffee from similar beans.",https://www.ainmane.com/robusta-of-coorg.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/r/b/rbs001.jpeg,
Ainmane,Premium Blend,₹460.00,INR,"With each coffee fruit handpicked, sun-dried and graded from selected estates in Coorg, Ainmane's chicory free Premium Blend is a connoisseur's delight. Pure, traditional filter coffee.",https://www.ainmane.com/premium-blend.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/p/r/premium-blend.jpeg,
Ainmane,Coffee Combo Pack,₹910.00,INR,"LightRoast
Coffee combo pack put together with our best blends.",https://www.ainmane.com/coffee-combo-pack.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/a/i/ainmane-exotic-coffees.jpeg,
Ainmane,Excelsa,₹310.00,INR,Excelsa coffee is classified under the Liberica variant and has a unique flavour profile of being tart and fruity.These coffee beans are more rounded in appearance and has more flavour compared to Arabica.,https://www.ainmane.com/excelsa.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/0/6/061224_c1_ainmane_-_080.jpg,
Ainmane,Skandapuri Estate - Arabica,₹500.00,INR,"Skandapuri-Magarat Estate located at the Modur Village is situated at an elevation of 3200ft close to Madikeri, Coorg, .These  arabica beans tend to have a sweeter & softer profile with tones of citrus fruits and sharp acidity. Ainmane has exclusive access to this plantation to witness the lifecycle of the beans being grown and harvested. This bag of single origin beans is completely based on the 'Crop to Cup' concept.",https://www.ainmane.com/skandapuri-estate-arabica.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/1/_/1_2_2.jpeg,
Ainmane,Hardoor Estate Filter Coffee,₹570.00,INR,"Hardoor estate in Suntikoppa Coorg, is home to over a hundred spices of indigenous trees growing in harmony with Arabica & Robusta Coffees.The 200-acre hotspot of diversity lies in a valley neighboring the Hardoor river, a tributary of the mighty Kaveri. Certified as bird-friendly and completely organic,the estates have been lovingly nurtured by five generations of agriculture entrepreneurs. This is a Single Origin Organic Filter Coffee blend created from organic Arabica & Robusta beans for a pure filter coffee experience without any added chicory. The coffee has a moderate body & mouthfeel, mildly bitter with a long lasting after taste.",https://www.ainmane.com/hardoor-estate-filter-coffee.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/_/d/_dsc5787.jpg,
Ainmane,Honey Processed,₹310.00,INR,"Honey Process for Ainmane's Coffee is done at the farm level. Ripe coffee cherry is processed & dried with some amount of thin layer of mucilage left on the beans. This retains balanced acidity & body in the coffee, with intense fruit sweetness.",https://www.ainmane.com/honey-processed.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/0/6/061224_c1_ainmane_-_089.jpg,
Ainmane,Anaerobic Liberica,₹360.00,INR,Ainmane's Anaerobic Liberica Coffee cherry has undergone fermentation in sealed tanks to develop distinct acids that create its unique fruity flavor profile. The coffee is then dried in a natural process.,https://www.ainmane.com/anaerobic-liberica.html,https://www.ainmane.com/pub/static/frontend/AutomatDigital/ainmane_custom/en_US/Magento_Catalog/images/product/placeholder/image.jpg,
