name,price,roast,origin,flavor_notes,product_url,image_url
Attikan White Mist,₹630.00,Espresso Roast,India,"Baker’s Chocolate, Cedar, Roasted Nuts",https://naivo.in/product/attikan-white-mist/,https://naivo.in/wp-content/uploads/2024/09/AttikanWhiteMist.png
Balanoor Chandragiri Washed ,₹585.00,Filter Roast,India,"Almonds, Floral, Gooseberries",https://naivo.in/product/balanoor-chandragiri-washed/,https://naivo.in/wp-content/uploads/2024/09/BalanoorChandragiriWashed-4.png
Balanoor Vontekad,₹620.00,Filter Roast,India,"Citrus Blossom, Golden Raisin, Honeydew",https://naivo.in/product/balanoor-vontekad/,https://naivo.in/wp-content/uploads/2024/09/BalanoorVontekad.png
Bettadamalali Estate Washed,₹580.00,Espresso Roast,India,"Cocoa, Honey, Roasted Nuts",https://naivo.in/product/bettadamalali-estate-washed/,https://naivo.in/wp-content/uploads/2024/09/BettadamalaliEstWashed.png
BEWILD Anoxic Naturals – Fine Robusta,₹470.00,Omni Roast,India,"Clove, Jackfruit, Nutmeg",https://naivo.in/product/bewild-poomale-anoxic-naturals/,https://naivo.in/wp-content/uploads/2024/09/Bewild-Anoxic-2.png
Cashews & Barley Sugar – Kerehaklu 25H Pichia Naturals – Fine Robusta,₹510.00,Omni Roast,India,"Barley Sugar, Ginger, Roasted Cashews, White Pepper",https://naivo.in/product/cashews-barley-sugar-kerehaklu-25h-pichia-naturals-fine-robusta/,https://naivo.in/wp-content/uploads/2024/11/Rev-CashewsBarleySugar.png
Chocolate-Kissed Guava – Melkodige 80H CIMA Yeast Naturals,₹735.00,Filter Roast,India,"Dark Chocolate, Guava, Pecan, Ripe Papaya",https://naivo.in/product/chocolate-kissed-guava-melkodige-80h-cima-yeast-naturals/,https://naivo.in/wp-content/uploads/2024/10/ChocoKissedGuava-2.png
Dunduga Estate Naturals,₹650.00,Omni Roast,India,"Passion Fruit, Pistachio, Tutti Frutti",https://naivo.in/product/dunduga-estate-naturals/,https://naivo.in/wp-content/uploads/2024/11/Dunduga-Naturals.png
Dunduga Estate Washed,₹625.00,Omni Roast,India,"Black Pepper, Malt, Tobacco",https://naivo.in/product/dunduga-estate-washed/,https://naivo.in/wp-content/uploads/2024/11/Dunduga-Washed.png
Finca El Diviso Aji Bourbon – Anaerobic Naturals,"₹1,625.00",Omni Roast,Colombia,"Musk Melon, Papaya, Strawberry Jam, Watermelon",https://naivo.in/product/finca-el-diviso-aji-bourbon-anaerobic-naturals/,https://naivo.in/wp-content/uploads/2025/06/Finca-El-Diviso-Aji-Burbon.png
