Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL,Image_URL
Almond Butter (250 grams),Boojee,520.0,,,240 grams almonds and 10 grams brown sugar,240 grams almonds and 10 grams brown sugar,https://boojeecafe.com/products/almond-butter-250-grams,https://cdn.shopify.com/s/files/1/0712/3301/2030/files/AB1.png?v=1764428540
Americano Mug,Boojee,1100.0,,,,"240ml. 10.5cm x 8cm x 7.5cm. Stoneware.  
 Microwave &amp; Dishwasher safe",https://boojeecafe.com/products/americano-mug,https://cdn.shopify.com/s/files/1/0712/3301/2030/files/5806DA05-3FC0-48A9-A77F-AB5271F54499.png?v=1764439926
Apricot & Prunes Energy Bar [60g],Boojee,180.0,,,"Made with almond flour, apricots, prunes, pumpkin seed, dates, flax seed, sunflower seeds, melon seeds &amp; white sesame","Made with almond flour, apricots, prunes, pumpkin seed, dates, flax seed, sunflower seeds, melon seeds &amp; white sesame",https://boojeecafe.com/products/apricot-prunes-energy-bar-60g,https://cdn.shopify.com/s/files/1/0712/3301/2030/files/68239B81-EB65-40A0-BBD2-CB394BE0F002.png?v=1764439781
Boojee Cappuccino Cup,Boojee,1100.0,,,,"240ml. 13cm x 11cm x 5.5cm. Stoneware 
 Microwave &amp; Dishwasher safe",https://boojeecafe.com/products/boojee-cappuccino-cup,https://cdn.shopify.com/s/files/1/0712/3301/2030/files/3_cup.png?v=1764590930
Boojee Espresso Cup,Boojee,550.0,,,,"100ml. 9cm x 7cm x 5cm. Stoneware 
 Microvave &amp; Dishwasher safe",https://boojeecafe.com/products/boojee-espresso-cup,https://cdn.shopify.com/s/files/1/0712/3301/2030/files/2_cup.png?v=1764590944
Boojee Gift Box,Boojee,,,,,"A specially curated gift hamper featuring boojee reusable glass tumbler, drip coffee box (pack of 7), our in-house granola, choice of nut butter (250g), our brand new energy bars, Peanut butter bar &amp; Apricot energy bar and a Cold Brew Coffee Candle by Rad Living, the perfect mix of comfort, flavor, and aroma for coffee lovers",https://boojeecafe.com/products/boojee-gift-hamper-1,https://cdn.shopify.com/s/files/1/0712/3301/2030/files/giftbox1.jpg?v=1760856924
Boojee Medium Dark Roast (Baarbara Estate),Boojee,895.0,250g,Medium-Dark Roast,"prunes, caramelised nuts, figs","Nestled in the lush Bababudangiri Range, Baarbara Estate produces exceptional single-origin Arabica beans grown at an altitude of 3,500ft. Every bean is carefully hand-picked and sorted, ensuring unmatched quality bringing in notes of prunes, caramelised nuts, figs. With its unique location, shade-grown methods, and meticulous craftsmanship, Baarbara Coffee has earned its place as a beacon of specialty coffee in India.",https://boojeecafe.com/products/espresso-blend-medium-dark-roast-cocoa-caramel-nut,https://cdn.shopify.com/s/files/1/0712/3301/2030/files/3_1ac0e52e-c69b-4e4e-a8a2-bfcece04b438.png?v=1770275943
Boojee Medium Dark Roast (Baarbara Estate),Boojee,3000.0,1kg,Medium-Dark Roast,"prunes, caramelised nuts, figs","Nestled in the lush Bababudangiri Range, Baarbara Estate produces exceptional single-origin Arabica beans grown at an altitude of 3,500ft. Every bean is carefully hand-picked and sorted, ensuring unmatched quality bringing in notes of prunes, caramelised nuts, figs. With its unique location, shade-grown methods, and meticulous craftsmanship, Baarbara Coffee has earned its place as a beacon of specialty coffee in India.",https://boojeecafe.com/products/espresso-blend-medium-dark-roast-cocoa-caramel-nut,https://cdn.shopify.com/s/files/1/0712/3301/2030/files/3_1ac0e52e-c69b-4e4e-a8a2-bfcece04b438.png?v=1770275943
Boojee Medium Dark Roast (Baarbara Estate),Boojee,8000.0,3kg,Medium-Dark Roast,"prunes, caramelised nuts, figs","Nestled in the lush Bababudangiri Range, Baarbara Estate produces exceptional single-origin Arabica beans grown at an altitude of 3,500ft. Every bean is carefully hand-picked and sorted, ensuring unmatched quality bringing in notes of prunes, caramelised nuts, figs. With its unique location, shade-grown methods, and meticulous craftsmanship, Baarbara Coffee has earned its place as a beacon of specialty coffee in India.",https://boojeecafe.com/products/espresso-blend-medium-dark-roast-cocoa-caramel-nut,https://cdn.shopify.com/s/files/1/0712/3301/2030/files/3_1ac0e52e-c69b-4e4e-a8a2-bfcece04b438.png?v=1770275943
Boojee Reusable Glass Tumbler,Boojee,1350.0,240ml,,,nan,https://boojeecafe.com/products/boojee-reusable-glass-tumbler,https://cdn.shopify.com/s/files/1/0712/3301/2030/files/tumb.png?v=1764591122
