Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Barrel Aged Coffee,Coffee Mechanics,800.0,250g,Medium Roast,"Process: The finest of Indian Arabicas aged in Single Malt Barrels, and meticulously roasted to bring out the delicate",,Natural,"A Rare Selection!   
  Process: The finest of Indian Arabicas aged in Single Malt Barrels, and meticulously roasted to bring out the delicate notes.  
  High Quality Indian Specialty Arabica aged in a ex-bourbon barrel. The process let the beans soak into the earthiness of the American Oak, fruitiness from the lingering ferment.   
  We roast this delicate selection to preserve the natural notes and highlight inherent character of the beans.   
  Enjoy the deep flavour notes on a pour over or brew it cold.   
  Roast Type:   Light-Medium Roast  
    Tasting Notes:   Caramalized Pears, Bourbon &amp; Toast",https://www.coffeemechanics.co.in/products/whiskey-barrel-aged-coffee,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/ComingSoon_4.png?v=1594910301,Coffee
Barrel Aged Coffee - Gift Box,Coffee Mechanics,3000.0,,,"Roast Type: Light-Medium Roast Tasting Notes: Caramelized Pears, Bourbon &amp; Toast 2",,Natural,"This Festive Season,   fuel your dear ones with a whole lot of energy! What better way to energise than gifting them a fine collection of coffees  
  We have curated boxes to suit your preference!  
  Contains:  
  1. Micro-lot - Whiskey Barrel Aged Coffee - 1 pack  
  A Rare Selection!   
  Process:  The finest of Indian Arabicas aged in Single Malt Barrels, and meticulously roasted to bring out the delicate notes. 
 High Quality Indian Specialty Arabica aged in a ex-bourbon barrel. The process let the beans soak into the earthiness of the American Oak, fruitiness from the lingering ferment.  
 We roast this delicate selection to preserve the natural notes and highlight inherent character of the beans.  
 Enjoy the deep flavour notes on a pour over or brew it cold.  
  Roast Type:     Light-Medium Roast  
    Tasting Notes:   Caramelized Pears, Bourbon &amp; Toast  
  2. Cold Brew Bag - Set of 5 - Whiskey Barrel Aged Coffee   
  Cold Brew Bags  are made to regulate the experience of cold brewed specialty coffee. 
 To make cold brewing    convenient without having to compromise on the quality    of the coffee.  
 This is for anyone who enjoys rich and smooth flavour profile of cold coffee.  
 Each Brew Bag makes 3-5 cup concentrated coffee. 
  3. Drip Bags - Set of 10 -  Whiskey  Barrel Aged Coffee  
 Easy to Brew single serve coffee packs 
  Drip To-Go  is a solution to make superior quality coffee effortless and accessible for those with busy schedules yet appreciate the finer nuances in coffee. Ideal for coffee at work or while on your travel or trek. All you need is a mug &amp; hot water and you are ready To-Go! 
  Makes 10 Single Serve Coffees  
 All of these 3 Barrel Aged Variations are placed in a gift box.",https://www.coffeemechanics.co.in/products/assorted-coffee-kit,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/Facebook_Product_600x600_8.png?v=1595076404,Coffee
Bhadrapura Estate,Coffee Mechanics,550.0,250g,Cinnamon Roast,Green Apple &amp; Jaggery,Chikkamagaluru,,"Region:   Chikkamagaluru  
  Elevation:   3500 ft asl  
  Roast Type:   Cinnamon Roast  
  Tasting Notes:   Green Apple &amp; Jaggery",https://www.coffeemechanics.co.in/products/bhadrapura-estate,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/2.png?v=1586605975,Coffee
Bhadrapura Estate,Coffee Mechanics,2000.0,1kg,Cinnamon Roast,Green Apple &amp; Jaggery,Chikkamagaluru,,"Region:   Chikkamagaluru  
  Elevation:   3500 ft asl  
  Roast Type:   Cinnamon Roast  
  Tasting Notes:   Green Apple &amp; Jaggery",https://www.coffeemechanics.co.in/products/bhadrapura-estate,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/2.png?v=1586605975,Coffee
Breakfast Essential Box,Coffee Mechanics,1299.0,,,"Drip Coffee + Granola Duo in a Cherry Red Gift Box Start your day with a box full of essentials - flavour, balance",Roasted Clean-label granolas Travel-friendly and pantry-ready,,"Drip Coffee + Granola Duo in a Cherry Red Gift Box  
 Start your day with a box full of essentials - flavour, balance, and craft. 
 This curated breakfast gift box brings together our bestselling  Drip-To-Go Classic Coffee (10 bags)  with two house-made granolas: •  Classic Crunch  – oat-forward, mildly sweet, with dried fruit &amp; seeds •  Savoury Crunch  – spiced, nutty, and umami-rich for a bold start 
 All packed in our signature  Cherry Red gift box  — bright, cheerful, and made for easy gifting. 
 
 100% Arabica, Estate-Roasted 
 Clean-label granolas 
 Travel-friendly and pantry-ready",https://www.coffeemechanics.co.in/products/breakfast-essential-box,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/2.svg?v=1759755658,Coffee
Celebration Box,Coffee Mechanics,650.0,,,"This box features our fragrant Rose Blondies , rich Pistachio Blondies , and slow-roasted Chilli Caramel Cashews",,,"Rose &amp; Pistachio Blondies + Chilli Caramel Cashews  
 Celebrate with a trio of flavour and craft. This box features our fragrant  Rose Blondies , rich  Pistachio Blondies , and slow-roasted  Chilli Caramel Cashews,  a sweet, spiced, and nutty combination that’s made for gifting and gatherings. 
 
 Freshly made 
 Premium ingredients 
 Packed for joy 
 
 The perfect gift for clients, celebrations, or curated hampers.",https://www.coffeemechanics.co.in/products/celebration-box,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/1.svg?v=1759755280,Coffee
Cinnabon - Set of 2,Coffee Mechanics,180.0,,,,,,nan,https://www.coffeemechanics.co.in/products/cinnabon-set-of-2,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/10.png?v=1757734310,Coffee
Cold Brew Bags - Barrel Aged Coffee,Coffee Mechanics,800.0,Micro-Lot- Set of 5,Medium Roast,"Praline, Rum &amp; Raisins Set of 5 brew bags",,Natural,"Barrel Aged Coffee  
   Micro-Lot    
  A Rare Selection!   
  Process: The finest of Indian Arabicas aged in Single Malt Barrels, and meticulously roasted to bring out the delicate notes.  
  High Quality Indian Specialty Arabica aged in a ex-bourbon barrel. The process let the beans soak into the earthiness of the American Oak, fruitiness from the lingering ferment.   
  We roast this delicate selection to preserve the natural notes and highlight inherent character of the beans.  
 Light-Medium Roast 
 Cold brew is one of our favourites for this experssion! 
  Tasting Notes: Praline, Rum &amp; Raisins  
 Set of 5 brew bags. Each Brew Bag makes 3-5 cups of coffee concentrate 
 No mess cold brew!  
 Dread the mess and the inconsistency caused by filtration? Here is our fool proof solution for 100% Delicious Cold Brew! 
 Watch video below to know how you can brew with the  Cold Brew Bags",https://www.coffeemechanics.co.in/products/cold-brew-bags-whisky-barrel-aged,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/18.png?v=1594910304,Coffee
Cold Brew Bags - Cherry Pick,Coffee Mechanics,500.0,Fruity - Set of 5,Light Roast,Watermelon &amp; Banana Set of 5 brew bags Each Brew Bag makes 3-5 cups of coffee concentrate No mess,,,"Cherry Pick  
  This selection was indeed cherry picked for the fruity note lover! It's a delicious combination of refreshing notes of fruits and full bodied coffee with a bite to it.  
  Our top recommendation is to have on Ice with a dash of water to open up the flavours. The rest we leave it to your  adventurous palate to explore!   
   Fruity   
 Light Roast 
  Tasting Notes: Watermelon &amp; Banana  
 Set of 5 brew bags 
 Each Brew Bag makes 3-5 cups of coffee concentrate 
 No mess cold brew!  
 Dread the mess and the inconsistency caused by filtration? Here is our fool proof solution for 100% Delicious Cold Brew! 
 Watch video below to know how you can brew with the  Cold Brew Bags",https://www.coffeemechanics.co.in/products/cold-brew-bags-cherry-pick,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/16_f03b80c6-f557-4a3d-8bcb-44228d9b3802.png?v=1594910303,Coffee
Cold Brew Bags - Inch Perfect,Coffee Mechanics,500.0,Classic - Set of 5,Medium Roast,Butterscotch &amp; Almonds Set of 5 brew bags Each Brew Bag makes 3-5 cups of coffee concentrate No mess,,,"Inch Perfect  
  Our classic variation of medium roast coffee with notes of creamy butterscotch and toasty almonds!   Smooth and flavourful coffee to be enjoyed on Ice or with a dash of milk.  
   Classic   
 Medium Roast 
  Tasting Notes: Butterscotch &amp; Almonds  
 Set of 5 brew bags 
 Each Brew Bag makes 3-5 cups of coffee concentrate 
 No mess cold brew!  
 Dread the mess and the inconsistency caused by filtration? Here is our fool proof solution for 100% Delicious Cold Brew! 
 Watch video below to know how you can brew with the  Cold Brew Bags",https://www.coffeemechanics.co.in/products/cold-brew-bags-pack-of-5,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/17.png?v=1594910297,Coffee
