Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL,Image_URL
Blends,El Bueno,660.0,,,,"Discover premium coffee blends crafted from fresh, high-quality beans. Explore smooth, balanced specialty coffee perfect for every brew. Freshly roasted at El Bueno Coffee Roasters",https://elbuenocoffee.com/product-category/blends/,https://elbuenocoffee.com/wp-content/uploads/2025/02/El-Perfecto-300x375.png
CAFEC Starter Kit cup 1,El Bueno,,,,,nan,https://elbuenocoffee.com/product-category/cafec-starter-kit-cup-1/,https://elbuenocoffee.com/wp-content/uploads/2025/04/El-Bueno-Logo-Side.png
EB Bundles,El Bueno,790.0,,,,"Looking for specialty coffee or thoughtful gifts for coffee lovers? Explore freshly roasted Indian coffee bundles from El Bueno Coffee. Premium estate coffees, perfect for gifting and everyday brewing.",https://elbuenocoffee.com/product-category/eb-bundles/,https://elbuenocoffee.com/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-29-at-19.36.12_debb59be-300x375.jpg
Equipments & Merchandise,El Bueno,1119.0,,,,"Shop the best coffee machines & bean roasters at El Bueno Coffee. Freshness, flavor & perfection in every cup. Buy yours today!",https://elbuenocoffee.com/product-category/equipments-merchandise/,https://elbuenocoffee.com/wp-content/uploads/2025/04/CLASSIC-FRENCH-PRESS-600ML-300x375.jpg
Matcha,El Bueno,1200.0,,,,nan,https://elbuenocoffee.com/product-category/matcha/,https://elbuenocoffee.com/wp-content/uploads/2025/08/Ceremonial-High-Grade-Matcha-1.png
New In,El Bueno,,,,,nan,https://elbuenocoffee.com/product-category/new-in/,https://elbuenocoffee.com/wp-content/uploads/2025/04/El-Bueno-Logo-Side.png
Ready to Brew,El Bueno,400.0,,,,nan,https://elbuenocoffee.com/product-category/ready-to-brew/,https://elbuenocoffee.com/wp-content/uploads/2025/02/Bueno-Drip-Coffee-BRB-Voyaging-300x375.png
Single Estate,El Bueno,840.0,,,,"Buy speciality coffee beans online India at El Bueno Coffee. Fresh, premium beans delivered to your door. Shop now!",https://elbuenocoffee.com/product-category/single-estate/,https://elbuenocoffee.com/wp-content/uploads/2025/08/Choc-Out-Loud-300x375.png
Bean There,El Bueno,640.0,250g,Dark Roast,"– Prunes, Caramel and Dark Chocolate","Arabica and Robusta Blend Tasting Notes – Prunes, Caramel and Dark Chocolate",https://elbuenocoffee.com/product/bean-there/,https://elbuenocoffee.com/wp-content/uploads/2025/07/Bean-There-Updated.jpg
Bean There,El Bueno,640.0,500g,Dark Roast,"– Prunes, Caramel and Dark Chocolate","Arabica and Robusta Blend Tasting Notes – Prunes, Caramel and Dark Chocolate",https://elbuenocoffee.com/product/bean-there/,https://elbuenocoffee.com/wp-content/uploads/2025/07/Bean-There-Updated.jpg
