Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL,Image_URL
Aeropress clear,First Crack Coffee,,,,,nan,https://firstcrackcoffeeroasters.com/products/aeropress-clear,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Aeropressclear.png?v=1758186865
Aeropress Go,First Crack Coffee,4450.0,,,,nan,https://firstcrackcoffeeroasters.com/products/budan-french-press-350ml,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Aeropress_Go.png?v=1759458416
All Season,First Crack Coffee,,,Medium Roast,"cloves, dark chocolate, and toasted nuts — perfectly balancing warmth and boldness in every sip","A recommended coffee choice for your Americano, Cappuccino and Latte. A comforting classic, our All Seasons blend delivers rich notes of cloves, dark chocolate, and toasted nuts — perfectly balancing warmth and boldness in every sip. Crafted with medium roast, washed Arabica beans, it’s a go-to choice for any time of the year. Elevate your everyday coffee ritual with this versatile and flavour-packed brew.",https://firstcrackcoffeeroasters.com/products/all-season,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/AllSeason.png?v=1757931645
Aloha,First Crack Coffee,,,,"Pineapple fermented arabica coffee from the region of Chikmagalur, a unique coffee that has crisp and bright acidity with long lasting sweetness.","Pineapple fermented arabica coffee from the region of Chikmagalur, a unique coffee that has crisp and bright acidity with long lasting sweetness. A unique coffee to make pour overs and Aeropress.",https://firstcrackcoffeeroasters.com/products/aloha,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Aloha.png?v=1757932899
Barista Training & SOPs,First Crack Coffee,,,,,nan,https://firstcrackcoffeeroasters.com/products/barista-training,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/BaristaTraining.png?v=1758184464
Black French Press 350ml,First Crack Coffee,,,,,nan,https://firstcrackcoffeeroasters.com/products/black-french-press-350ml,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/BlackFrenchPress350ml.png?v=1759468822
Blossom,First Crack Coffee,,,,,"From the lush folds of the Western Ghats, this coffee is nurtured under a canopy of shade trees at Hegbal Estate, tended with care by producer Mr. Menezes. A meticulous anaerobic natural process elevates the cup to reveal a delicate yet layered character.",https://firstcrackcoffeeroasters.com/products/blossom,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Blossom_7ec90be9-be6f-488d-bbb4-037b0de80327.png?v=1757931713
Bubble 2 group,First Crack Coffee,,,,,nan,https://firstcrackcoffeeroasters.com/products/bubble-2-group,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Bubble2group.png?v=1758181927
Chestnut C3s manual hand grinder,First Crack Coffee,,,,,nan,https://firstcrackcoffeeroasters.com/products/chestnut-c3s-manual-hand-grinder,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/ChestnutC3smanualhandgrinder_65cb21f6-1e06-4e90-b7c2-6ddc31a067bb.png?v=1759472201
Clever Coffee Dripper,First Crack Coffee,,,,,nan,https://firstcrackcoffeeroasters.com/products/clever-coffee-dripper,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/CleverCoffeeDripper.png?v=1759472831
