Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
"Coorg, Naturals (100% Liberica)",Humble Bean,800.0,,Medium Roast,"Plum,Raisin, Cedar",Coorg,Naturals,"Why You'll Love This Coffee Exotic and Lush: Ripe plum and red-fruit sweetness meet mild woody tones and nutty undertones—culminating in a bold, full-bodied cup with mellow acidity and a syrupy, chewy texture. Crafted for Manual Brewing: Choose any manual brewing style—pour over, French press, AeroPress, Siphon, or Chemex—and it will work wonderfully. Each coffee’s distinct flavor profile is brought to life, delivering a rich and aromatic cup that highlights its unique complexity. Freshly Roasted for You: Roasted in small batches and shipped within 1–2 business days to ensure the freshest flavor possible. Quick Details Tasting Notes: Plum,Raisin, Cedar, Roasted nut. Best For: Pour Over, French Press, AeroPress, Chemex, Siphon. Origin : Coorg, Karnataka Net Weight: 250gm Altitude: 900 Meters Above sea level Process: Naturals Varietal: Liberica Roast Level : Medium What Makes This Limited Edition Unique? Single-Origin Excellence: These limited edition coffees are single-origin, crafted from unique regions, specific processes, and carefully selected farms. Each one offers a distinct flavor profile that reflects its origin and craftsmanship. Commitment to Freshness: We roast to order, ensuring your bag lands fresh, aromatic, and full of flavor. Sustainability Matters: Sourced directly, supporting regenerative farming and environmental stewardship.",https://humblebean.com/products/coorg-naturals-100-liberica-1,https://cdn.shopify.com/s/files/1/0699/2841/9608/files/8.png?v=1760517735,Coffee
"Coorg, Naturals (100% Liberica)",Humble Bean,800.0,Channi,Medium Roast,"Plum,Raisin, Cedar",Coorg,Naturals,"Why You'll Love This Coffee Exotic and Lush: Ripe plum and red-fruit sweetness meet mild woody tones and nutty undertones—culminating in a bold, full-bodied cup with mellow acidity and a syrupy, chewy texture. Crafted for Manual Brewing: Choose any manual brewing style—pour over, French press, AeroPress, Siphon, or Chemex—and it will work wonderfully. Each coffee’s distinct flavor profile is brought to life, delivering a rich and aromatic cup that highlights its unique complexity. Freshly Roasted for You: Roasted in small batches and shipped within 1–2 business days to ensure the freshest flavor possible. Quick Details Tasting Notes: Plum,Raisin, Cedar, Roasted nut. Best For: Pour Over, French Press, AeroPress, Chemex, Siphon. Origin : Coorg, Karnataka Net Weight: 250gm Altitude: 900 Meters Above sea level Process: Naturals Varietal: Liberica Roast Level : Medium What Makes This Limited Edition Unique? Single-Origin Excellence: These limited edition coffees are single-origin, crafted from unique regions, specific processes, and carefully selected farms. Each one offers a distinct flavor profile that reflects its origin and craftsmanship. Commitment to Freshness: We roast to order, ensuring your bag lands fresh, aromatic, and full of flavor. Sustainability Matters: Sourced directly, supporting regenerative farming and environmental stewardship.",https://humblebean.com/products/coorg-naturals-100-liberica-1,https://cdn.shopify.com/s/files/1/0699/2841/9608/files/8.png?v=1760517735,Coffee
"Coorg, Naturals (100% Liberica)",Humble Bean,800.0,,Medium Roast,"Plum,Raisin, Cedar",Coorg,Naturals,"Why You'll Love This Coffee Exotic and Lush: Ripe plum and red-fruit sweetness meet mild woody tones and nutty undertones—culminating in a bold, full-bodied cup with mellow acidity and a syrupy, chewy texture. Crafted for Manual Brewing: Choose any manual brewing style—pour over, French press, AeroPress, Siphon, or Chemex—and it will work wonderfully. Each coffee’s distinct flavor profile is brought to life, delivering a rich and aromatic cup that highlights its unique complexity. Freshly Roasted for You: Roasted in small batches and shipped within 1–2 business days to ensure the freshest flavor possible. Quick Details Tasting Notes: Plum,Raisin, Cedar, Roasted nut. Best For: Pour Over, French Press, AeroPress, Chemex, Siphon. Origin : Coorg, Karnataka Net Weight: 250gm Altitude: 900 Meters Above sea level Process: Naturals Varietal: Liberica Roast Level : Medium What Makes This Limited Edition Unique? Single-Origin Excellence: These limited edition coffees are single-origin, crafted from unique regions, specific processes, and carefully selected farms. Each one offers a distinct flavor profile that reflects its origin and craftsmanship. Commitment to Freshness: We roast to order, ensuring your bag lands fresh, aromatic, and full of flavor. Sustainability Matters: Sourced directly, supporting regenerative farming and environmental stewardship.",https://humblebean.com/products/coorg-naturals-100-liberica-1,https://cdn.shopify.com/s/files/1/0699/2841/9608/files/8.png?v=1760517735,Coffee
"Coorg, Naturals (100% Liberica)",Humble Bean,800.0,,Medium Roast,"Plum,Raisin, Cedar",Coorg,Naturals,"Why You'll Love This Coffee Exotic and Lush: Ripe plum and red-fruit sweetness meet mild woody tones and nutty undertones—culminating in a bold, full-bodied cup with mellow acidity and a syrupy, chewy texture. Crafted for Manual Brewing: Choose any manual brewing style—pour over, French press, AeroPress, Siphon, or Chemex—and it will work wonderfully. Each coffee’s distinct flavor profile is brought to life, delivering a rich and aromatic cup that highlights its unique complexity. Freshly Roasted for You: Roasted in small batches and shipped within 1–2 business days to ensure the freshest flavor possible. Quick Details Tasting Notes: Plum,Raisin, Cedar, Roasted nut. Best For: Pour Over, French Press, AeroPress, Chemex, Siphon. Origin : Coorg, Karnataka Net Weight: 250gm Altitude: 900 Meters Above sea level Process: Naturals Varietal: Liberica Roast Level : Medium What Makes This Limited Edition Unique? Single-Origin Excellence: These limited edition coffees are single-origin, crafted from unique regions, specific processes, and carefully selected farms. Each one offers a distinct flavor profile that reflects its origin and craftsmanship. Commitment to Freshness: We roast to order, ensuring your bag lands fresh, aromatic, and full of flavor. Sustainability Matters: Sourced directly, supporting regenerative farming and environmental stewardship.",https://humblebean.com/products/coorg-naturals-100-liberica-1,https://cdn.shopify.com/s/files/1/0699/2841/9608/files/8.png?v=1760517735,Coffee
"Coorg, Naturals (100% Liberica)",Humble Bean,800.0,Aero Press,Medium Roast,"Plum,Raisin, Cedar",Coorg,Naturals,"Why You'll Love This Coffee Exotic and Lush: Ripe plum and red-fruit sweetness meet mild woody tones and nutty undertones—culminating in a bold, full-bodied cup with mellow acidity and a syrupy, chewy texture. Crafted for Manual Brewing: Choose any manual brewing style—pour over, French press, AeroPress, Siphon, or Chemex—and it will work wonderfully. Each coffee’s distinct flavor profile is brought to life, delivering a rich and aromatic cup that highlights its unique complexity. Freshly Roasted for You: Roasted in small batches and shipped within 1–2 business days to ensure the freshest flavor possible. Quick Details Tasting Notes: Plum,Raisin, Cedar, Roasted nut. Best For: Pour Over, French Press, AeroPress, Chemex, Siphon. Origin : Coorg, Karnataka Net Weight: 250gm Altitude: 900 Meters Above sea level Process: Naturals Varietal: Liberica Roast Level : Medium What Makes This Limited Edition Unique? Single-Origin Excellence: These limited edition coffees are single-origin, crafted from unique regions, specific processes, and carefully selected farms. Each one offers a distinct flavor profile that reflects its origin and craftsmanship. Commitment to Freshness: We roast to order, ensuring your bag lands fresh, aromatic, and full of flavor. Sustainability Matters: Sourced directly, supporting regenerative farming and environmental stewardship.",https://humblebean.com/products/coorg-naturals-100-liberica-1,https://cdn.shopify.com/s/files/1/0699/2841/9608/files/8.png?v=1760517735,Coffee
"Coorg, Naturals (100% Liberica)",Humble Bean,800.0,,Medium Roast,"Plum,Raisin, Cedar",Coorg,Naturals,"Why You'll Love This Coffee Exotic and Lush: Ripe plum and red-fruit sweetness meet mild woody tones and nutty undertones—culminating in a bold, full-bodied cup with mellow acidity and a syrupy, chewy texture. Crafted for Manual Brewing: Choose any manual brewing style—pour over, French press, AeroPress, Siphon, or Chemex—and it will work wonderfully. Each coffee’s distinct flavor profile is brought to life, delivering a rich and aromatic cup that highlights its unique complexity. Freshly Roasted for You: Roasted in small batches and shipped within 1–2 business days to ensure the freshest flavor possible. Quick Details Tasting Notes: Plum,Raisin, Cedar, Roasted nut. Best For: Pour Over, French Press, AeroPress, Chemex, Siphon. Origin : Coorg, Karnataka Net Weight: 250gm Altitude: 900 Meters Above sea level Process: Naturals Varietal: Liberica Roast Level : Medium What Makes This Limited Edition Unique? Single-Origin Excellence: These limited edition coffees are single-origin, crafted from unique regions, specific processes, and carefully selected farms. Each one offers a distinct flavor profile that reflects its origin and craftsmanship. Commitment to Freshness: We roast to order, ensuring your bag lands fresh, aromatic, and full of flavor. Sustainability Matters: Sourced directly, supporting regenerative farming and environmental stewardship.",https://humblebean.com/products/coorg-naturals-100-liberica-1,https://cdn.shopify.com/s/files/1/0699/2841/9608/files/8.png?v=1760517735,Coffee
"Coorg, Naturals (100% Liberica)",Humble Bean,800.0,,Medium Roast,"Plum,Raisin, Cedar",Coorg,Naturals,"Why You'll Love This Coffee Exotic and Lush: Ripe plum and red-fruit sweetness meet mild woody tones and nutty undertones—culminating in a bold, full-bodied cup with mellow acidity and a syrupy, chewy texture. Crafted for Manual Brewing: Choose any manual brewing style—pour over, French press, AeroPress, Siphon, or Chemex—and it will work wonderfully. Each coffee’s distinct flavor profile is brought to life, delivering a rich and aromatic cup that highlights its unique complexity. Freshly Roasted for You: Roasted in small batches and shipped within 1–2 business days to ensure the freshest flavor possible. Quick Details Tasting Notes: Plum,Raisin, Cedar, Roasted nut. Best For: Pour Over, French Press, AeroPress, Chemex, Siphon. Origin : Coorg, Karnataka Net Weight: 250gm Altitude: 900 Meters Above sea level Process: Naturals Varietal: Liberica Roast Level : Medium What Makes This Limited Edition Unique? Single-Origin Excellence: These limited edition coffees are single-origin, crafted from unique regions, specific processes, and carefully selected farms. Each one offers a distinct flavor profile that reflects its origin and craftsmanship. Commitment to Freshness: We roast to order, ensuring your bag lands fresh, aromatic, and full of flavor. Sustainability Matters: Sourced directly, supporting regenerative farming and environmental stewardship.",https://humblebean.com/products/coorg-naturals-100-liberica-1,https://cdn.shopify.com/s/files/1/0699/2841/9608/files/8.png?v=1760517735,Coffee
"Coorg, Naturals (100% Arabica)",Humble Bean,800.0,,Medium Roast,"Ripe strawberry, cherry, tropical fruits, hazelnut, cocoa, warm spice Best For",Coorg,Naturals,"Why You'll Love This Coffee Rich, Naturally Sweet: Sun-dried in its fruit to unlock vibrant notes of ripe strawberry, cherry, and tropical fruit, this coffee is perfectly balanced with hazelnut, cocoa, and warm spice. The syrupy texture and naturally sweet profile make it an exceptional brew. Crafted for Manual Brewing: Choose any manual brewing style—pour over, French press, AeroPress, Siphon, or Chemex—and it will work wonderfully. Each coffee’s distinct flavor profile is brought to life, delivering a rich and aromatic cup that highlights its unique complexity. Freshly Roasted for You: Roasted in small batches and shipped within 1–2 business days to ensure the freshest flavor possible. Quick Details Tasting Notes: Ripe strawberry, cherry, tropical fruits, hazelnut, cocoa, warm spice Best For: Pour Over, French Press, AeroPress, Chemex, Siphon Origin: Coorg, Karnataka Net Weight: 250g Altitude: 900 Meters above sea level Process: Naturals Varietal: SLN-795 Roast Level: Medium What Makes This Limited Edition Unique? Single-Origin Excellence: These limited edition coffees are single-origin, crafted from unique regions, specific processes, and carefully selected farms. Each one offers a distinct flavor profile that reflects its origin and craftsmanship. Commitment to Freshness: We roast to order, ensuring your bag lands fresh, aromatic, and full of flavor. Sustainability Matters: Sourced directly, supporting regenerative farming and environmental stewardship. Estate Information - Ponnathmotte Estate A 20 km drive from the scenic Madikeri town of the Coorg district in Karnataka leads you to the sprawling Ponnathmotte Estate, where the rich aroma of coffee beans engulfs you. The word ‘Ponnathmotte’ means ‘Golden Hills’ in the local language. The estate was started over 80 years ago and is now looked after by the owners’ third generation. The region is blessed with adequate rainfall, rich soil, and an ideal climate suited to growing coffee. Thanks to its elevation of 3,6",https://humblebean.com/products/coorg-naturals-100-arabica-1,https://cdn.shopify.com/s/files/1/0699/2841/9608/files/2.png?v=1759828242,Coffee
"Coorg, Naturals (100% Arabica)",Humble Bean,800.0,Channi,Medium Roast,"Ripe strawberry, cherry, tropical fruits, hazelnut, cocoa, warm spice Best For",Coorg,Naturals,"Why You'll Love This Coffee Rich, Naturally Sweet: Sun-dried in its fruit to unlock vibrant notes of ripe strawberry, cherry, and tropical fruit, this coffee is perfectly balanced with hazelnut, cocoa, and warm spice. The syrupy texture and naturally sweet profile make it an exceptional brew. Crafted for Manual Brewing: Choose any manual brewing style—pour over, French press, AeroPress, Siphon, or Chemex—and it will work wonderfully. Each coffee’s distinct flavor profile is brought to life, delivering a rich and aromatic cup that highlights its unique complexity. Freshly Roasted for You: Roasted in small batches and shipped within 1–2 business days to ensure the freshest flavor possible. Quick Details Tasting Notes: Ripe strawberry, cherry, tropical fruits, hazelnut, cocoa, warm spice Best For: Pour Over, French Press, AeroPress, Chemex, Siphon Origin: Coorg, Karnataka Net Weight: 250g Altitude: 900 Meters above sea level Process: Naturals Varietal: SLN-795 Roast Level: Medium What Makes This Limited Edition Unique? Single-Origin Excellence: These limited edition coffees are single-origin, crafted from unique regions, specific processes, and carefully selected farms. Each one offers a distinct flavor profile that reflects its origin and craftsmanship. Commitment to Freshness: We roast to order, ensuring your bag lands fresh, aromatic, and full of flavor. Sustainability Matters: Sourced directly, supporting regenerative farming and environmental stewardship. Estate Information - Ponnathmotte Estate A 20 km drive from the scenic Madikeri town of the Coorg district in Karnataka leads you to the sprawling Ponnathmotte Estate, where the rich aroma of coffee beans engulfs you. The word ‘Ponnathmotte’ means ‘Golden Hills’ in the local language. The estate was started over 80 years ago and is now looked after by the owners’ third generation. The region is blessed with adequate rainfall, rich soil, and an ideal climate suited to growing coffee. Thanks to its elevation of 3,6",https://humblebean.com/products/coorg-naturals-100-arabica-1,https://cdn.shopify.com/s/files/1/0699/2841/9608/files/2.png?v=1759828242,Coffee
"Coorg, Naturals (100% Arabica)",Humble Bean,800.0,,Medium Roast,"Ripe strawberry, cherry, tropical fruits, hazelnut, cocoa, warm spice Best For",Coorg,Naturals,"Why You'll Love This Coffee Rich, Naturally Sweet: Sun-dried in its fruit to unlock vibrant notes of ripe strawberry, cherry, and tropical fruit, this coffee is perfectly balanced with hazelnut, cocoa, and warm spice. The syrupy texture and naturally sweet profile make it an exceptional brew. Crafted for Manual Brewing: Choose any manual brewing style—pour over, French press, AeroPress, Siphon, or Chemex—and it will work wonderfully. Each coffee’s distinct flavor profile is brought to life, delivering a rich and aromatic cup that highlights its unique complexity. Freshly Roasted for You: Roasted in small batches and shipped within 1–2 business days to ensure the freshest flavor possible. Quick Details Tasting Notes: Ripe strawberry, cherry, tropical fruits, hazelnut, cocoa, warm spice Best For: Pour Over, French Press, AeroPress, Chemex, Siphon Origin: Coorg, Karnataka Net Weight: 250g Altitude: 900 Meters above sea level Process: Naturals Varietal: SLN-795 Roast Level: Medium What Makes This Limited Edition Unique? Single-Origin Excellence: These limited edition coffees are single-origin, crafted from unique regions, specific processes, and carefully selected farms. Each one offers a distinct flavor profile that reflects its origin and craftsmanship. Commitment to Freshness: We roast to order, ensuring your bag lands fresh, aromatic, and full of flavor. Sustainability Matters: Sourced directly, supporting regenerative farming and environmental stewardship. Estate Information - Ponnathmotte Estate A 20 km drive from the scenic Madikeri town of the Coorg district in Karnataka leads you to the sprawling Ponnathmotte Estate, where the rich aroma of coffee beans engulfs you. The word ‘Ponnathmotte’ means ‘Golden Hills’ in the local language. The estate was started over 80 years ago and is now looked after by the owners’ third generation. The region is blessed with adequate rainfall, rich soil, and an ideal climate suited to growing coffee. Thanks to its elevation of 3,6",https://humblebean.com/products/coorg-naturals-100-arabica-1,https://cdn.shopify.com/s/files/1/0699/2841/9608/files/2.png?v=1759828242,Coffee
