Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Koraput Light Specialty coffee Drip Bags | Pack of 5,Kruti Coffee,350.0,,Light Roast,"(Level 3) Gooseberry – bright, tart fruit acidity with a crisp, refreshing character Honey – natural sweetness with",Koraput,Natural,"100% Arabica | Single Origin| Specialty coffee drip bags Process : Washed Cupping Notes : Gooseberry, Honey, Nutmeg Bright tart fruit, rounded honey sweetness, finishing with a warm spice complexity. Roast: Light Altitude: 2854-2952 Ft Msl Origin: Koraput, Odisha Usp: Forest Grown, Shade Grown Quantity: 5 Drip Bags (Each 12 Grams) Description: Primary Flavour Categories (Flavour Wheel Level 1) Fruity Sweet Spices Secondary Categories (Level 2) Berry / Tart Fruit Brown Sugar / Honey Sweetness Warm Spice Specific Tasting Notes (Level 3) Gooseberry – bright, tart fruit acidity with a crisp, refreshing character Honey – natural sweetness with smooth, floral sugar notes and a rounded mouthfeel Nutmeg – gentle warm spice adding depth and aromatic complexity to the finish Aroma : honey sweetness with subtle warm spice Acidity : bright, gooseberry-like tartness Flavour : honeyed sweetness layered with fresh gooseberry Finish : delicate nutmeg spice with lingering honey Summary Expression: Bright gooseberry acidity balanced by honeyed sweetness, finishing with a delicate hint of nutmeg spice. These drip bags have been specially designed to make brewing easy for you at home or as you travel. Please refer to the packaging for brewing instruction. This specialty naturals coffee from Koraput- “ Koraput Light ” has been roasted Light for those who like the nuanced taste notes characteristic of the coffee from Koraput.",https://kruticoffee.com/products/koraput-light-drip-bags-pack-of-5,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/KoraputLightdripbag.jpg?v=1779267983,Quick Brews
Bhubaneswar Blend | Signature Blend | 250 G,Kruti Coffee,700.0,,Dark Roast,"100% ARABICA, SIGNATURE BLEND OF COFFEE FROM KORAPUT",Koraput,WASHED,"100% ARABICA | SIGNATURE BLEND OF COFFEE FROM KORAPUT PROCESS: WASHED FLAVOUR: DARK CHOCOLATE & HAZELNUT ROAST: DARK ALTITUDE: 2854-2952 FT MSL ORIGIN: KORAPUT,ODISHA QUANTITY: 250 GRAMS Please select the grind preference based on the equipment you will be using to brew your coffee. We will grind as per your preference, before shipping the Arabica coffee to you (with best compliments from us). The coffee in this packet is a blend of two washed coffees from  farms under in Koraput. Both the coffees have been carefully roasted and blended in the right proportion to get a magical brew. This signature blend of ours is a tribute to the rich history and legacy of City of Temples Bhubaneswar in the beautiful state of Odisha. About Bhubaneswar Blend: Bhubaneswar Blend is the darkest blend developed by Kruti Coffee ever. This blend has been developed for coffee connoisseurs who like their coffee really strong yet tasteful. This goes nicely as a black coffee brewed in espresso style and blends beautifully with milk.",https://kruticoffee.com/products/bhubaneswar-blend-100-arabica-signature-blend-dark-roasted-250-gm-kruti-coffee-freshly-roasted-specialty-coffee-blend,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Bhubaneswar_Blend_KC_F.jpg?v=1779273768,Coffee
Bhubaneswar Blend | Signature Blend | 250 G,Kruti Coffee,700.0,,Dark Roast,"100% ARABICA, SIGNATURE BLEND OF COFFEE FROM KORAPUT",Koraput,WASHED,"100% ARABICA | SIGNATURE BLEND OF COFFEE FROM KORAPUT PROCESS: WASHED FLAVOUR: DARK CHOCOLATE & HAZELNUT ROAST: DARK ALTITUDE: 2854-2952 FT MSL ORIGIN: KORAPUT,ODISHA QUANTITY: 250 GRAMS Please select the grind preference based on the equipment you will be using to brew your coffee. We will grind as per your preference, before shipping the Arabica coffee to you (with best compliments from us). The coffee in this packet is a blend of two washed coffees from  farms under in Koraput. Both the coffees have been carefully roasted and blended in the right proportion to get a magical brew. This signature blend of ours is a tribute to the rich history and legacy of City of Temples Bhubaneswar in the beautiful state of Odisha. About Bhubaneswar Blend: Bhubaneswar Blend is the darkest blend developed by Kruti Coffee ever. This blend has been developed for coffee connoisseurs who like their coffee really strong yet tasteful. This goes nicely as a black coffee brewed in espresso style and blends beautifully with milk.",https://kruticoffee.com/products/bhubaneswar-blend-100-arabica-signature-blend-dark-roasted-250-gm-kruti-coffee-freshly-roasted-specialty-coffee-blend,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Bhubaneswar_Blend_KC_F.jpg?v=1779273768,Coffee
Bhubaneswar Blend | Signature Blend | 250 G,Kruti Coffee,700.0,,Dark Roast,"100% ARABICA, SIGNATURE BLEND OF COFFEE FROM KORAPUT",Koraput,WASHED,"100% ARABICA | SIGNATURE BLEND OF COFFEE FROM KORAPUT PROCESS: WASHED FLAVOUR: DARK CHOCOLATE & HAZELNUT ROAST: DARK ALTITUDE: 2854-2952 FT MSL ORIGIN: KORAPUT,ODISHA QUANTITY: 250 GRAMS Please select the grind preference based on the equipment you will be using to brew your coffee. We will grind as per your preference, before shipping the Arabica coffee to you (with best compliments from us). The coffee in this packet is a blend of two washed coffees from  farms under in Koraput. Both the coffees have been carefully roasted and blended in the right proportion to get a magical brew. This signature blend of ours is a tribute to the rich history and legacy of City of Temples Bhubaneswar in the beautiful state of Odisha. About Bhubaneswar Blend: Bhubaneswar Blend is the darkest blend developed by Kruti Coffee ever. This blend has been developed for coffee connoisseurs who like their coffee really strong yet tasteful. This goes nicely as a black coffee brewed in espresso style and blends beautifully with milk.",https://kruticoffee.com/products/bhubaneswar-blend-100-arabica-signature-blend-dark-roasted-250-gm-kruti-coffee-freshly-roasted-specialty-coffee-blend,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Bhubaneswar_Blend_KC_F.jpg?v=1779273768,Coffee
Bhubaneswar Blend | Signature Blend | 250 G,Kruti Coffee,700.0,,Dark Roast,"100% ARABICA, SIGNATURE BLEND OF COFFEE FROM KORAPUT",Koraput,WASHED,"100% ARABICA | SIGNATURE BLEND OF COFFEE FROM KORAPUT PROCESS: WASHED FLAVOUR: DARK CHOCOLATE & HAZELNUT ROAST: DARK ALTITUDE: 2854-2952 FT MSL ORIGIN: KORAPUT,ODISHA QUANTITY: 250 GRAMS Please select the grind preference based on the equipment you will be using to brew your coffee. We will grind as per your preference, before shipping the Arabica coffee to you (with best compliments from us). The coffee in this packet is a blend of two washed coffees from  farms under in Koraput. Both the coffees have been carefully roasted and blended in the right proportion to get a magical brew. This signature blend of ours is a tribute to the rich history and legacy of City of Temples Bhubaneswar in the beautiful state of Odisha. About Bhubaneswar Blend: Bhubaneswar Blend is the darkest blend developed by Kruti Coffee ever. This blend has been developed for coffee connoisseurs who like their coffee really strong yet tasteful. This goes nicely as a black coffee brewed in espresso style and blends beautifully with milk.",https://kruticoffee.com/products/bhubaneswar-blend-100-arabica-signature-blend-dark-roasted-250-gm-kruti-coffee-freshly-roasted-specialty-coffee-blend,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Bhubaneswar_Blend_KC_F.jpg?v=1779273768,Coffee
Bhubaneswar Blend | Signature Blend | 250 G,Kruti Coffee,700.0,,Dark Roast,"100% ARABICA, SIGNATURE BLEND OF COFFEE FROM KORAPUT",Koraput,WASHED,"100% ARABICA | SIGNATURE BLEND OF COFFEE FROM KORAPUT PROCESS: WASHED FLAVOUR: DARK CHOCOLATE & HAZELNUT ROAST: DARK ALTITUDE: 2854-2952 FT MSL ORIGIN: KORAPUT,ODISHA QUANTITY: 250 GRAMS Please select the grind preference based on the equipment you will be using to brew your coffee. We will grind as per your preference, before shipping the Arabica coffee to you (with best compliments from us). The coffee in this packet is a blend of two washed coffees from  farms under in Koraput. Both the coffees have been carefully roasted and blended in the right proportion to get a magical brew. This signature blend of ours is a tribute to the rich history and legacy of City of Temples Bhubaneswar in the beautiful state of Odisha. About Bhubaneswar Blend: Bhubaneswar Blend is the darkest blend developed by Kruti Coffee ever. This blend has been developed for coffee connoisseurs who like their coffee really strong yet tasteful. This goes nicely as a black coffee brewed in espresso style and blends beautifully with milk.",https://kruticoffee.com/products/bhubaneswar-blend-100-arabica-signature-blend-dark-roasted-250-gm-kruti-coffee-freshly-roasted-specialty-coffee-blend,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Bhubaneswar_Blend_KC_F.jpg?v=1779273768,Coffee
Bhubaneswar Blend | Signature Blend | 250 G,Kruti Coffee,700.0,,Dark Roast,"100% ARABICA, SIGNATURE BLEND OF COFFEE FROM KORAPUT",Koraput,WASHED,"100% ARABICA | SIGNATURE BLEND OF COFFEE FROM KORAPUT PROCESS: WASHED FLAVOUR: DARK CHOCOLATE & HAZELNUT ROAST: DARK ALTITUDE: 2854-2952 FT MSL ORIGIN: KORAPUT,ODISHA QUANTITY: 250 GRAMS Please select the grind preference based on the equipment you will be using to brew your coffee. We will grind as per your preference, before shipping the Arabica coffee to you (with best compliments from us). The coffee in this packet is a blend of two washed coffees from  farms under in Koraput. Both the coffees have been carefully roasted and blended in the right proportion to get a magical brew. This signature blend of ours is a tribute to the rich history and legacy of City of Temples Bhubaneswar in the beautiful state of Odisha. About Bhubaneswar Blend: Bhubaneswar Blend is the darkest blend developed by Kruti Coffee ever. This blend has been developed for coffee connoisseurs who like their coffee really strong yet tasteful. This goes nicely as a black coffee brewed in espresso style and blends beautifully with milk.",https://kruticoffee.com/products/bhubaneswar-blend-100-arabica-signature-blend-dark-roasted-250-gm-kruti-coffee-freshly-roasted-specialty-coffee-blend,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Bhubaneswar_Blend_KC_F.jpg?v=1779273768,Coffee
Bhubaneswar Blend | Signature Blend | 250 G,Kruti Coffee,700.0,,Dark Roast,"100% ARABICA, SIGNATURE BLEND OF COFFEE FROM KORAPUT",Koraput,WASHED,"100% ARABICA | SIGNATURE BLEND OF COFFEE FROM KORAPUT PROCESS: WASHED FLAVOUR: DARK CHOCOLATE & HAZELNUT ROAST: DARK ALTITUDE: 2854-2952 FT MSL ORIGIN: KORAPUT,ODISHA QUANTITY: 250 GRAMS Please select the grind preference based on the equipment you will be using to brew your coffee. We will grind as per your preference, before shipping the Arabica coffee to you (with best compliments from us). The coffee in this packet is a blend of two washed coffees from  farms under in Koraput. Both the coffees have been carefully roasted and blended in the right proportion to get a magical brew. This signature blend of ours is a tribute to the rich history and legacy of City of Temples Bhubaneswar in the beautiful state of Odisha. About Bhubaneswar Blend: Bhubaneswar Blend is the darkest blend developed by Kruti Coffee ever. This blend has been developed for coffee connoisseurs who like their coffee really strong yet tasteful. This goes nicely as a black coffee brewed in espresso style and blends beautifully with milk.",https://kruticoffee.com/products/bhubaneswar-blend-100-arabica-signature-blend-dark-roasted-250-gm-kruti-coffee-freshly-roasted-specialty-coffee-blend,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Bhubaneswar_Blend_KC_F.jpg?v=1779273768,Coffee
Koraput Light | Single Origin | 100 G,Kruti Coffee,400.0,,Light Roast,"(Level 3) Gooseberry – bright, tart fruit acidity with a crisp, refreshing character Honey – natural sweetness with",Koraput,Natural,"100% Arabica | Single Origin | Specialty Coffee Process : Washed Cupping Notes : Gooseberry, Honey, Nutmeg Bright tart fruit, rounded honey sweetness, finishing with a warm spice complexity. Roast: Light Altitude: 2854-2952 Ft Msl Origin: Koraput, Odisha Usp: Forest Grown, Shade Grown Quantity: 100 Grams Description: Primary Flavour Categories (Flavour Wheel Level 1) Fruity Sweet Spices Secondary Categories (Level 2) Berry / Tart Fruit Brown Sugar / Honey Sweetness Warm Spice Specific Tasting Notes (Level 3) Gooseberry – bright, tart fruit acidity with a crisp, refreshing character Honey – natural sweetness with smooth, floral sugar notes and a rounded mouthfeel Nutmeg – gentle warm spice adding depth and aromatic complexity to the finish Aroma : honey sweetness with subtle warm spice Acidity : bright, gooseberry-like tartness Flavor : honeyed sweetness layered with fresh gooseberry Finish : delicate nutmeg spice with lingering honey Summary Expression: Bright gooseberry acidity balanced by honeyed sweetness, finishing with a delicate hint of nutmeg spice.",https://kruticoffee.com/products/koraput-light-single-origin-100g,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Koraput_light_tin_F.jpg?v=1779274790,Coffee
Koraput Light | Single Origin | 100 G,Kruti Coffee,400.0,,Light Roast,"(Level 3) Gooseberry – bright, tart fruit acidity with a crisp, refreshing character Honey – natural sweetness with",Koraput,Natural,"100% Arabica | Single Origin | Specialty Coffee Process : Washed Cupping Notes : Gooseberry, Honey, Nutmeg Bright tart fruit, rounded honey sweetness, finishing with a warm spice complexity. Roast: Light Altitude: 2854-2952 Ft Msl Origin: Koraput, Odisha Usp: Forest Grown, Shade Grown Quantity: 100 Grams Description: Primary Flavour Categories (Flavour Wheel Level 1) Fruity Sweet Spices Secondary Categories (Level 2) Berry / Tart Fruit Brown Sugar / Honey Sweetness Warm Spice Specific Tasting Notes (Level 3) Gooseberry – bright, tart fruit acidity with a crisp, refreshing character Honey – natural sweetness with smooth, floral sugar notes and a rounded mouthfeel Nutmeg – gentle warm spice adding depth and aromatic complexity to the finish Aroma : honey sweetness with subtle warm spice Acidity : bright, gooseberry-like tartness Flavor : honeyed sweetness layered with fresh gooseberry Finish : delicate nutmeg spice with lingering honey Summary Expression: Bright gooseberry acidity balanced by honeyed sweetness, finishing with a delicate hint of nutmeg spice.",https://kruticoffee.com/products/koraput-light-single-origin-100g,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Koraput_light_tin_F.jpg?v=1779274790,Coffee
