Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Single Serve Pour Over – Signature Selection (Pack of 10),Nandan Coffee,750.0,,Dark Roast,,,,"Discover the full spectrum of Nandan’s pour over experience in one thoughtfully curated box. Featuring light, medium, and dark roasts, this selection offers a journey through gentle, balanced, and bold flavour profiles, crafted for every mood, moment, and preference.",https://www.nandancoffee.com/products/single-serve-pour-over-signature-selection-pack-of-10,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/SignatureSelection4.png?v=1781673946,Accessories
Royale Light Roast,Nandan Coffee,650.0,250g,Light Roast,Nandan Royale Light,,Natural,"Nandan Royale Light Roast is crafted from S-9 Arabica for a bright, expressive cup. Light bodied and refreshing, it highlights natural sweetness and lively acidity, with citrus-forward notes that shine cleanly, especially when brewed black.",https://www.nandancoffee.com/products/nandan-royale-light-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleLight-1.png?v=1776094622,Coffee
Royale Light Roast,Nandan Coffee,650.0,250g,Light Roast,Nandan Royale Light,,Natural,"Nandan Royale Light Roast is crafted from S-9 Arabica for a bright, expressive cup. Light bodied and refreshing, it highlights natural sweetness and lively acidity, with citrus-forward notes that shine cleanly, especially when brewed black.",https://www.nandancoffee.com/products/nandan-royale-light-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleLight-1.png?v=1776094622,Coffee
Royale Light Roast,Nandan Coffee,650.0,250g,Light Roast,Nandan Royale Light,,Natural,"Nandan Royale Light Roast is crafted from S-9 Arabica for a bright, expressive cup. Light bodied and refreshing, it highlights natural sweetness and lively acidity, with citrus-forward notes that shine cleanly, especially when brewed black.",https://www.nandancoffee.com/products/nandan-royale-light-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleLight-1.png?v=1776094622,Coffee
Royale Light Roast,Nandan Coffee,650.0,250g,Light Roast,Nandan Royale Light,,Natural,"Nandan Royale Light Roast is crafted from S-9 Arabica for a bright, expressive cup. Light bodied and refreshing, it highlights natural sweetness and lively acidity, with citrus-forward notes that shine cleanly, especially when brewed black.",https://www.nandancoffee.com/products/nandan-royale-light-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleLight-1.png?v=1776094622,Coffee
Royale Light Roast,Nandan Coffee,650.0,250g,Light Roast,Nandan Royale Light,,Natural,"Nandan Royale Light Roast is crafted from S-9 Arabica for a bright, expressive cup. Light bodied and refreshing, it highlights natural sweetness and lively acidity, with citrus-forward notes that shine cleanly, especially when brewed black.",https://www.nandancoffee.com/products/nandan-royale-light-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleLight-1.png?v=1776094622,Coffee
Royale Medium Roast,Nandan Coffee,650.0,250g,Medium Roast,Nandan Royale,,,"Nandan Royale Roast is crafted from S-9 Arabica for a rich, aromatic cup. Medium bodied and smooth, it opens with layered sweetness and gentle complexity, balanced by a bright acidity. Notes of caramel, milk chocolate, and treacle shine beautifully, black or with milk",https://www.nandancoffee.com/products/nandan-royale-medium-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleMedium-1.png?v=1776100356,Coffee
Royale Medium Roast,Nandan Coffee,650.0,250g,Medium Roast,Nandan Royale,,,"Nandan Royale Roast is crafted from S-9 Arabica for a rich, aromatic cup. Medium bodied and smooth, it opens with layered sweetness and gentle complexity, balanced by a bright acidity. Notes of caramel, milk chocolate, and treacle shine beautifully, black or with milk",https://www.nandancoffee.com/products/nandan-royale-medium-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleMedium-1.png?v=1776100356,Coffee
Royale Medium Roast,Nandan Coffee,650.0,250g,Medium Roast,Nandan Royale,,,"Nandan Royale Roast is crafted from S-9 Arabica for a rich, aromatic cup. Medium bodied and smooth, it opens with layered sweetness and gentle complexity, balanced by a bright acidity. Notes of caramel, milk chocolate, and treacle shine beautifully, black or with milk",https://www.nandancoffee.com/products/nandan-royale-medium-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleMedium-1.png?v=1776100356,Coffee
Royale Medium Roast,Nandan Coffee,650.0,250g,Medium Roast,Nandan Royale,,,"Nandan Royale Roast is crafted from S-9 Arabica for a rich, aromatic cup. Medium bodied and smooth, it opens with layered sweetness and gentle complexity, balanced by a bright acidity. Notes of caramel, milk chocolate, and treacle shine beautifully, black or with milk",https://www.nandancoffee.com/products/nandan-royale-medium-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleMedium-1.png?v=1776100356,Coffee
Royale Medium Roast,Nandan Coffee,650.0,250g,Medium Roast,Nandan Royale,,,"Nandan Royale Roast is crafted from S-9 Arabica for a rich, aromatic cup. Medium bodied and smooth, it opens with layered sweetness and gentle complexity, balanced by a bright acidity. Notes of caramel, milk chocolate, and treacle shine beautifully, black or with milk",https://www.nandancoffee.com/products/nandan-royale-medium-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleMedium-1.png?v=1776100356,Coffee
Royale Medium Roast,Nandan Coffee,650.0,250g,Medium Roast,Nandan Royale,,,"Nandan Royale Roast is crafted from S-9 Arabica for a rich, aromatic cup. Medium bodied and smooth, it opens with layered sweetness and gentle complexity, balanced by a bright acidity. Notes of caramel, milk chocolate, and treacle shine beautifully, black or with milk",https://www.nandancoffee.com/products/nandan-royale-medium-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleMedium-1.png?v=1776100356,Coffee
Royale Medium-Dark Roast,Nandan Coffee,650.0,250g,Medium-Dark Roast,Nandan Royale Medium-Dark,,,"Nandan Royale Medium-Dark Roast is crafted from S-9 Arabica for a deeper, more indulgent cup. Medium bodied and velvety, it balances richness with structure, revealing caramelised sweetness, dark chocolate depth, and a gentle hint of spice, black or with milk.",https://www.nandancoffee.com/products/nandan-royale-medium-dark-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleMediumDark-1.png?v=1776184503,Coffee
Royale Medium-Dark Roast,Nandan Coffee,650.0,250g,Medium-Dark Roast,Nandan Royale Medium-Dark,,,"Nandan Royale Medium-Dark Roast is crafted from S-9 Arabica for a deeper, more indulgent cup. Medium bodied and velvety, it balances richness with structure, revealing caramelised sweetness, dark chocolate depth, and a gentle hint of spice, black or with milk.",https://www.nandancoffee.com/products/nandan-royale-medium-dark-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleMediumDark-1.png?v=1776184503,Coffee
Royale Medium-Dark Roast,Nandan Coffee,650.0,250g,Medium-Dark Roast,Nandan Royale Medium-Dark,,,"Nandan Royale Medium-Dark Roast is crafted from S-9 Arabica for a deeper, more indulgent cup. Medium bodied and velvety, it balances richness with structure, revealing caramelised sweetness, dark chocolate depth, and a gentle hint of spice, black or with milk.",https://www.nandancoffee.com/products/nandan-royale-medium-dark-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleMediumDark-1.png?v=1776184503,Coffee
Royale Medium-Dark Roast,Nandan Coffee,650.0,250g,Medium-Dark Roast,Nandan Royale Medium-Dark,,,"Nandan Royale Medium-Dark Roast is crafted from S-9 Arabica for a deeper, more indulgent cup. Medium bodied and velvety, it balances richness with structure, revealing caramelised sweetness, dark chocolate depth, and a gentle hint of spice, black or with milk.",https://www.nandancoffee.com/products/nandan-royale-medium-dark-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleMediumDark-1.png?v=1776184503,Coffee
Royale Medium-Dark Roast,Nandan Coffee,650.0,250g,Medium-Dark Roast,Nandan Royale Medium-Dark,,,"Nandan Royale Medium-Dark Roast is crafted from S-9 Arabica for a deeper, more indulgent cup. Medium bodied and velvety, it balances richness with structure, revealing caramelised sweetness, dark chocolate depth, and a gentle hint of spice, black or with milk.",https://www.nandancoffee.com/products/nandan-royale-medium-dark-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleMediumDark-1.png?v=1776184503,Coffee
Lil'More Light Roast,Nandan Coffee,650.0,250g,Light Roast,Nandan L’Lmore,,,"Nandan L’Lmore Roast is a light, elegant roast crafted from S-9 Arabica. Low in acidity with a gentle body, it offers a soft, refined cup. Subtle toasted notes emerge slowly, creating a calm, comforting finish designed for effortless everyday drinking.",https://www.nandancoffee.com/products/nandan-lilmore-light-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/Lil_MoreLight-1_8be52a21-58cf-4119-9a63-f2270aa2195a.png?v=1775980844,Coffee
Lil'More Light Roast,Nandan Coffee,650.0,250g,Light Roast,Nandan L’Lmore,,,"Nandan L’Lmore Roast is a light, elegant roast crafted from S-9 Arabica. Low in acidity with a gentle body, it offers a soft, refined cup. Subtle toasted notes emerge slowly, creating a calm, comforting finish designed for effortless everyday drinking.",https://www.nandancoffee.com/products/nandan-lilmore-light-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/Lil_MoreLight-1_8be52a21-58cf-4119-9a63-f2270aa2195a.png?v=1775980844,Coffee
Lil'More Light Roast,Nandan Coffee,650.0,250g,Light Roast,Nandan L’Lmore,,,"Nandan L’Lmore Roast is a light, elegant roast crafted from S-9 Arabica. Low in acidity with a gentle body, it offers a soft, refined cup. Subtle toasted notes emerge slowly, creating a calm, comforting finish designed for effortless everyday drinking.",https://www.nandancoffee.com/products/nandan-lilmore-light-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/Lil_MoreLight-1_8be52a21-58cf-4119-9a63-f2270aa2195a.png?v=1775980844,Coffee
Lil'More Light Roast,Nandan Coffee,650.0,250g,Light Roast,Nandan L’Lmore,,,"Nandan L’Lmore Roast is a light, elegant roast crafted from S-9 Arabica. Low in acidity with a gentle body, it offers a soft, refined cup. Subtle toasted notes emerge slowly, creating a calm, comforting finish designed for effortless everyday drinking.",https://www.nandancoffee.com/products/nandan-lilmore-light-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/Lil_MoreLight-1_8be52a21-58cf-4119-9a63-f2270aa2195a.png?v=1775980844,Coffee
Royale Dark Roast,Nandan Coffee,650.0,250g,Dark Roast,Nandan Royale Dark,,,"Nandan Royale Dark Roast is crafted from S-9 Arabica for a deeper, more indulgent expression. Medium bodied and smooth, it highlights cocoa, dark chocolate, and roasted hazelnut, with caramel sweetness that shines both black and with milk.",https://www.nandancoffee.com/products/nandan-royale-dark-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleDark-1.png?v=1776184643,Coffee
Royale Dark Roast,Nandan Coffee,650.0,250g,Dark Roast,Nandan Royale Dark,,,"Nandan Royale Dark Roast is crafted from S-9 Arabica for a deeper, more indulgent expression. Medium bodied and smooth, it highlights cocoa, dark chocolate, and roasted hazelnut, with caramel sweetness that shines both black and with milk.",https://www.nandancoffee.com/products/nandan-royale-dark-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleDark-1.png?v=1776184643,Coffee
Royale Dark Roast,Nandan Coffee,650.0,250g,Dark Roast,Nandan Royale Dark,,,"Nandan Royale Dark Roast is crafted from S-9 Arabica for a deeper, more indulgent expression. Medium bodied and smooth, it highlights cocoa, dark chocolate, and roasted hazelnut, with caramel sweetness that shines both black and with milk.",https://www.nandancoffee.com/products/nandan-royale-dark-roast,https://cdn.shopify.com/s/files/1/0939/1246/5724/files/RoyaleDark-1.png?v=1776184643,Coffee
