Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Breakfast Blend Light Roast Beans,Odd Coffee Roasters,549.0,250g,Light Roast,"× Close Light Roast FRUITY | FLORAL | MILK CHOCOLATE A fruity, floral and milk chocolate blend of light roasted Arabica",,,"×   
 
   
  Close  
 
 
 
 Light Roast 
 FRUITY | FLORAL | MILK CHOCOLATE 
 A fruity, floral and milk chocolate blend of light roasted Arabica beans. Explore your love - light roasted coffee with a fruity and floral touch. 
 
 
  100% Arabica 
    No Preservatives  
    Fruity and Floral flavor   
    Light Roast",https://oddcoffee.in/products/breakfast-blend-beans,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/BreakfastBlend.png?v=1755772277,Coffee
Breakfast Blend Light Roast Beans,Odd Coffee Roasters,999.0,500g,Light Roast,"× Close Light Roast FRUITY | FLORAL | MILK CHOCOLATE A fruity, floral and milk chocolate blend of light roasted Arabica",,,"×   
 
   
  Close  
 
 
 
 Light Roast 
 FRUITY | FLORAL | MILK CHOCOLATE 
 A fruity, floral and milk chocolate blend of light roasted Arabica beans. Explore your love - light roasted coffee with a fruity and floral touch. 
 
 
  100% Arabica 
    No Preservatives  
    Fruity and Floral flavor   
    Light Roast",https://oddcoffee.in/products/breakfast-blend-beans,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/BreakfastBlend.png?v=1755772277,Coffee
Breakfast Blend Light Roast Beans,Odd Coffee Roasters,1799.0,1kg,Light Roast,"× Close Light Roast FRUITY | FLORAL | MILK CHOCOLATE A fruity, floral and milk chocolate blend of light roasted Arabica",,,"×   
 
   
  Close  
 
 
 
 Light Roast 
 FRUITY | FLORAL | MILK CHOCOLATE 
 A fruity, floral and milk chocolate blend of light roasted Arabica beans. Explore your love - light roasted coffee with a fruity and floral touch. 
 
 
  100% Arabica 
    No Preservatives  
    Fruity and Floral flavor   
    Light Roast",https://oddcoffee.in/products/breakfast-blend-beans,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/BreakfastBlend.png?v=1755772277,Coffee
Breakfast Blend Light Roast Pour Over Bags | No Equipment Needed (10 Cups),Odd Coffee Roasters,449.0,,Light Roast,"× Close Light Roast FRUITY | FLORAL | MILK CHOCOLATE A fruity, floral and milk chocolate blend of light roasted Arabica",,,"×   
 
   
  Close  
 
 
 
 Light Roast 
 FRUITY | FLORAL | MILK CHOCOLATE 
 A fruity, floral and milk chocolate blend of light roasted Arabica Beans. Pure bliss - for your sweet fruit taste. 
 
 
  100% Arabica 
    No Preservatives  
    Fruity Flavor  
    Light Roast",https://oddcoffee.in/products/breakfast-blend,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/BreakfastBlendBox.png?v=1755772239,Accessories
House Blend 60:40 Medium Roast Beans,Odd Coffee Roasters,539.0,250g,Medium Roast,"× Close Medium Roast SIGNATURE TASTE | NUTTY | CHOCOLATY A nutty, chocolaty and signature taste blend of medium roasted",,Natural,"×   
 
   
  Close  
 
 
 
 Medium Roast 
 SIGNATURE TASTE | NUTTY | CHOCOLATY 
 A nutty, chocolaty and signature taste blend of medium roasted Arabica and Robusta beans. Explore your love - medium roasted coffee with a nutty and chocolaty touch. 
 
 
  100%  Natural  
 
    No Preservatives  
    Nutty and Chocolaty flavor   
    Medium Roast",https://oddcoffee.in/products/house-blend-beans,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/HouseBlend.png?v=1755772291,Coffee
House Blend 60:40 Medium Roast Beans,Odd Coffee Roasters,969.0,500g,Medium Roast,"× Close Medium Roast SIGNATURE TASTE | NUTTY | CHOCOLATY A nutty, chocolaty and signature taste blend of medium roasted",,Natural,"×   
 
   
  Close  
 
 
 
 Medium Roast 
 SIGNATURE TASTE | NUTTY | CHOCOLATY 
 A nutty, chocolaty and signature taste blend of medium roasted Arabica and Robusta beans. Explore your love - medium roasted coffee with a nutty and chocolaty touch. 
 
 
  100%  Natural  
 
    No Preservatives  
    Nutty and Chocolaty flavor   
    Medium Roast",https://oddcoffee.in/products/house-blend-beans,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/HouseBlend.png?v=1755772291,Coffee
House Blend 60:40 Medium Roast Beans,Odd Coffee Roasters,1699.0,1kg,Medium Roast,"× Close Medium Roast SIGNATURE TASTE | NUTTY | CHOCOLATY A nutty, chocolaty and signature taste blend of medium roasted",,Natural,"×   
 
   
  Close  
 
 
 
 Medium Roast 
 SIGNATURE TASTE | NUTTY | CHOCOLATY 
 A nutty, chocolaty and signature taste blend of medium roasted Arabica and Robusta beans. Explore your love - medium roasted coffee with a nutty and chocolaty touch. 
 
 
  100%  Natural  
 
    No Preservatives  
    Nutty and Chocolaty flavor   
    Medium Roast",https://oddcoffee.in/products/house-blend-beans,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/HouseBlend.png?v=1755772291,Coffee
House Blend Medium Roast Pour Over Bags | No Equipment Needed (10 Cups),Odd Coffee Roasters,449.0,,Medium Roast,"× Close Medium Roast SIGNATURE TASTE | CHOCOLATY | NUTTY A chocolatety, nutty and signature taste blend of roasted",,Natural,"×   
 
   
  Close  
 
 
 
 Medium Roast 
 SIGNATURE TASTE | CHOCOLATY | NUTTY 
 A chocolatety, nutty and signature taste blend of roasted Arabica and premium Robustas 
 
 
  100%  Natural  
 
    No Preservatives  
    Nutty Flavor  
    Medium Roast",https://oddcoffee.in/products/house-blend,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/HouseBlendBox.png?v=1755772225,Accessories
Monsooned Malabar Medium Dark Roast Pour Over Bags | No Equipment Needed (10 Cups),Odd Coffee Roasters,499.0,,Medium-Dark Roast,"Medium Dark Roast EARTHY | BAKER'S CHOCOLATE An intensely flavourful, baker’s chocolate and earthy blend of medium dark",,,"Medium Dark Roast 
 EARTHY | BAKER'S CHOCOLATE 
 An intensely flavourful, baker’s chocolate and earthy blend of medium dark roasted AA Arabica Beans. Kick start your - with musty-earth aroma. 
 
 
 100% Arabica 
    No Preservatives  
    Earthy Flavor  
    Medium Dark Roast",https://oddcoffee.in/products/monsooned-malabar-pour-over-bags,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/1.2.png?v=1761822543,Accessories
ODD Classic Cold Brew | No Equipment Needed,Odd Coffee Roasters,540.0,5g,Medium Roast,,,Natural,".coffee-section h3 {
    font-size: 26px;
    margin-bottom: 5px;
    font-weight: 700;
  }
  .coffee-section h4 {
    margin-top: 0;
    font-size: 18px;
    font-weight: 600;
    color: #6b6b6b;
  }
  .coffee-section ul {
    list-style: none;
    padding: 0;
    margin: 20px 0;
  }
  .coffee-section ul li {
    display: flex;
    align-items: center;
    margin-bottom: 12px;
    font-size: 16px;
    font-weight: 500;
  }
  .coffee-section ul li img {
    width: 38px;
    margin-right: 10px;
  }

  .brew-steps {
    margin-top: 35px;
  }
  .brew-title {
    font-size: 22px;
    font-weight: 700;
    margin-bottom: 15px;
    border-bottom: 2px solid #eee;
    display: inline-block;
    padding-bottom: 4px;
  }
  .brew-step {
    display: flex;
    align-items: center;
    margin-bottom: 18px;
  }
  .brew-step img {
    width: 55px;
    height: auto;
    margin-right: 12px;
  }
  .brew-text {
    font-size: 16px;
    font-weight: 500;
    color: #333;
  }
 
 
 Medium Roast 
 SIGNATURE TASTE | CHOCOLATY | NUTTY 
 A chocolatety, nutty and signature taste blend of roasted Arabica and premium Robustas 
 
 
  100%  Natural 
 
 
   No Preservatives 
 
 
   Nutty Flavor 
 
 
   Medium Roast 
 
 
 
 
 How to Brew 
 
 
 Open 1 ODD Brew Bag 
 
 
 
 Dip it in 500ml of water 
 
 
 
 Steep it in your fridge (12 to 48 hours) 
 
 
 
 Remove the bag and enjoy",https://oddcoffee.in/products/odd-cold-brew-no-equipment-needed-pack-of-5-brew-bags-brews-upto-15-cups,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/Cold_Brew_Pour_Over_Bags.png?v=1766487020,Coffee
