Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Happy Day Grand Aroma Pure Coffee Without Chicory (for Black Coffee/With milk consumers),Pandurange Chikmagalur,1400.0,1kg,,,,,"HAPPY DAY GA PURE COFFEE is for coffee lovers who consume their coffee usually WITHOUT milk & this is best suited for those who prefer black coffee HAPPY DAY Grand Aroma was created as a response to the grand consumer’s desires for a different, more sophisticated and more urban concept of filter coffee experience. Grand Aroma is an exclusive blend of premium quality roasted and ground coffee made from a variety of carefully selected coffee beans grown on the high altitude, sky kissing plantations in India. HAPPY DAY Grand Aroma pure coffee give a rich caramel taste and mouthfeel. For the true connoisseurs, for the beginning of a new day and work, for the admirers of small rituals and for conceptualizing great ideas and for maximum delight - HAPPY DAY Grand Aroma is the right choice!",https://www.pandurangacoffee.com/products/pure-coffee-grand-aroma,https://cdn.shopify.com/s/files/1/0273/1868/1653/files/rn-image_picker_lib_temp_1510dc70-f376-49a9-87ce-4c3b91fddf1c.jpg?v=1779020737,Coffee
Happy Day Grand Aroma Pure Coffee Without Chicory (for Black Coffee/With milk consumers),Pandurange Chikmagalur,700.0,500g,,,,,"HAPPY DAY GA PURE COFFEE is for coffee lovers who consume their coffee usually WITHOUT milk & this is best suited for those who prefer black coffee HAPPY DAY Grand Aroma was created as a response to the grand consumer’s desires for a different, more sophisticated and more urban concept of filter coffee experience. Grand Aroma is an exclusive blend of premium quality roasted and ground coffee made from a variety of carefully selected coffee beans grown on the high altitude, sky kissing plantations in India. HAPPY DAY Grand Aroma pure coffee give a rich caramel taste and mouthfeel. For the true connoisseurs, for the beginning of a new day and work, for the admirers of small rituals and for conceptualizing great ideas and for maximum delight - HAPPY DAY Grand Aroma is the right choice!",https://www.pandurangacoffee.com/products/pure-coffee-grand-aroma,https://cdn.shopify.com/s/files/1/0273/1868/1653/files/rn-image_picker_lib_temp_1510dc70-f376-49a9-87ce-4c3b91fddf1c.jpg?v=1779020737,Coffee
Happy Day Grand Aroma Pure Coffee Without Chicory (for Black Coffee/With milk consumers),Pandurange Chikmagalur,1400.0,1kg,,,,,"HAPPY DAY GA PURE COFFEE is for coffee lovers who consume their coffee usually WITHOUT milk & this is best suited for those who prefer black coffee HAPPY DAY Grand Aroma was created as a response to the grand consumer’s desires for a different, more sophisticated and more urban concept of filter coffee experience. Grand Aroma is an exclusive blend of premium quality roasted and ground coffee made from a variety of carefully selected coffee beans grown on the high altitude, sky kissing plantations in India. HAPPY DAY Grand Aroma pure coffee give a rich caramel taste and mouthfeel. For the true connoisseurs, for the beginning of a new day and work, for the admirers of small rituals and for conceptualizing great ideas and for maximum delight - HAPPY DAY Grand Aroma is the right choice!",https://www.pandurangacoffee.com/products/pure-coffee-grand-aroma,https://cdn.shopify.com/s/files/1/0273/1868/1653/files/rn-image_picker_lib_temp_1510dc70-f376-49a9-87ce-4c3b91fddf1c.jpg?v=1779020737,Coffee
Happy Day Grand Aroma Pure Coffee Without Chicory (for Black Coffee/With milk consumers),Pandurange Chikmagalur,700.0,500g,,,,,"HAPPY DAY GA PURE COFFEE is for coffee lovers who consume their coffee usually WITHOUT milk & this is best suited for those who prefer black coffee HAPPY DAY Grand Aroma was created as a response to the grand consumer’s desires for a different, more sophisticated and more urban concept of filter coffee experience. Grand Aroma is an exclusive blend of premium quality roasted and ground coffee made from a variety of carefully selected coffee beans grown on the high altitude, sky kissing plantations in India. HAPPY DAY Grand Aroma pure coffee give a rich caramel taste and mouthfeel. For the true connoisseurs, for the beginning of a new day and work, for the admirers of small rituals and for conceptualizing great ideas and for maximum delight - HAPPY DAY Grand Aroma is the right choice!",https://www.pandurangacoffee.com/products/pure-coffee-grand-aroma,https://cdn.shopify.com/s/files/1/0273/1868/1653/files/rn-image_picker_lib_temp_1510dc70-f376-49a9-87ce-4c3b91fddf1c.jpg?v=1779020737,Coffee
Mysore Nuggets AAA Pure Coffee Without Chicory (for Black coffee),Pandurange Chikmagalur,1500.0,500g,,,,,Mysore Nuggets is made with Arabica AAA & is for coffee connoisseurs who prefer Black Coffee.   It is 100% Pure Coffee without Chicory in it.,https://www.pandurangacoffee.com/products/mysore-nuggets-aaa-pure-coffee-powder-without-chicory,https://cdn.shopify.com/s/files/1/0273/1868/1653/files/rn-image_picker_lib_temp_af75981e-ad1e-44f7-ac1e-db64c71d6987.jpg?v=1779019855,Coffee
Mysore Nuggets AAA Pure Coffee Without Chicory (for Black coffee),Pandurange Chikmagalur,1500.0,500g,,,,,Mysore Nuggets is made with Arabica AAA & is for coffee connoisseurs who prefer Black Coffee.   It is 100% Pure Coffee without Chicory in it.,https://www.pandurangacoffee.com/products/mysore-nuggets-aaa-pure-coffee-powder-without-chicory,https://cdn.shopify.com/s/files/1/0273/1868/1653/files/rn-image_picker_lib_temp_af75981e-ad1e-44f7-ac1e-db64c71d6987.jpg?v=1779019855,Coffee
Mysore Nuggets AAA Pure Coffee Without Chicory (for Black coffee),Pandurange Chikmagalur,750.0,250g,,,,,Mysore Nuggets is made with Arabica AAA & is for coffee connoisseurs who prefer Black Coffee.   It is 100% Pure Coffee without Chicory in it.,https://www.pandurangacoffee.com/products/mysore-nuggets-aaa-pure-coffee-powder-without-chicory,https://cdn.shopify.com/s/files/1/0273/1868/1653/files/rn-image_picker_lib_temp_af75981e-ad1e-44f7-ac1e-db64c71d6987.jpg?v=1779019855,Coffee
Mysore Nuggets AAA Pure Coffee Without Chicory (for Black coffee),Pandurange Chikmagalur,750.0,500g,,,,,Mysore Nuggets is made with Arabica AAA & is for coffee connoisseurs who prefer Black Coffee.   It is 100% Pure Coffee without Chicory in it.,https://www.pandurangacoffee.com/products/mysore-nuggets-aaa-pure-coffee-powder-without-chicory,https://cdn.shopify.com/s/files/1/0273/1868/1653/files/rn-image_picker_lib_temp_af75981e-ad1e-44f7-ac1e-db64c71d6987.jpg?v=1779019855,Coffee
Mysore Nuggets AAA Pure Coffee Without Chicory (for Black coffee),Pandurange Chikmagalur,1500.0,250g,,,,,Mysore Nuggets is made with Arabica AAA & is for coffee connoisseurs who prefer Black Coffee.   It is 100% Pure Coffee without Chicory in it.,https://www.pandurangacoffee.com/products/mysore-nuggets-aaa-pure-coffee-powder-without-chicory,https://cdn.shopify.com/s/files/1/0273/1868/1653/files/rn-image_picker_lib_temp_af75981e-ad1e-44f7-ac1e-db64c71d6987.jpg?v=1779019855,Coffee
PeaBerry Blend Filter Coffee,Pandurange Chikmagalur,1300.0,1kg,,"Within each cherry on the coffee tree, two beans are grown side by side, resulting in the flat face of most",,,"Most coffee beans are born twins.  Within each cherry on the coffee tree, two beans are grown side by side, resulting in the flat face of most beans.Peaberries, however, occur when only one of the two seeds is fertilized, growing on its own without anything to flatten it. As a result of heir independence, peaberry observes all the goodness.  Many coffee connoisseurs have suggested that each peaberry in infused with all the assets normally reserved for two beans.  These beans are most certainly unique and livelier cup with sweeter and bright taste, so giving special liquoring .",https://www.pandurangacoffee.com/products/peaberry-blend,https://cdn.shopify.com/s/files/1/0273/1868/1653/files/rn-image_picker_lib_temp_8ff4552a-cb1f-4d96-a5b7-86c724da08dd.jpg?v=1779019456,Coffee
