Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL,Image_URL
Aarambol Blend,Siolim,790.0,250g,,"Bursting with bright berry notes, it is rounded by smooth cocoa and the gentle sweetness of brown sugar.","A lively fusion of naturals and washed single-origin coffees, the Aarambol Blend is both bold and expressive. Bursting with bright berry notes, it is rounded by smooth cocoa and the gentle sweetness of brown sugar. Fruity yet comforting, it’s a versatile blend for those who enjoy vibrant, characterful cups.",https://www.siolim.coffee/products/aarambol-blend,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/Aarambol_Blend_New_Corrected.png?v=1762240608
Aarambol Blend,Siolim,1400.0,500g,,"Bursting with bright berry notes, it is rounded by smooth cocoa and the gentle sweetness of brown sugar.","A lively fusion of naturals and washed single-origin coffees, the Aarambol Blend is both bold and expressive. Bursting with bright berry notes, it is rounded by smooth cocoa and the gentle sweetness of brown sugar. Fruity yet comforting, it’s a versatile blend for those who enjoy vibrant, characterful cups.",https://www.siolim.coffee/products/aarambol-blend,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/Aarambol_Blend_New_Corrected.png?v=1762240608
Aarambol Blend,Siolim,2600.0,1000g,,"Bursting with bright berry notes, it is rounded by smooth cocoa and the gentle sweetness of brown sugar.","A lively fusion of naturals and washed single-origin coffees, the Aarambol Blend is both bold and expressive. Bursting with bright berry notes, it is rounded by smooth cocoa and the gentle sweetness of brown sugar. Fruity yet comforting, it’s a versatile blend for those who enjoy vibrant, characterful cups.",https://www.siolim.coffee/products/aarambol-blend,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/Aarambol_Blend_New_Corrected.png?v=1762240608
Anjuna Blend,Siolim,790.0,250g,Medium Roast,"This smooth coffee offers a medium body with a lingering chocolate finish, accented by the sweetness of raisins and the fruity essence of pear.","Anjuna Blend  
 Introducing the Anjuna Blend—your perfect espresso companion. This smooth coffee offers a medium body with a lingering chocolate finish, accented by the sweetness of raisins and the fruity essence of pear. Subtle nutty undertones bring balance, making it versatile whether enjoyed as a straight espresso or in your favorite milk-based beverage.",https://www.siolim.coffee/products/anjuna-blend,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/Anjuna_Blend_New_Corrected.png?v=1762240165
Anjuna Blend,Siolim,1400.0,500g,Medium Roast,"This smooth coffee offers a medium body with a lingering chocolate finish, accented by the sweetness of raisins and the fruity essence of pear.","Anjuna Blend  
 Introducing the Anjuna Blend—your perfect espresso companion. This smooth coffee offers a medium body with a lingering chocolate finish, accented by the sweetness of raisins and the fruity essence of pear. Subtle nutty undertones bring balance, making it versatile whether enjoyed as a straight espresso or in your favorite milk-based beverage.",https://www.siolim.coffee/products/anjuna-blend,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/Anjuna_Blend_New_Corrected.png?v=1762240165
Anjuna Blend,Siolim,2600.0,1000g,Medium Roast,"This smooth coffee offers a medium body with a lingering chocolate finish, accented by the sweetness of raisins and the fruity essence of pear.","Anjuna Blend  
 Introducing the Anjuna Blend—your perfect espresso companion. This smooth coffee offers a medium body with a lingering chocolate finish, accented by the sweetness of raisins and the fruity essence of pear. Subtle nutty undertones bring balance, making it versatile whether enjoyed as a straight espresso or in your favorite milk-based beverage.",https://www.siolim.coffee/products/anjuna-blend,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/Anjuna_Blend_New_Corrected.png?v=1762240165
Awake or Aroused BrewWear,Siolim,,,,,"Colour- Blue 
 Composition- 100% Cotton 
 Fit- Oversized 
  GSM Count - 260GSM  
 Puff &amp; Screen Print",https://www.siolim.coffee/products/awake-or-aroused-tee,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/DSC04320_1.jpg?v=1718867025
Barista Series of 2-WayCup,Siolim,2100.0,80ML,,"Orange / Pink / Purple / Yellow 160 ml Usage: Milk Coffee, Share Portion of Filter Coffee Colour: Milky Orange / Milky Pin","Introducing the Barista Series of 2-WayCup, expertly crafted for coffee shops and enthusiasts of both espresso and milk coffee. 
 This innovative cup features an enhanced shape designed for maximum comfort, ensuring that every sip is a pleasure. 
 With its unique 2-way drinking experience, we elevate the enjoyment of coffee to new heights. But it doesn’t stop there—this series is also ideal for milk-based drinks, allowing baristas to create stunning latte art with ease. 
 Whether you’re savoring a rich espresso or a creamy latte, the Barista Series is designed to meet the needs of all coffee aficionados. 
  Glazing  
 
 Outside: Vertically glazed 50% colored and 50% transparent 
 Inside: 100% transparent glaze 
 
  Materials  
 
 Porcelain 
 
  Capacity   
 
 80 ml
 
 Usage: Single Espresso 
 Colour: Orange / Pink / Purple / Yellow 
 
 
 160 ml
 
 Usage: Milk Coffee, Share Portion of Filter Coffee 
 Colour: Milky Orange /   Milky   Pink /   Milky Purple /   Milky Yellow 
 
 
 240 ml
 
 Usage:   Milk Coffee, Share Portion of Filter Coffee 
 Colour: Milky Orange /   Milky   Pink /   Milky Purple /   Milky Yellow 
 
 
 
  Remarks  
 
 Microwave safe 
 Oven safe 220° max 
 Dishwasher safe 
 Freezer safe      Please note: this product is handmade and may exhibit minor variations, slight dents, glazing irregularities, or other natural imperfections. These characteristics are inherent to handmade items and do not constitute defects.",https://www.siolim.coffee/products/barista-series-of-2-waycup,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/DSC00592.webp?v=1766400585
Barista Series of 2-WayCup,Siolim,2700.0,160ML,,"Orange / Pink / Purple / Yellow 160 ml Usage: Milk Coffee, Share Portion of Filter Coffee Colour: Milky Orange / Milky Pin","Introducing the Barista Series of 2-WayCup, expertly crafted for coffee shops and enthusiasts of both espresso and milk coffee. 
 This innovative cup features an enhanced shape designed for maximum comfort, ensuring that every sip is a pleasure. 
 With its unique 2-way drinking experience, we elevate the enjoyment of coffee to new heights. But it doesn’t stop there—this series is also ideal for milk-based drinks, allowing baristas to create stunning latte art with ease. 
 Whether you’re savoring a rich espresso or a creamy latte, the Barista Series is designed to meet the needs of all coffee aficionados. 
  Glazing  
 
 Outside: Vertically glazed 50% colored and 50% transparent 
 Inside: 100% transparent glaze 
 
  Materials  
 
 Porcelain 
 
  Capacity   
 
 80 ml
 
 Usage: Single Espresso 
 Colour: Orange / Pink / Purple / Yellow 
 
 
 160 ml
 
 Usage: Milk Coffee, Share Portion of Filter Coffee 
 Colour: Milky Orange /   Milky   Pink /   Milky Purple /   Milky Yellow 
 
 
 240 ml
 
 Usage:   Milk Coffee, Share Portion of Filter Coffee 
 Colour: Milky Orange /   Milky   Pink /   Milky Purple /   Milky Yellow 
 
 
 
  Remarks  
 
 Microwave safe 
 Oven safe 220° max 
 Dishwasher safe 
 Freezer safe      Please note: this product is handmade and may exhibit minor variations, slight dents, glazing irregularities, or other natural imperfections. These characteristics are inherent to handmade items and do not constitute defects.",https://www.siolim.coffee/products/barista-series-of-2-waycup,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/DSC00592.webp?v=1766400585
Barista Series of 2-WayCup,Siolim,3100.0,240ML,,"Orange / Pink / Purple / Yellow 160 ml Usage: Milk Coffee, Share Portion of Filter Coffee Colour: Milky Orange / Milky Pin","Introducing the Barista Series of 2-WayCup, expertly crafted for coffee shops and enthusiasts of both espresso and milk coffee. 
 This innovative cup features an enhanced shape designed for maximum comfort, ensuring that every sip is a pleasure. 
 With its unique 2-way drinking experience, we elevate the enjoyment of coffee to new heights. But it doesn’t stop there—this series is also ideal for milk-based drinks, allowing baristas to create stunning latte art with ease. 
 Whether you’re savoring a rich espresso or a creamy latte, the Barista Series is designed to meet the needs of all coffee aficionados. 
  Glazing  
 
 Outside: Vertically glazed 50% colored and 50% transparent 
 Inside: 100% transparent glaze 
 
  Materials  
 
 Porcelain 
 
  Capacity   
 
 80 ml
 
 Usage: Single Espresso 
 Colour: Orange / Pink / Purple / Yellow 
 
 
 160 ml
 
 Usage: Milk Coffee, Share Portion of Filter Coffee 
 Colour: Milky Orange /   Milky   Pink /   Milky Purple /   Milky Yellow 
 
 
 240 ml
 
 Usage:   Milk Coffee, Share Portion of Filter Coffee 
 Colour: Milky Orange /   Milky   Pink /   Milky Purple /   Milky Yellow 
 
 
 
  Remarks  
 
 Microwave safe 
 Oven safe 220° max 
 Dishwasher safe 
 Freezer safe      Please note: this product is handmade and may exhibit minor variations, slight dents, glazing irregularities, or other natural imperfections. These characteristics are inherent to handmade items and do not constitute defects.",https://www.siolim.coffee/products/barista-series-of-2-waycup,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/DSC00592.webp?v=1766400585
Bloom,Siolim,1050.0,200g,Light Roast,"mulberry, mangosteen, and soft florals, creating a cup that feels luminous and layered","Crafted by Ashok Patre at Ratnagiri Estate, Bloom is bright, delicate, and quietly radiant. Lab-processed cherry fermentation brings out refined notes of mulberry, mangosteen, and soft florals, creating a cup that feels luminous and layered. It opens gently with each sip — unfolding like light on petals — expressive yet composed, just like becoming.",https://www.siolim.coffee/products/bloom,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/SOF00832_44b32e54-a636-4b80-89f6-299659604d84.jpg?v=1763275554
Brewed Different BrewWear,Siolim,,,,,"Colour- White 
 Composition- 100% Cotton 
 Fit- Oversized 
  GSM Count - 260GSM  
 Puff &amp; Screen Print",https://www.siolim.coffee/products/brewed-different-tee,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/DSC05451.jpg?v=1718864170
Candolim Blend,Siolim,790.0,250g,,"Nutty undertones meet the smooth sweetness of maple, while a hint of sweet spice adds intrigue.","The Candolim Blend combines washed single-origin coffees with peaberry to create a rich, layered profile. Nutty undertones meet the smooth sweetness of maple, while a hint of sweet spice adds intrigue. Balanced and full-bodied, this blend is well-suited for espresso or slow-brewed cups alike.",https://www.siolim.coffee/products/candolim-blend,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/Candolim_Blend_Corrected.png?v=1762240456
Candolim Blend,Siolim,1400.0,500g,,"Nutty undertones meet the smooth sweetness of maple, while a hint of sweet spice adds intrigue.","The Candolim Blend combines washed single-origin coffees with peaberry to create a rich, layered profile. Nutty undertones meet the smooth sweetness of maple, while a hint of sweet spice adds intrigue. Balanced and full-bodied, this blend is well-suited for espresso or slow-brewed cups alike.",https://www.siolim.coffee/products/candolim-blend,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/Candolim_Blend_Corrected.png?v=1762240456
Candolim Blend,Siolim,2600.0,1000g,,"Nutty undertones meet the smooth sweetness of maple, while a hint of sweet spice adds intrigue.","The Candolim Blend combines washed single-origin coffees with peaberry to create a rich, layered profile. Nutty undertones meet the smooth sweetness of maple, while a hint of sweet spice adds intrigue. Balanced and full-bodied, this blend is well-suited for espresso or slow-brewed cups alike.",https://www.siolim.coffee/products/candolim-blend,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/Candolim_Blend_Corrected.png?v=1762240456
