roaster,name,price,currency,description,product_url,image_url,variants
Black Baza,Anaerobic Naturals,₹810.0,INR,lorem ipsum,https://www.blackbazacoffee.com/products/anaerobic-naturals-two-day-ferment,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/ANO2_Bag_Revised.png?v=1781802400,250g:810.00; 250g:810.00; 250g:810.00; 250g:810.00; 250g:810.00; 250g:810.00; 250g:810.00
Black Baza,Ant Pour Over Set,₹3000.0,INR,"Know the Artist This is a product of collaboration with Zarava, a pottery and ceramic studio based out of Mysore, Karnataka. They handcraft and produce some exceptional tableware! Know the Pour Over This Pour Over set is dense, heavy and wholesome to hold. It truly complements the kind of brew that a pour over produces too – intentional, precise, mild and clean! Being slightly on the giant side of the spectrum, these mugs can be saved for mornings that demand a larger dose of coffee than usual. This charmingly crafted ceramic set is sparsely populated with hand-painted ants. A pleasing addition to your kitchen and coffee counters, the white is sure to bring light and brightness into the space. The Pour Over weights 500g and the mug 400g. They both hold 300 ml of liquid. They are made such that the Hario V-60 paper filters will work but we strongly recommend that you use our handloom cloth filters. Better for the earth! Pour Over grinds range from Medium Fine, Medium to Medium Coarse. If you're using a cloth filter, your drip down time could be faster, so do try a shade finer than you usually would. These are handmade, each pour over is slightly different. Each Pour Over set comes with 2 of our special handloom cloth filters.",https://www.blackbazacoffee.com/products/ceramic-pour-over,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/IMG_0301.jpg?v=1715072100,
Black Baza,Cascara,₹450.0,INR,"Know the Cascara Cascara tastes nothing like coffee! The word, Cascara which can be translated from Spanish to mean ""husk"", is an increasingly popular byproduct of coffee processing. After coffee fruit is picked and pulped, the fruity pulp is dried to produce cascara, also known as dried coffee cherries. Our version is slightly tweaked, it is cascara in its original form, the husk of fruit after both have been dried together. Cascara can be brewed like loose leaf tea, steeped in hot water or as a cold brew. Although it does contain caffeine, it is about a quarter of that of coffee and jampacked with antioxidants. We love coffee but we're nudging you to try a lesser known part of coffee's journey! Know the Grower The Arabica from which this Cascara comes, has been grown by our partner producers in Biligirirangan Hills. This region, BRT as it is fondly known is a magnificent forest with elevational gradients that go from 800 to 1600m! This unique range in altitude enables all major forest types and this in turn produces a magical cup of coffee...and cascara! How to Use You can enjoy both hot and cold brew versions. Here is our recommended recipe: Cascara Tonic: Ingredients: 1 tbsp C ascara 3 cups Water 2 tbsp Jaggery Tonic Water Lime Ice Method: Simmer the Cascara, water and jaggery on medium heat for about 10-15 minutes till the volume is reduced to half. Allow it to cool, strain the mixture, and refrigerate. To make the Cascara Tonic, add ice cubes into a tall glass, pour 90 ml of the Cascara brew, the juice of half a lime and top with tonic water. Garnish with a slice of lime. Developed in partnership with The Locavore & Chef Thomas Zacharias",https://www.blackbazacoffee.com/products/cascara,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/FF_Cascara_fe59300c-8d4e-4d72-854e-f2683acc6028.jpg?v=1748594059,250g:450.00; 500g:880.00
Black Baza,AeroPress Go,₹4750.0,INR,lorem ipsum,https://www.blackbazacoffee.com/products/aeropress-go,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/Web_AEROPRESS-GO-INDIVIDUAL_522111ce-4e30-456c-918f-648a4ee15a88.jpg?v=1759757896,
Black Baza,Frogmouth,₹610.0,INR,lorem ipsum,https://www.blackbazacoffee.com/products/frogmouth,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/Frogmouth_Bag.png?v=1774366865,250g:610.00; 250g:610.00; 250g:610.00; 250g:610.00; 250g:610.00; 250g:610.00; 250g:610.00; 500g:1170.00; 500g:1170.00; 500g:1170.00; 500g:1170.00; 500g:1170.00; 500g:1170.00; 500g:1170.00
Black Baza,From Forest to Cup — Goa Edit,₹0.00,INR,"WHEN 29 March 2026 | Sunday | 11 AM-12:30 PM WHERE Sensible.Earth, Porvorim, Goa WE'RE BRINGING OUR CUPPING TABLE TO Goa! We're so excited to bring our Field Team to Go and host this tasting at Sensible.Earth. Whether you are new to cupping, or a seasoned coffee taster, join us to slow down and discover the magic of biodiversity-friendly coffee farms! STORIES IN A CUP This series brings the forest, farm and field to the city — one table, one tasting, one story at a time. It’s a space to cup, connect, and celebrate the biodiverse landscapes and farming communities that shape our coffee. Without these stories, coffee would just be coffee - no?",https://www.blackbazacoffee.com/products/from-forest-to-cup-goa-edit,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/1_1d7b3e76-b1be-449c-8811-bb02b97a9d2a.png?v=1773899531,
Black Baza,Heavy Lies The Grain,₹350.0,INR,"WHEN 13 March 2026 | 6:00 – 7:00 PM WHERE Black Baza Roastery, Sahakaranagar, Bangalore HEAVY LIES THE GRAIN What does Punjab’s current agricultural landscape reveal about the human and environmental toll of India’s Green Revolution? While the program saved millions from hunger, decades of chemical-intensive monocropping have left fractured soils, depleted water systems, and taken a heavy toll on farmers’ lives. Since 2016, photojournalist Harsha Vadlamani has been travelling across Punjab, documenting the Green Revolution’s complex legacy. Join us as he showcases his photographs and reflects on the many layers of contemporary Punjab. LIVING RESPONSIBLY ON THE PLANET Through conversations, collaborations, and community engagements, we explore what it means to tread lighter and live consciously in a warming, changing world. These gatherings are as much about our own learning as sharing ideas — an invitation to reflect, question, and figure things out together. If you’re curious, join us.",https://www.blackbazacoffee.com/products/heavy-lies-the-grain,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/1_de20a01f-d18e-49cd-976e-6dfae400d1c9.png?v=1772864273,
Black Baza,Getting Roasted in Bangalore,₹350.0,INR,"WHEN 6 March 2026 | 6:00 – 7:00 PM WHERE Black Baza Roastery, Sahakaranagar, Bangalore GETTING ROASTED IN BANGALORE Bangalore's climate is cited as one of the cities greatest benefits, but does that climate even exist anymore? Over the last couple of years, Ujjvala and Manan zeroed in on one neighbourhood to understand how Bangalore's neighbourhoods are feeling the heat, and how its citizens are coping with it. They broadened their work to include participatory methods and collected cooling solutions that might work for the city. Join them as they take you through what they found. LIVING RESPONSIBLY ON THE PLANET Through conversations, collaborations, and community engagements, we explore what it means to tread lighter and live consciously in a warming, changing world. These gatherings are as much about our own learning as sharing ideas — an invitation to reflect, question, and figure things out together. If you’re curious, join us.",https://www.blackbazacoffee.com/products/getting-roasted-in-bangalore,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/1_a96707ff-aa24-4577-9c14-82704835b348.png?v=1772184291,
Black Baza,Kaati,₹610.0,INR,lorem ipsum,https://www.blackbazacoffee.com/products/kaati,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/Coffee_Kaati_Main.png?v=1745069316,250g:610.00; 250g:610.00; 250g:610.00; 250g:610.00; 250g:610.00; 250g:610.00; 250g:610.00; 500g:1170.00; 500g:1170.00; 500g:1170.00; 500g:1170.00; 500g:1170.00; 500g:1170.00; 500g:1170.00
Black Baza,"From Forest to Cup — Four Origins, Six Coffees",₹350.0,INR,"WHEN 14 February 2026 | 11 AM-12:30 PM WHERE Black Baza Roastery, Sahakaranagar, Bangalore FOUR ORIGINS, SIX COFFEES, COUNTLESS STORIES! We're so excited to bring to the cupping table coffees from incredible landscapes — from the Western Ghats all the way to the Northwest Nile region of Uganda! Whether you are new to cupping, or a seasoned coffee taster, join us to slow down and discover the magic of biodiversity-friendly coffee farms! STORIES IN A CUP This series brings the forest, farm and field to the city — one table, one tasting, one story at a time. It’s a space to cup, connect, and celebrate the biodiverse landscapes and farming communities that shape our coffee. Without these stories, coffee would just be coffee — no?",https://www.blackbazacoffee.com/products/from-forest-to-cup-four-origins-six-coffees,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/Four_Origins1.png?v=1770388574,
