roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
Bloom Coffee,Venkids Valley Estate - The Red Honey - Light Roast,Rs. 800.00,INR,"Elevation: 1000 MASL  
  Variety: Catuai  
  Processing: Red Honey  
  Roast: Light  
  Producers: Mr Pavan Nanjappa  
    Tasting notes: Mango, Hibiscus and Butterscotch  
  We along with so many others have swooned for two seasons over the incredible Yellow Honey that Pavan produces every year. This year, the team at the Venkids Valley Estate decided to take their Catuai a step further, from a Yellow Honey process to a Red Honey process and take our word for it, this is an exceptional coffee. With the new process, the coffee has become slightly sweeter with more intense flavours and a richer mouthfeel.  
  We have roasted this pretty lightly to let the coffee, and the process really shine through and take the centre stage. With sweet notes of Mango, rich butterscotch and delicate hints of Hibiscus this coffee makes an incredible filter coffee that we're sure you'll absolutely enjoy!",https://bloomcoffeeroasters.in/products/venkids-valley-estate-the-red-honey,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/redhoney_front.png?v=1664806774,250gms:800.00,
Bloom Coffee,Pulney Coffee (Washed) - Pulney Hills - Medium Roast,Rs. 675.00,INR,"Farm: Laks Farm, Pachalur Village 
 Planter: Mr. H.R. Iyer 
 Elevation: 4920 ft. 
 Variety: Chandragiri and SL9 
 Processing: Washed 
 Roast: Medium 
 Tasting notes: Citrus Fruits, Cherries, and Nuts 
 Originating from one of the highest growing regions in Tamil Nadu, these coffees are dense and have a beautiful aftertaste because of the high growing Region. The Laks farm is completely organic and devoid of any chemical pesticides and fertilisers. The coffees are intercropped with oranges, cardamom, pepper and banana. The beans of the highest brix are identified (colour coded bands are given to workers at the estate to pick the cherries). They are sorted for defects twice before using the penagos washer + pulper. Floats are removed and the coffee beans with little bit of mucilage are dried on raised beds. They are exposed to the morning sun for the first two days and then completely dried in shade for a period of 20-25 days. 
 Mr. Iyer is without doubt one of the sweetest and most earnest people we have encountered in coffee and with passion and efforts of Viggnesh in processing, this coffee was one of the best washed coffees we tasted this year! This medium roast has sweet notes of Cherry, and Nuts with a mild Citrus Acidity, and works really well both black and with milk, as a filter or an an espresso!",https://bloomcoffeeroasters.in/products/pulney-coffee-washed-pulney-hills-medium-roast,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/pulney_washed.png?v=1653996583,1kg:2100.00; 250 gms:675.00,
Bloom Coffee,Venkids Valley Estate (Washed) – Coorg - Medium Dark Roast,Rs. 600.00,INR,"Elevation: 3600 ft. 
 Varietal: SLN6 
 Processing: Washed 
 Roast: Medium 
 Tasting notes: Mexican chocolate, Caramel, and Orange Zest 
 A short, scenic drive from Madikeri, past a rivulet or two, leads you to the charming “Papakuchi Coffee” by Venkids Valley Estate, where you are welcomed by Pavan and his wife Shilpa. The estate spreads across 200 acres, and is divided into “Patte” or fields, named aptly by the workers. Imagine being able to spot the exact patch of land your coffee was grown on. Yes, that’s the level of traceability Pavan is able to achieve at this estate. 
 This SLN6, grown in the “Kenjipatte” is roasted to slightly darker than a medium (some might even call it a medium) to really enhance the syrupy body and the notes of caramel which are offset by the a splash of orange zest. Pretty great for filters, great for espresso! 
 Pick you grind and brew away!",https://bloomcoffeeroasters.in/products/venkids-valley-estate-medium-dark,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/venkidsvalleywashedfront.png?v=1652961626,1kg:2000.00; 250 gms:600.00,
Bloom Coffee,Papakuchi Coffee (Washed) - Coorg (Light Roast),Rs. 650.00,INR,"Elevation: 3600 ft. 
 Varietal: SLN6 
 Processing: Washed 
 Roast: Light 
 Tasting notes: Malt, Red Apple, Pomegranate Juice 
  For those who know, Pavan and Shilpa Nanjappa's magnificent coffee estate, The Venkids Valley Estate, goes by the name of “Papakuchi Coffee”. As we all know by now, they grow some super duper delicious Arabicas as well as Robustas that have received so much love from everyone who has had them over the last year.   
  When we got this year’s washed Arabica and did our profiling process we realised that this coffee had somehow become sweeter and even more yummy than the year before, and to our sheer joy it really stood out as a light roast!! With sweet notes of Red Apple and Pomegranate juice, a subtle acidity, and a pretty rich body this light roast is a great addition filter coffee lover. The best part, this coffee will be available throughout the year, and if we have it our way, forever and ever!",https://bloomcoffeeroasters.in/products/papkuchi-coffee-washed-coorg-light-roast,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/Untitled-1.png?v=1634621638,1kg:2000.00; 250 gms:650.00,
Bloom Coffee,Salawara Estate – Chikmaglur - Dark Roast,Rs. 650.00,INR,"Tasting Notes: Caramel, milk chocolate, subtle hints of citrus 
 Elevation: 3130 ft. 
 Varietal: 
 Processing: Washed 
 Roast: Dark 
 Spread across 400 acres in the fabled hills of Chikmaglur, the Salawara estate was started in 1880, and produces some delicious Arabicas and Robustas that have won various awards in India and abroad. This washed arabica grown at 3130 ft. tastes of the rich terroir of the estate, dotted with exotic herbs and spices that are grown alongside the coffee. The coffee is roasted darker than our medium to bring out more of the delicious milk chocolate",https://bloomcoffeeroasters.in/products/salawara-estate-dark-roast,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/salawarapng.png?v=1652961538,1kg:2000.00; 250 gms:650.00,
Bloom Coffee,Vin Van Gogh - Medium Roast,Rs. 600.00,INR,"Elevation: 3200-4250 ft. 
 Varietal: SL6, Sln9, Sln5B 
 Planters: Pavan Najappa and Navin Rajes 
 Processing: Washed 
 Roast: Medium dark 
 Tasting notes: Berries, almonds, and spiced Chocolate 
 The origin of this blend goes a fair way back to when Pavan (Venkids Valley Estate) and Navin (Moganad Estate) were schoolmates and were busy making plans for the world domination of Indian speciality coffee! Little did they know then, that the catalyst for this would be small roastery out of Chandigarh, of all the places who would put their two phenomenal washed arabicas together in a top secret ratio, name it after the one of the greatest painters of all time, which is also a word play on their names, and make it the most the delicious, versatile blend to have ever come out of the greater Chandigarh region! Pavan and Navin still remain very tight, and share flights, coffees, jokes, and the roasters they choose to work with! Thankfully, they both agreed to partner with us, which in turn enabled us to come up with this super tasty, bright like a Red Vineyard, over The Cafe Terrace at night, lit up by The Starry Night 
 All stories aside our Vin Van Gogh is our answer to a coffee blend that does everything very very well! It makes a great fruity filter coffee, as well the perfect espresso to have as it is, or a lovely fluffy cappuccino! Pick the grind of your choice, and bask in the glory of Vin’s and Van’s artistry!",https://bloomcoffeeroasters.in/products/vin-van-gogh,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/vinvangogh_2b37bffa-6eae-413e-a60f-ee1f3109df4d.png?v=1652961696,1Kg:2000.00; 250 gms:600.00,
Bloom Coffee,Kenny Ji - The Cold Brew Blend,Rs. 575.00,INR,"Bright | Smooth | Easy  
 “You don’t have to wait” any longer for the bloom coffee roasters cold brew blend. “The Promise” that this holds is that, be it in “The Morning” or “In The Rain” or at the “End of The Night” you will “Forever Be In Love” with the smooth silky “Silhouette” of this delicious coffee. From “The Moment” you’ll have your first sip “By The Time It’s Over”, it’ll leave you “Breathless” and wanting more.  
 Made from a top secret blend coffees, specially roasted for cold brew. It is so smooth that you might even find yourself listening to Kenny G’s greatest hits …hit the sax!",https://bloomcoffeeroasters.in/products/kenny-ji-the-cold-brew-blend,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/coldbrewkennyjifront.png?v=1652961361,1kg:2300.00; 250gms:575.00,
Bloom Coffee,Ro-Busta Rhymes - Dark Roast,Rs. 500.00,INR,"Elevation: 3300 ft. – 4500ft. 
 Varietal: Arabica S795, Robusta 
 Planters: Navin Rajes, and Pavan Nanjappa 
 Processing: Washed Arabica and Naturals Robusta 
 Roast: Medium Dark 
 This blend features the lovely washed arabica from the Moganad Estate, and the natural processed robusta from the Venkids Valley Estate. But beware, if you’re expecting a bitter, boring blend, this will let you down! Ro-Busta Rhymes is a super duper tasty blend that really brings the best out both species of the coffees, but what’s really interesting is that acidity and the sweetness in this blend comes a great deal from the Robusta! We recommend you try this blend black just to really get a feel of what the robusta brings to it!",https://bloomcoffeeroasters.in/products/ro-busta-rhymes-medium-dark-roast,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/robustarimes.png?v=1652961492,1 kg:1800.00; 250 gms:500.00,
Bloom Coffee,Satchmo - Dark Roast,Rs. 525.00,INR,"Elevation: 3200-3400 ft. 
 Varietal: SL6 &amp; SL9 
 Planters: Pavan Nanjappa &amp; Sharan Gowda 
 Processing: Washed 
 Roast: Medium Dark 
 Tasting notes: Chocolate, Dark Caramel, and hints of Citrus 
 Chocolate, Dark Caramel and hints of citrus, sounds to us like one of the magnificent trumpet solos of the one the only Louis Armstrong! For us, Louis Armstrong a.k.a. Satchmo is the epitome of balance, with a voice that can go from a deep, rich gravel to almost fragile falsettos. Every moment of every song is filled with gorgeous melody, depth and genius improvisations! 
 “Satchmo” the blend, just like it’s muse, has pitch perfect sweetness, a deep body that swells like a crescendo, and a subtle “Vibratoesque” citrus acidity. A coffee that goes not toe to toe, but “Cheek to Cheek” with all accompaniments. The blend is on the darker side of a medium, and has the richness of chocolate and dark caramel, and a raspy acidity that can cut through whatever you throw at it, yes we’re looking at you milk and sugar. Satchmo makes the perfect espressos, moka pots, french presses, south indian filters, and what not, to get you a coffee that’ll make you see sit across and think “What a Wonderful World”",https://bloomcoffeeroasters.in/products/satchmo-dark-roast,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/satchmo.png?v=1652961583,1 Kg:2100.00; 250 gms:525.00,
Bloom Coffee,BCR Custom Sample Pack of 3,Rs. 600.00,INR,"Can't quite make up your mind about which our delicious coffees would be your idea? Commitment phobic?? Don't worry about it, let us help you out! Choose three coffees you think you'll like, and the grind size you need, and we'll send 75 gram samples of those coffees to help you pick your one or maybe even two true loves!  
  This sample pack includes all our medium, medium dark and dark roasts, but not the light roasts.  Click here  to check out the Light Roast Sampler.",https://bloomcoffeeroasters.in/products/bcr-custom-sample-pack-of-3,https://cdn.shopify.com/s/files/1/0550/0082/6042/products/3samplebags.png?v=1623135207,:600.00,
