roaster,name,price,currency,description,product_url,image_url,variants
Coffee Mechanics,Hokkaido Bread Loaf - 900 gms,₹240.0,INR,,https://www.coffeemechanics.co.in/products/hokkaido-bread-loaf,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/5.png?v=1757660482,
Coffee Mechanics,Brioche Bread Loaf,₹240.0,INR,Buttery and golden with a tender crumb. Ideal for French toast or indulgent sandwiches.,https://www.coffeemechanics.co.in/products/brioche-bread-loaf,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/4.png?v=1757660453,
Coffee Mechanics,Seeds Bagels - Pack of 3,₹150.0,INR,"Boiled and baked the traditional way: Chewy, Dense, and Perfect with cream cheese.",https://www.coffeemechanics.co.in/products/seeds-bagels,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/2_df74948b-789c-4018-a30c-257e7183ab24.png?v=1757660348,
Coffee Mechanics,Foccacia - Pack of 2 (300g),₹180.0,INR,"Olive oil-rich, airy, and herb-studded. A classic Italian bake, great as is or dipped.",https://www.coffeemechanics.co.in/products/foccacia,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/1_e9acd98b-d8e1-4472-ba80-69a7d1d0af90.png?v=1757660381,
Coffee Mechanics,Burger Buns - Pack of 4,₹140.0,INR,"Fluffy yet structured, with just the right toast. Built to hold your juiciest burgers.",https://www.coffeemechanics.co.in/products/burger-buns,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/3.png?v=1757660290,
Coffee Mechanics,Cinnabon - Set of 2,₹180.0,INR,,https://www.coffeemechanics.co.in/products/cinnabon-set-of-2,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/10.png?v=1757734310,
Coffee Mechanics,Banana Bread Loaf - Vegan,₹275.0,INR,,https://www.coffeemechanics.co.in/products/banana-bread-loaf-vegan,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/11.png?v=1757734216,
Coffee Mechanics,Chocolate Brownie - Set of 2,₹400.0,INR,,https://www.coffeemechanics.co.in/products/chocolate-brownie-set-of-2,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/13.png?v=1757734460,
Coffee Mechanics,Orange Lemon Cake - 300g,₹350.0,INR,,https://www.coffeemechanics.co.in/products/orange-lemon-cake-130g,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/12.png?v=1757734187,
Coffee Mechanics,Srilakshmi Estate,₹600.0,INR,"Region: Chikkamagaluru Altitude: 4000 ft asl Charactersitics of coffee: Highly Aromatic, Lingering after taste, Light Body Roast Type: American Roast Tasting Notes: Goose Berries, Dark Chocolate, Caramel",https://www.coffeemechanics.co.in/products/srilakshmi-estate,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/3.png?v=1594910293,250g:600.00; 1kg:2200.00; 250g:600.00; 1kg:2200.00; 250g:600.00; 1kg:2200.00; 250g:600.00; 1kg:2200.00; 250g:600.00; 1kg:2200.00; 250g:600.00; 1kg:2200.00; 250g:600.00; 1kg:2200.00; 250g:600.00; 1kg:2200.00; 250g:600.00; 1kg:2200.00; 250g:600.00; 1kg:2200.00; 250g:600.00; 1kg:2200.00; 250g:600.00; 1kg:2200.00
