roaster,name,price,currency,description,product_url,image_url,variants
Curious Life,"Shyira, RWANDA – Filter Roast (Whole Beans Only)","₹ 1,780",₹,"Aromatics – Fresh Jaggery, Plum, Caramel Body – Medium, Honey-like Brightness – Ripe gooseberries, Orange, Candy Best to be enjoyed black on Conical filter/ Aeropress",https://curiouslifecoffee.com/product/__trashed-4__trashed/,https://curiouslifecoffee.com/wp-content/uploads/2022/04/E0E78363-1875-44FE-92EB-1D93573A3F59.jpg,
Curious Life,AeroPress Coffee Maker,"₹ 4,400",₹,Lorem Ipsum,https://curiouslifecoffee.com/product/aeropress-coffee-maker/,https://curiouslifecoffee.com/wp-content/uploads/2021/10/AeroPress-Original-set-red-800x800-1.jpeg,
Curious Life,"BISON, House Blend Espresso",,,WILD BERRIES / CACAO & CHOCOLATE / TROPICAL SPICES,https://curiouslifecoffee.com/product/bison-house-blend-2/,https://curiouslifecoffee.com/wp-content/uploads/2022/08/Bison.png,1000g; 250g
Curious Life,Hario V60 Dripper 01 RED,₹ 490,₹,This Hario V60 is a plastic cone pour-over brewer which has been specially designed to produce an evenly brewed cup of coffee. Perfect for single cup brewing. Pour-over brewing method allows you to brew the coffee directly into the cup or server.,https://curiouslifecoffee.com/product/cafe-press-slim/,https://curiouslifecoffee.com/wp-content/uploads/2019/07/VD-01R.jpg,
Curious Life,Gachatha AA Espresso KENYA (Whole Beans Only),"₹ 2,300",₹,SWEET AROMATICS/ BLACK CURRANTS / ORANGE RIND,https://curiouslifecoffee.com/product/gachatha-aa-espresso-kenya/,https://curiouslifecoffee.com/wp-content/uploads/2023/09/so_kenya_1.jpg,
Curious Life,Gundikhan Natural Lot 15 & 57 – Filter,₹ 950,₹,"Aromatics – Mild rum, Apples, Prunes Body – Medium-light Brightness – Apple, Guava, Sweet citrus Best to be enjoyed black on Conical filter/ Aeropress",https://curiouslifecoffee.com/product/gundikhan-natural-lot-272-filter/,https://curiouslifecoffee.com/wp-content/uploads/2024/08/IMG_8471-1.jpg,
Curious Life,Gundikhan Washed Lot 799 – Filter,₹ 990,₹,"Aromatics – Black Tea, Tropical Spices Body – Medium Brightness – Candied Tangerines Best to be enjoyed black on Conical filter/ Aeropress",https://curiouslifecoffee.com/product/gundikhan-washed-lot-799-filter/,https://curiouslifecoffee.com/wp-content/uploads/2026/01/IMG_2563-4-2.jpg,
Curious Life,Honnametti Estate – Washed Espresso,,,COCOA/ BLACK TEA/ SWEET FRUITS/ SPICES,https://curiouslifecoffee.com/product/honnamatti-estate-washed-espresso/,https://curiouslifecoffee.com/wp-content/uploads/2021/10/Honnametti.jpg,1000g; 250g
Curious Life,Fine Porcelain Coffee Mug 300ml,₹ 320,₹,Deep Sky Blue (Ivory Inside) Porcelain 300 ml Limited edition Durable,https://curiouslifecoffee.com/product/pair-of-coffee-mugs/,https://curiouslifecoffee.com/wp-content/uploads/2019/07/FullSizeRender-3.jpg,
Curious Life,"Shyira, RWANDA – Espresso (Whole Beans Only)",,,"Aromatics – Blackberry, Caramel, Sugarcane Body – Syrupy, Honey-like Brightness – Stone fruits, Candy Recommended for you if you like slightly darker roasts/ enjoy espressos/ or like your coffee with a dash of milk.",https://curiouslifecoffee.com/product/rwanda-shyira-espresso/,https://curiouslifecoffee.com/wp-content/uploads/2022/04/43337631-9ABC-4A5E-807E-78A828766BB4.jpg,1000g; 250g
Curious Life,"Gachatha AA Filter, KENYA (Whole Beans Only)","₹ 2,300",₹,SWEET FLORAL/ BLACK CURRANTS / SYRUPY CLEAN FINISH,https://curiouslifecoffee.com/product/single-origin-kenya-filter/,https://curiouslifecoffee.com/wp-content/uploads/2023/09/so_kenya_1.jpg,
