roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
El Bueno,El Perfecto,From: ₹ 660,₹,"80-20 blendTasting Notes– Hints of roasted almonds and Cocoa, with a slight fruity note.",https://elbuenocoffee.com/product/el-perfecto/,https://elbuenocoffee.com/wp-content/uploads/2025/02/El-Perfecto.png,250g; 500g,
El Bueno,Choc Out Loud,From: ₹ 840,₹,"Single Estate, 100% ArabicaProducers Name– Susheel & Sharan S GyanchandRegion– Malavalli, KarnatakaEstate Name– Bisal MuntiBlock– Line PatteVarietal– HemavathiElevation– 650 MASLProcessing– Arabica NaturalTypes of Coffee– Arabica – ChandragiriTasting notes– Dark Chocolate, Dried Figs, Toasted HazelnutProcess– The cherries are sun-dried over 14–21 days, depending on weather conditions. During this time, natural fermentation takes place within the fruit, breaking down sugars and creating a unique flavor profile.",https://elbuenocoffee.com/product/choc-out-loud/,https://elbuenocoffee.com/wp-content/uploads/2025/08/Choc-Out-Loud.png,250g; 500g,
El Bueno,Hello Monday!,From: ₹ 720,₹,100% Arabica blendTasting Notes– Sweet and citrus notes with floral hints.,https://elbuenocoffee.com/product/hello-monday/,https://elbuenocoffee.com/wp-content/uploads/2025/02/Hello-Monday.png,250g; 500g,
El Bueno,The Weekend,From: ₹ 780,₹,100% Arabica blend – with ColumbiaTasting Notes– Notes of milk chocolate and very soft acidity,https://elbuenocoffee.com/product/the-weekend/,https://elbuenocoffee.com/wp-content/uploads/2025/02/The-Weekend.png,250g; 500g,
El Bueno,Golden Glow,From: ₹ 880,₹,"Single Estate, 100% ArabicaRegion– KarnatakaEstate Name– Ratnagirti EstateProducer– Mr. Ashok PatreVarietal–Altitude– 4350 FeetProcessing– Washed ArabicaTasting Notes– Plum, hints of caramel and Green Apple aftertaste",https://elbuenocoffee.com/product/golden-glow/,https://elbuenocoffee.com/wp-content/uploads/2025/02/Golden-Glow.png,250g; 500g,
El Bueno,Pourin’ Plums,From: ₹ 840,₹,"Purple HoneySingle Estate, 100% ArabicaRegion– Baba BudangiriEstate Name– Gungegiri EstateVarietal– SLN 795Altitude– 1300-1380 MASLProcessing– Sucrose Fermentation/ Honey Sun-DriedTasting notes– Citrus Zest, Ripe Plums, Mild ChocolateFermentation– Once pulped, the coffees are fermented anaerobically for 27 hours. Post this, they are heaped initially and then slow-dried on raised beds for 20 days.",https://elbuenocoffee.com/product/pourin-plums/,https://elbuenocoffee.com/wp-content/uploads/2025/06/Pourin-Plums.png,250g; 500g,
El Bueno,Sampler Pack,₹ 790,₹,This sampler pack includes 3 × 75g coffee packs (total 225g).,https://elbuenocoffee.com/product/sampler-pack/,https://elbuenocoffee.com/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-29-at-19.36.12_debb59be.jpg,,
El Bueno,Whisk it up!,From: ₹ 960,₹,"Whiskey Barrel AgedSingle Estate, 100% ArabicaRegion– SakleshpurEstate Name– Harley EstateVarietal– SLN 9Altitude– 3400ftProcessing– Washed barrel agedTasting notes– Green apple, Irish cream, and Tropical Fruits",https://elbuenocoffee.com/product/whisk-it-up/,https://elbuenocoffee.com/wp-content/uploads/2025/07/Whisk-it-up.png,250g; 500g,
El Bueno,Cacao Me Crazy!,From: ₹ 880,₹,"Single Estate, 100% RobustaRegion– Baba BudangiriEstate Name– Ratnagiri EstateBlock– Line PatteVarietal– HemavathiAltitude– 4035 ftProcessing– Robusta Mosto Process NaturalsTasting notes– Dark Cacao, Raisin, Molasses sweetnessFermentation– IN CHERRY FEREMNTATION FOR 36 HOURS WITH INOCULATED WITH LAB MICROBES WITH VACUUM IMPREGNATION PROCESS AND DRIED ON RAISED BEDS FOR 26 DAYS",https://elbuenocoffee.com/product/cacao-me-crazy/,https://elbuenocoffee.com/wp-content/uploads/2025/08/Cacao-Me-Crazy.png,250g; 500g,
El Bueno,Bean There,From: ₹ 640,₹,"Arabica and Robusta BlendTasting Notes– Prunes, Caramel and Dark Chocolate",https://elbuenocoffee.com/product/bean-there/,https://elbuenocoffee.com/wp-content/uploads/2025/07/Bean-There-Updated.jpg,250g; 500g,
