roaster,name,price,currency,description,product_url,image_url,variants
Home Blend,Japanese Matcha - Ceremonial Grade,₹1150.0,INR,"Japanese Matcha Premium Grade – Ceremonial Quality from Uji, Kyoto Experience matcha the way it’s meant to be enjoyed. Our Japanese Matcha Premium Grade is sourced directly from Shizuoka & Uji,Japan —the legendary birthplace of Japanese matcha and home to the world’s most skilled tea artisans. Shade-grown, stone-ground, and harvested from the first flush of the youngest tea leaves , this matcha delivers exceptional purity, flavour, and nutritional value. Why This Matcha Is Exceptional ✓ Authentic Shizuoka & Uji Origin – One of Japan’s most prized tea-growing regions, renowned for its rich soil, ideal climate, and centuries of tea-craft mastery. ✓ Ceremonial Grade Quality – Vibrant jade-green colour, ultra-fine texture, and a naturally sweet aroma—perfect for traditional whisking or premium sipping. ✓ Smooth, Creamy & Umami-Rich Taste – Expect a silky mouthfeel with notes of sweetness, deep umami, grassy freshness, and very low bitterness. ✓ Stone-Ground for Maximum Freshness – Traditional granite millstones preserve nutrients, flavor compounds, and antioxidants. ✓ High in Antioxidants & L-Theanine – Supports calm focus, sustained energy, and overall well-being without the crash of coffee.",https://homeblendcoffee.com/products/japanese-matcha-ceremonial-grade,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/Untitleddesign_60.png?v=1763631594,50g:1150.00; 100g:2200.00
Home Blend,Japanese Matcha - Premium Grade,₹600.0,INR,"Enjoy the perfect balance of quality and versatility with our Premium Grade Japanese Matcha . Sourced directly from Shizuoka & Uji, one of Japan’s most prestigious tea regions, this matcha is made from shade-grown tea leaves carefully stone-ground for freshness, flavour, and rich nutrients. Designed for daily drinking , this grade offers a smooth, pleasantly vegetal profile with a touch of bitterness—making it ideal for matcha lattes, smoothies, baking, and mixed beverages , while still being refined enough to whisk and sip. Flavour Profile Smooth with mild sweetness Fresh vegetal notes Light umami Slight pleasant bitterness Balanced & versatile Why You’ll Love It ✔ Premium Grade J2 – one grade below ceremonial ✔ Perfect for lattes , smoothies , iced matcha , and recipes ✔ Great flavour with a vibrant green colour ✔ More robust taste—ideal when mixed with milk ✔ High in antioxidants & natural energy boosters ✔ Stone-ground in Shizuoka & Uji, Japan How to Use Use 1 teaspoon (2g) for lattes and smoothies. Whisk with water at 70–80°C or blend into any drink or recipe for a clean, energising boost. Bring café-quality matcha home, every day.",https://homeblendcoffee.com/products/japanese-matcha-premium,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/Home_Blend_Japanese_Matcha_Premium_Grade100g.png?v=1763628811,50g:600.00; 100g:1150.00
Home Blend,Ethiopian Yirgacheffe Grade 1 Idido,₹1100.0,INR,"Yirgacheffe Grade 1 Idido Ethiopian Specialty Arabica Coffee Beans 250g Ethiopian Yirgacheffe Grade 1 – Idido is a floral masterpiece. Grown at high elevations in the Gedeo Zone and washed for clarity, this coffee delivers delicate jasmine, bergamot, and lemon zest notes with a silky tea-like body and crisp acidity. Best brewed as a pour-over or Chemex, it's a favorite for black coffee lovers seeking refined and elegant cups. Region: Yirgacheffe, Gedeo Zone, Ethiopia Elevation: ~ 1,900–2,100 masl Processing: Washed (Grade 1) Varietals: Heirloom Ethiopian landraces Roast Recommendation : Light to Light-Medium Cup Style: Delicate, floral, and tea-like – a clean, elegant cup with bright citrus-laced acidity, silky mouthfeel, and lingering floral aftertaste. This is a quintessential washed Ethiopian profile: refined, layered, and complex , ideal for slow sips and aroma appreciation.",https://homeblendcoffee.com/products/ethiopian-yirgacheffe,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/Home_Blend_Coffee_Roasters_Ethiopian_Yirgacheffe_Grade_1_Idido.jpg?v=1754429793,150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00
Home Blend,La Pastora Costa Rica,₹1100.0,INR,"La Pastora Costa Rican Specialty Arabica Coffee Beans 250g A High-Grown Central American Arabica Known For Its R efined Acidity , F loral-Citrus Brightness , and S weet Balance — Often Sought After By Specialty Coffee Enthusiasts Around The World. Region: Tarrazú, Costa Rica Estate: La Pastora (CoopeTarrazú) Elevation: ~1,400–1,900 masl Processing: Washed (classic Tarrazú profile), but sometimes honey/natural for microlots Varietals: Caturra, Catuai Roast Recommendation: Light to medium for optimal expression of acidity and florals Cup Style: Bright, elegant, clean, and juicy — a classic washed Central American profile",https://homeblendcoffee.com/products/la-pastora-costa-rica,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/Home_Blend_Coffee_Roasters_La_Pastora_Costa_Rica.jpg?v=1754425156,150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 150g:1100.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 250g:1850.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00; 1kg:7400.00
Home Blend,Italian Roast - Aluminium Coffee Pods / Capsules  - Pack of 10,₹450.0,INR,"Italian Roast (Extra Dark Roast) 100% Arabica - Aluminium Coffee Capsules Coffee Pods / Capsules Intense & Contrasting Roast Level : Italian or Extra Dark (Well Beyond 2nd Crack) Intensity : 10 Suited For : Macchiato & Cappuccino Tasting Notes : Heavy body, Cocoa, Oaky, Bitter Sweet Altitude : 1000-1100M Processing : Washed Location : Coorg & Chikmagalur Bold & dark, our Italian Roast is best suited for Cappuccinos, where milk compliments a rich and intense roast, adding texture and bold character to the beverage The coffee supplies plentiful crema and helps produce thick, dark espresso shots and is our favourite choice for a strong Cappuccino Disclaimer: “www.homeblendcoffee.com is not affiliated with, endorsed or sponsored by Nespresso. Nespresso® is a registered trademark of Société des Produits Nestlé S.A.”",https://homeblendcoffee.com/products/coffee-pods-capsules-italian-roast,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/ItalianRoast-CoffeePodsCapsuleNespressoCompatibleHomeBlendCoffeeRoasters.png?v=1734032209,
Home Blend,Monsooned Malabar AA - Aluminium Coffee Pods / Capsules - Pack of 10,₹450.0,INR,"Monsooned Malabar (Medium Dark Roast) 100% Arabica - Nespresso® Compatible Coffee Pods / Capsules Nutty & Distinctive Roast Leve l: Medium Dark Intensity : 7 - 8 Suited For : Espresso, Lungo, Americano, Macchiato & Balanced Cappuccino Tasting Notes : Nutty, Mellow, Pleasant, Earthy with a Heavy body & Low acidity Altitude : 1100-1500M Location : Malabar Coast Processing: Processed naturally with monsoon rains, the bean is swollen, yellow & only a small quantity is harvested each year We think this coffee is suited for all brews where the bean’s distinctive flavour rewards consistency and uniformity.“Salted caramel in a cup,” is how espresso legend David Schomer describes the bean he served to rave reviews during the 2018 SCA Expo Disclaimer: “www.homeblendcoffee.com is not affiliated with, endorsed or sponsored by Nespresso. Nespresso® is a registered trademark of Société des Produits Nestlé S.A.”",https://homeblendcoffee.com/products/coffee-pods-capsules-monsooned-malabar,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/MonsoonedMalabar-CoffeePodsCapsuleNespressoCompatibleHomeBlendCoffeeRoasters.png?v=1734032035,
Home Blend,Mysore Nuggets - Aluminium Coffee Pods / Capsules - Pack of 10,₹450.0,INR,"Mysore Nuggets Extra Bold - Coffee Pods & Capsules Nespresso® Compatible - 10 Pack Fruity with Fine Acidity Roast Level : Medium Intensity : 5 - 6 Suited For : Ristretto, Espresso, Lungo & Americano Tasting Notes : High Acidity, Fruity Notes, Slight Spiciness, Smooth, Buttery with a Mocha Overtone Altitude : 1100-1500M Processing : Washed Location : Chikmangalur At Home Blend, we source our Mysore Nuggets Extra Bold beans at about 3,200 feet of elevation from the Baba Budan region of Chikmagalur Also known as ‘Elephant Beans’ these nuggets are considered specialty beans as they are carefully picked and sorted for quality, size and defects Disclaimer: “www.homeblendcoffee.com is not affiliated with, endorsed or sponsored by Nespresso. Nespresso® is a registered trademark of Société des Produits Nestlé S.A.”",https://homeblendcoffee.com/products/coffee-pods-capsules-mysore-nuggets,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/MysoreNuggets-CoffeePodsCapsuleNespressoCompatibleHomeBlendCoffeeRoasters.png?v=1734031662,
Home Blend,Custom Roast - Aluminium Coffee Pods / Capsules  - 10 Pack,₹450.0,INR,"Custom Roast (Medium Dark Roast) 100% Arabica - Aluminium Coffee Capsules Round & Balanced Roast Level : Medium Dark Intensity : 7 - 8 Suited For : Espresso, Lungo, Americano, Macchiato & Mild Cappuccino Tasting Notes: The Coffee Has A Smooth Body With Mild Acidity, Balanced Flavour And Sizeable Crema Altitude : 1100-1500M Processing : Washed Location : Chikmagalur Plantation ‘AAA’ is also referred to as Mysore Nuggets Extra Bold is the finest Arabica from India Our slightly bolder Robusta compliments the fruity arabica to bring out a balanced cup with balanced flavours, mouthfeel and body Disclaimer: “www.homeblendcoffee.com is not affiliated with, endorsed or sponsored by Nespresso. Nespresso® is a registered trademark of Société des Produits Nestlé S.A.”",https://homeblendcoffee.com/products/coffee-pods-capsules-custom-roast,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/CustomRoast-CoffeePodsCapsuleNespressoCompatibleHomeBlendCoffeeRoasters.png?v=1734031740,
Home Blend,Vienna Roast - Aluminium Coffee Pods / Capsules - Pack of 10,₹450.0,INR,"Vienna Roast (Dark Roast) 100% Arabica - Nespresso® Compatible Coffee Pods / Capsules Nespresso® Compatible Coffee Pods / Capsules Your Specialty Pick: Vienna Roast Roast Level : Dark (Rolling Second Crack) Intensity : 9 Suited For : Americano, Macchiato & Cappuccino Tasting Notes : Heavy body, Cocoa, Oaky, Bitter Sweet Altitude : 1000-1500M Processing : Washed Location : Coorg & Chikmagalur Vienna Roast is best suited for Macchiatos & Cappuccinos where the milk based brews compliment the bittersweet coffee adding texture and balance to the beverage. With little to no acidity the coffee is isn’t overwhelmingly bright or sour. This is our favourite choice as the coffee remains versatile across varied brews. The Vienna can be enjoyed black or as a milk based beverage Disclaimer: “www.homeblendcoffee.com is not affiliated with, endorsed or sponsored by Nespresso. Nespresso® is a registered trademark of Société des Produits Nestlé S.A.”",https://homeblendcoffee.com/products/coffee-pods-capsules-vienna-roast,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/ViennaRoast-CoffeePods_CapsulesNespresso_CompatibleHomeBlendCoffeeRoasters_8445068f-669c-474a-a26f-b6e966e7599e.png?v=1734004165,
Home Blend,Saeco Magic M2 - Professional Line - Fully Automatic Coffee Machine,₹325000.0,INR,"Saeco Magic M1 - Fully Automatic Coffee Machine Saeco knows your needs. It is designed for a world that is rapidly changing.When you feel the need for a break, you can enjoy your favourite beverage wherever you are. With Magic, Saeco introduces a new and innovative family of machines that offers advanced performance, combined with modern features and a high level of design. Ceramic Flat Blades. Touch Screen Interface. Customizable Recipes. External Water Connection & Drainage System. Simultaneous dispensing of 2 cups. Saeco Magic M1 is your coffee Machine for your complete coffee solution. Magic represents the latest evolution of coffee machines from Saeco Professional. But it is also a machine that marks a clear break with the past. It has new shapes, completely redesigned, and performance at the top of its category in terms of quality and variety of beverages. The coffee break becomes from a daily gesture “a way of life” to be lived with style and taste, a moment of true relaxation to pamper yourself while savouring your favourite drink. Sophisticated details make Magic a desirable ‘must have’ for any high-level office. It is a machine that, for those who love coffee as much as we do, can give you pleasant moments of well-being. A machine that, when not working, becomes a furnishing accessory to be exhibited, which enriches, with a modern and innovative design, any working space. The heart of Magic is a professional variable chamber unit able to hold from 8.5 to 15 g of coffee. The amount of coffee dosed can be adjusted automatically via the menu. The unit has steel conical burrs, which can also be adjusted to obtain your favourite grind setting. Magic features a new milk frothing system where the milk frother is built into the coffee dispenser. Extremely silent, it emulsifies creamy froth but can also prepare beverages with simple hot milk The milk circuit is equipped with a patented cleaning system that guarantees the best efficiency after each preparation. The ",https://homeblendcoffee.com/products/saeco-magic-m2-professional-line-fully-automatic-coffee-machine,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/SaecoMagicM2.png?v=1733676651,
