roaster,name,price,currency,description,product_url,image_url,variants
Naivo,,from ₹ 670.00,₹,,https://naivo.in/product-category/all-coffee/,https://naivo.in/wp-content/uploads/2024/09/AttikanWhiteMist.png,
Naivo,,from ₹ 670.00,₹,,https://naivo.in/product-category/all-coffee/espresso/,https://naivo.in/wp-content/uploads/2024/09/AttikanWhiteMist.png,
Naivo,,"from ₹ 1,635.00",₹,,https://naivo.in/product-category/all-coffee/exotic/,https://naivo.in/wp-content/uploads/2026/05/Finca-Las-Brisas-Geisha.png,
Naivo,,from ₹ 645.00,₹,,https://naivo.in/product-category/all-coffee/filter/,https://naivo.in/wp-content/uploads/2024/09/BalanoorChandragiriWashed-4.png,
Naivo,,from ₹ 725.00,₹,,https://naivo.in/product-category/all-coffee/omni/,https://naivo.in/wp-content/uploads/2025/12/Currant-Affairs.png,
Naivo,,from ₹ 855.00,₹,,https://naivo.in/product-category/all-coffee/ratnagiri-vault/,https://naivo.in/wp-content/uploads/2025/09/CultureNaturalsJasmine.png,
Naivo,,from ₹ 725.00,₹,,https://naivo.in/product-category/all-coffee/showcase/,https://naivo.in/wp-content/uploads/2025/12/Currant-Affairs.png,
Naivo,,from ₹ 530.00,₹,,https://naivo.in/product-category/fine-robustas/,https://naivo.in/wp-content/uploads/2024/09/HarleyKaapiRoyale.png,
Naivo,Grind Size Chart,from ₹ 670.00,₹,"The first phrase that graced the lips of our Q-Grader when she analyzed this coffee was – “Bold and Beautiful.” By pushing this roast into medium dark territory, we get a lovely plethora of dark chocolate notes harmoniously dancing with nutty aromas and a rounded cedar finish. It is ideal for espresso brewing but is sure to be a favourite for Moka Pot enthusiasts and French Press fanatics who love a bold cup with a classic taste profile.",https://naivo.in/product/attikan-white-mist/,https://naivo.in/wp-content/uploads/2024/09/AttikanWhiteMist.png,250g
Naivo,Grind Size Chart,from ₹ 645.00,₹,The Chandragiri varietal when put through the washed process is characterized by clean and bright acidity complemented by nutty and tangy notes and a very subtle floral aroma. This coffee comes from one of our earliest producer partners – Balanoor Plantations – who are pioneers of washed coffees in India and have been exporting some of the finest Arabicas to specialty markets in Europe for several decades.,https://naivo.in/product/balanoor-chandragiri-washed/,https://naivo.in/wp-content/uploads/2024/09/BalanoorChandragiriWashed-4.png,250g
