roaster,name,price,currency,description,product_url,image_url,variants
Nandan Coffee,,₹650,₹,,https://www.nandancoffee.com/product-category/coffee/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201089%201089'%3E%3C/svg%3E",
Nandan Coffee,,,,,https://www.nandancoffee.com/product-category/equipments/,,
Nandan Coffee,,₹ 750,₹,,https://www.nandancoffee.com/product-category/single-serve/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201089%201089'%3E%3C/svg%3E",
Nandan Coffee,Coffee Subscription,₹ 0,₹,"Always run out of coffee at the last minute? We’ve created a subscription plan to ensure you never run out of your favourite blend! We’ll ship your fresh roasted coffee at fixed intervals for as long as you like. There’s no commitment, you can cancel or edit your subscription whenever you want! Tasting Notes: Caramel, milk chocolate treacle Brewing Styles: All brewing styles Subscribe now and save 15% on all orders!",https://www.nandancoffee.com/product/coffee-subscription/,https://www.nandancoffee.com/wp-content/uploads/al_opt_content/IMAGE/www.nandancoffee.com/wp-content/uploads/2020/06/510.jpg?bv_host=www.nandancoffee.com&bv-resized-infos=bv_resized_mobile%3A480%2A270%3Bbv_resized_ipad%3A510%2A287%3Bbv_resized_desktop%3A510%2A287,
Nandan Coffee,Espresso,₹ 650,₹,"Tasting Notes: Cocoa, Brown Sugar Brewing Styles: Espresso, Indian Filter, Moka Pot, Aeropress",https://www.nandancoffee.com/product/espresso/,https://www.nandancoffee.com/wp-content/uploads/al_opt_content/IMAGE/www.nandancoffee.com/wp-content/uploads/2022/06/Espresso-1-edit.jpg?bv_host=www.nandancoffee.com&bv-resized-infos=bv_resized_mobile%3A480%2A480%3Bbv_resized_ipad%3A820%2A820%3Bbv_resized_desktop%3A1089%2A1089,
Nandan Coffee,L’lmore,₹ 650,₹,"Tasting Notes: Earthy, Anise, Grapefruit Brewing Styles: Pour Over, French Press, Cold Brew",https://www.nandancoffee.com/product/llmore/,https://www.nandancoffee.com/wp-content/uploads/al_opt_content/IMAGE/www.nandancoffee.com/wp-content/uploads/2022/06/Lil-more-edit.jpg?bv_host=www.nandancoffee.com&bv-resized-infos=bv_resized_mobile%3A480%2A480%3Bbv_resized_ipad%3A820%2A820%3Bbv_resized_desktop%3A1089%2A1089,
Nandan Coffee,Raw,₹ 830,₹,Tasting Notes: Green Coffee Beans,https://www.nandancoffee.com/product/raw/,https://www.nandancoffee.com/wp-content/uploads/al_opt_content/IMAGE/www.nandancoffee.com/wp-content/uploads/2019/07/Nandan_Raw-1.jpg?bv_host=www.nandancoffee.com&bv-resized-infos=bv_resized_mobile%3A480%2A480%3Bbv_resized_ipad%3A820%2A820%3Bbv_resized_desktop%3A1089%2A1089,
Nandan Coffee,Royale,₹ 650,₹,"Tasting Notes: Milk Chocolate, Treacle, Caramel Brewing Styles: All Brewing Styles",https://www.nandancoffee.com/product/royale/,https://www.nandancoffee.com/wp-content/uploads/al_opt_content/IMAGE/www.nandancoffee.com/wp-content/uploads/2022/06/Royale-edit.jpg?bv_host=www.nandancoffee.com&bv-resized-infos=bv_resized_mobile%3A480%2A480%3Bbv_resized_ipad%3A820%2A820%3Bbv_resized_desktop%3A1089%2A1089,
Nandan Coffee,Single Serve Pour Over – L’lmore Light Roast (Pack of 10),₹ 750,₹,"₹750 Lightly roasted to bring out the full flavour profile of Nandan, L’lmore has fruity undertones. Tasting Notes: Earthy, Anise, Light Grapefruit Follow the steps to make your cup: Step 1 ‘TEAR’ – Tear the bag. Take out the filter. Step 2 ‘PULL OUT’ – Pull out the hanger and place onto the cup. Step 3 ‘BREWING’ – Pour 150 ml hot water on the coffee grounds. Step 4 ‘REMOVE’ – Remove & discard used filter, sip & enjoy!",https://www.nandancoffee.com/product/serve-pour-over-bag-nandan-lil-more-light-roast/,https://www.nandancoffee.com/wp-content/uploads/al_opt_content/IMAGE/www.nandancoffee.com/wp-content/uploads/2024/08/lil-more.jpg?bv_host=www.nandancoffee.com&bv-resized-infos=bv_resized_mobile%3A480%2A480%3Bbv_resized_ipad%3A820%2A820%3Bbv_resized_desktop%3A1089%2A1089,
Nandan Coffee,Single Serve Pour Over – Royale Dark Roast (Pack of 10),₹ 750,₹,"₹750 Nandan Royale is thoughtfully created to give coffee connoisseurs a rich, flavourful, aromatic brew. The strength of the coffee brewed is fully bodied, brisk and sweetly lush, with a balanced acidity. Tasting notes: Caramel, Milk Chocolate, Treacle Follow the steps to make your cup: Step 1 ‘TEAR’ – Tear the bag. Take out the filter. Step 2 ‘PULL OUT’ – Pull out the hanger and place onto the cup. Step 3 ‘BREWING’ – Pour 150 ml hot water on the coffee grounds. Step 4 ‘REMOVE’ – Remove & discard used filter, sip & enjoy!",https://www.nandancoffee.com/product/serve-pour-over-bag-nandan-royale-dark-roast/,https://www.nandancoffee.com/wp-content/uploads/al_opt_content/IMAGE/www.nandancoffee.com/wp-content/uploads/2024/08/royale.jpg?bv_host=www.nandancoffee.com&bv-resized-infos=bv_resized_mobile%3A480%2A480%3Bbv_resized_ipad%3A820%2A820%3Bbv_resized_desktop%3A1089%2A1089,
