roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
Pandurange Chikmagalur,Happy Day Grand Aroma Pure Coffee Without Chicory (for Black Coffee/With milk consumers),Rs. 695.00,INR,"HAPPY DAY GA PURE COFFEE is for coffee lovers who consume their coffee usually WITHOUT milk &amp; this is best suited for those who prefer black coffee  
  HAPPY DAY Grand Aroma was created as a response to the grand consumer’s desires for a different, more sophisticated and more urban concept of filter coffee experience. Grand Aroma is an exclusive blend of premium quality roasted and ground coffee made from a variety of carefully selected coffee beans grown on the high altitude, sky kissing plantations in India. HAPPY DAY Grand Aroma pure coffee give a rich caramel taste and mouthfeel. For the true connoisseurs, for the beginning of a new day and work, for the admirers of small rituals and for conceptualizing great ideas and for maximum delight - HAPPY DAY Grand Aroma is the right choice!",https://www.pandurangacoffee.com/products/pure-coffee-grand-aroma,https://cdn.shopify.com/s/files/1/0273/1868/1653/products/hd_panduranga_coffee.jpg?v=1643730118,1 Kilo (500g * 2 Pkts):1390.00; 500g x 1 pkt:695.00,
Pandurange Chikmagalur,Mysore Nuggets AAA Pure Coffee Without Chicory (for Black coffee),Rs. 750.00,INR,Mysore Nuggets is made with Arabica AAA &amp; is for coffee connoisseurs who prefer Black Coffee.   It is 100% Pure Coffee without Chicory in it.,https://www.pandurangacoffee.com/products/mysore-nuggets-aaa-pure-coffee-powder-without-chicory,https://cdn.shopify.com/s/files/1/0273/1868/1653/products/mysore_nuggets_pandurang_coffee.jpg?v=1643729351,500g  x 2 Pure Powder:1500.00; 500g x 2 Roasted Beans:1500.00; 250g x 2 Pure Powder:750.00; 500g x 1 Roasted beans:750.00; 250g x 4 pure powder:1500.00,
Pandurange Chikmagalur,PeaBerry Blend Filter Coffee,Rs. 650.00,INR,"Most coffee beans are born twins.  Within each cherry on the coffee tree, two beans are grown side by side, resulting in the flat face of most beans.Peaberries, however, occur when only one of the two seeds is fertilized, growing on its own without anything to flatten it.  
 As a result of heir independence, peaberry observes all the goodness.  Many coffee connoisseurs have suggested that each peaberry in infused with all the assets normally reserved for two beans.  These beans are most certainly unique and livelier cup with sweeter and bright taste, so giving special liquoring .",https://www.pandurangacoffee.com/products/peaberry-blend,https://cdn.shopify.com/s/files/1/0273/1868/1653/products/peaberry_panduranga_coffee.jpg?v=1643727988,1kg (500gx2) Peaberry 80% coffee + 20% Chicory:1300.00; 1kg (500g x 2) Peaberry Roasted Beans:1400.00; 1kg (500gx2) Peaberry Pure coffee powder:1400.00; 500g Peaberry 80% coffee + 20% chicory:650.00; 500g Peaberry Roasted Beans:700.00; 500g Peaberry Pure powder:700.00,
Pandurange Chikmagalur,JUST BLACK for Black filter coffee,Rs. 750.00,INR,"Just black has ""No chicory"" 
 Just black premium coffee is the epitome of coffee excellence, celebrated for its rich and intense flavor profile.  It is crafted with beans selected with utmost care, expretly roasted to perfection.  Premium black coffee provides an unparelleled coffee experience. Specially enjoyable as a black coffee.",https://www.pandurangacoffee.com/products/just-black-for-black-coffee,https://cdn.shopify.com/s/files/1/0273/1868/1653/files/pandurangacoffeejustblackfront.jpg?v=1711530537,500g powder:750.00; 1 kg powder:1500.00; 500g Roasted beans:750.00; 1 kg Roasted beans:1500.00,
Pandurange Chikmagalur,Italian Espresso DARK ROAST Pure Coffee,Rs. 750.00,INR,Italian espresso roast is a selection of blends perfected to enjoy all the taste and aroma  of the rich italian espress in your favorite brew,https://www.pandurangacoffee.com/products/italian-espress-roast,https://cdn.shopify.com/s/files/1/0273/1868/1653/products/italianroastfront.jpg?v=1658903062,500g x 2 pkts Roasted Beans:1500.00; 500g x 1 pkt Roasted Beans:750.00; 500g x 2 pkts Ground Pure Powder:1510.00; 500g x 1 pkt Ground Pure powder:755.00,
Pandurange Chikmagalur,ONCE Upon a FARM Mylemoney Single Origin Coffee,Rs. 750.00,INR,"Once upon a Farm Mylemoney Estate Single Origin Coffee 
 ORIGIN: MYLEMONEY, CHIKMAGALUR ALTITUDE: 1220 M Above MSL Tasting Notes: Toasted Nuts, Cinnamon (Expect a bright cup with fair and delicate mouthfeel, along with hints of toasted nuts &amp; cinnamon.) 
 contains 100% coffee 0% Chicory  
 Panduranga Plantation, nestled in the scenic beauty of Mylemoney, the magnanimous location within the Mullayanagiri mountain range, boasts lush green forests and serves as a habitat for rich wildlife. It’s history dates back to the early 19th century when the legendary British planter, Thomas Cannon, discovered this ideal location to grow Coffee. Cannon’s vision led to the establishment of one of the finest coffee estates in the region. By the 1860s, the reputation of Mylemoney’s coffee, branded as Cannon’s Coffee, had spread even to the London market, attesting to its exceptional quality. This was the first place where coffee was cultivated commercially in India. Also Mylemoney is renowned for growing one of the earliest varieties of Arabica coffee, known as the Kent, celebrated for it’s exquisite cupping quality and the magical flavors it imparts. Panduranga plantations takes pride in being part of this timeless heritage, cherishing its legacy and contributing to the continued excellence of the region’s coffee industry",https://www.pandurangacoffee.com/products/once-upon-a-farm-mylemoney-coffee,https://cdn.shopify.com/s/files/1/0273/1868/1653/files/mylemonefinal.jpg?v=1717144578,500g x 1 Ground Powder:750.00; 1 kg Ground Powder:1500.00; 500g x 1 Roasted Beans:750.00; 1 kg Roasted Beans:1500.00,
Pandurange Chikmagalur,NEW LAUNCH - WHISKEY BARREL AGED COFFEE,Rs. 800.00,INR,We are proud to showcase this new whiskey barrel aged coffee. Whiskey barrel aged coffee is a unique coffee experience that we treated by ageing chikmagalur coffee beans in freshly empties whiskey barrel at the optimal time.  The labour intensive ageing process marries the flavor of whiskey and coffee.  Each barrel produces a unique batch of coffee with bourbon aroma and sweek oak tones.  Whiskey and coffee are a classic combination.  Barrel ageing the coffee is the best process to combine these two great flavours,https://www.pandurangacoffee.com/products/whiskey-barrel-aged-coffee,https://cdn.shopify.com/s/files/1/0273/1868/1653/files/frontfinal.jpg?v=1756048424,250g ground coffee:800.00; 250g Roasted beans:800.00,
Pandurange Chikmagalur,NEW LAUNCH-PINEAPPLE FERMENTED COFFEE,Rs. 750.00,INR,"Selectively sourced Arabica beans are fermented with pineapple pulp for 4 to 5 days.  This fermentation process enhances the coffee sweetness, body, and acidity with imparting a distinctive fruity note.",https://www.pandurangacoffee.com/products/pineapple-fermented-coffee-250g,https://cdn.shopify.com/s/files/1/0273/1868/1653/files/PandurangaCoffeepineapplefermented.jpg?v=1756460861,250g Powder:750.00; 250g Roasted beans:750.00,
Pandurange Chikmagalur,NEW LAUNCH WINE BARREL COFFEE ( FOR BLACK COFFEE),Rs. 800.00,INR,"Wine Barrel Aged Coffee 
 coffee, wine, whiskey and rum are he finer things in life, 
 At Panduranga coffee we exclusively craft fanciful flavor profiles that marry exceptional coffee beans with highly rated wine, whiskey or rum that creates a cup like you have never experienced before. 
     Made from premium chikmagalur coffee beans.  This coffee is aged for 120 days in barrels.  Our signature barrel aging process infuses the beans with a vibrant profile while containing zero alcohol. 
    This exquisite infusion of wine, whiskey and rum essence into our coffee offers caffeine lovers the best of both worlds",https://www.pandurangacoffee.com/products/wine-barrel-coffee-for-black-coffee,https://cdn.shopify.com/s/files/1/0273/1868/1653/files/WINEAGED.jpg?v=1768380111,250g ROASTED BEANS:800.00; 250g GROUND POWDER:800.00,
Pandurange Chikmagalur,NEW LAUNCH RUM BARREL AGED COFFEE (FOR BLACK COFFEE),Rs. 800.00,INR,"Rum Barrel Aged Coffee 
 coffee, wine, whiskey and rum are he finer things in life, 
 At Panduranga coffee we exclusively craft fanciful flavor profiles that marry exceptional coffee beans with highly rated wine, whiskey or rum that creates a cup like you have never experienced before. 
     Made from premium chikmagalur coffee beans.  This coffee is aged for 120 days in barrels.  Our signature barrel aging process infuses the beans with a vibrant profile while containing zero alcohol. 
    This exquisite infusion of wine, whiskey and rum essence into our coffee offers caffeine lovers the best of both worlds",https://www.pandurangacoffee.com/products/rum-barrel-aged-coffee-for-black-coffee,https://cdn.shopify.com/s/files/1/0273/1868/1653/files/panduranga_coffee_rumaged.jpg?v=1768381744,250G ROASTED BEANS:800.00; 250G GROUND POWDER:800.00,
